<ID|readonly|noverify>;<English>
msgbox/linkCopied/header;Invite your friends to join War Thunder!
msgbox/linkCopied/listTitle;Share the link below with your friends on social media and get:
msgbox/linkCopied/without2faAnyVehicleType;{awardPrize} for each friend who purchases a vehicle of <color=@activeTextColor>rank {awardRank}</color>
msgbox/linkCopied/with2faAviationArmy;{awardPrize} for each friend with two-factor authentication enabled who purchases a vehicle of <color=@activeTextColor>rank {awardRank} in the aviation/army tree</color>
msgbox/linkCopied/with2faAnyVehicleType;{awardPrize} for each friend with two-factor authentication enabled who purchases a vehicle of <color=@activeTextColor>rank {awardRank}</color>
msgbox/linkCopied/limit;Each reward can be received no more than {awardCount} {awardCount=time/times}.
msgbox/linkCopied/inviteeReward;Each player who registers using your link and turns on two-factor authentication will receive {gift} as a gift.
msgbox/linkCopied/link;"""<color=@userlogColoredText>{link}</color>""
(link copied to clipboard)"
collection/muertos_decal;"""Occultism"" decals"
battlePass/seasonName/23;"""Apollo’s Chariot"""
loading_bg/login_layer_aircraft_marathon_sky_farmer;F-6C
loading_bg/login_layer_spitfire_mk9c_greece;Spitfire LF Mk.IXc (CW)
loading_bg/login_layer_spitfire_mk9c_greece/desc;"Reward for level 100 in the ""Apollo’s Chariot"" Battle Pass Season"
item/decal_trophy_warbond_shop_muertos;"""Occultism Collection"" Decals"
triggerType/rockets;Rockets
triggerType/bombs;Bombs
triggerType/guided_bombs;Guided Bombs
triggerType/atgm;Air to Ground Missiles
triggerType/aam;Air to Air Missiles
triggerType/torpedoes;Torpedoes
triggerType/mines;Mines
triggerType/fuel_tanks;Fuel tanks
triggerType/countermeasures;Countermeasures
triggerType/targetingPod;Targeting pods
triggerType/additional_guns;Cannons & Machine guns
mainmenu/purchased_vehicle;Purchased vehicle
mainmenu/researched_vehicle;Researched vehicle
msgbox/btn_disable;Disable
