<ID|readonly|noverify>;<English>
decals/ussr_text_suvorov;"""Suvorov"" text"
decals/ussr_number_445;"""445"" tank number"
decals/victory_day_2026_decal;"""Allied Victory"" decal"
decals/us_democracy_deliverer_decal;"""Democracy Deliverer"" Inscription"
decals/us_democracy_deliverer_decal/desc;Democracy Deliverer inscription, U.S. Army. The practice of tank naming is over 100 years old, often following pop culture as new generations of tankers take up the mantle. In the First and Second World Wars, tank naming was not standardized, in the modern day however there are more limitations regarding the name crews can choose. Currently under some regiments, naming your tank is an earned right, given only to crews who maintain a standard of excellence. Names often follow company structure as well, with tanks of A Company having a name that begins with A, though this is not a strict rule and regular deviations can be spotted. As newer generations of tanker crews step up, more names relating to gaming and popular media have become common sights, with Democracy Deliverer being a great example. It was painted on the barrel of an M1A2 SEP V2, ahead of the bore evacuator.
decals/de_6th_aa_regiment_decal;FlaLehrRgt 6 Emblem
decals/de_6th_aa_regiment_decal/desc;The emblem of Flugabwehrlehrregiment 6 (6th Anti-Aircraft Training Regiment), Bundeswehr. The Regiment was formed on August 31st 1956 as Panzerflugabwehrartilleriebataillon 3 in Schleswig, but would cement its identity after moving to Lütjenburg on April 1st 1962. It received its first Gepard anti-air vehicles on August 4th 1977, which would later feature on the Regiment’s emblem. Aside from the prominent Gepard silhouette in the middle, to the left are either stylized seagulls or waves, which link to the Regiment’s proximity to the Baltic Sea to the north. The structure to the right is the lost Lütjen Castle, which influenced much of the region's original heraldry. The lower elements link to the Schleswig-Holstein region where the Regiment was based. It includes their heraldic colors (blue, white, and red), the Schleswig lions and the Holstein nettle leaf. The Regiment operated until May 2012 when it was disbanded. One of the Regiment’s Gepards on display wore the emblem on the tracking radar.
decals/ussr_isaev_eagle_decal;Personal Marking of Vasily Isaev
decals/ussr_isaev_eagle_decal/desc;"The personal marking of Vasily Vasilyevich Isaev, 42 GIAP (42nd Guards Fighter Aviation Regiment), Soviet Air Force. Vasily graduated as a pilot in 1941 at the Zernograd Military Aviation School, having dreamed of being a pilot from a young age. Throughout the war he flew several Yak fighters, including the Yak-1, Yak-9, and Yak-9U. He demonstrated considerable skill during his service, credited with 17 aerial victories and 4-5 shared victories. After the war he would be discharged due to health issues, but dedicated much of his time to community service, and even published a book of wartime memoirs in 1975 called ""За чистое небо"" (For Clear Skies). His personal marking was an eagle attacking a snake, a common motif Soviet pilots used during the Second World War, effectively depicting good triumphing over evil or order defeating chaos. It was painted on the starboard side of his Yak-9U under the engine exhaust."
decals/jp_ikazuchi_decal;"""Ikazuchi"" Inscription"
decals/jp_ikazuchi_decal/desc;"Ikazuchi (いかづち) hull inscription, JMSDF. After the Second World War, Japan returned to the practice of painting a ship’s name onto the hull, but in hiragana rather than kanji script. Ikazuchi means ""Thunder"", effectively, and carries a long etymological lineage throughout ancient Japan, often linking it to mythology and weaponry. The inscription was painted on the middle of the hull on destroyer escort DE-202, Ikazuchi. She was one of the first domestic destroyer escorts built by Japan in the post-war era. She was commissioned in 1956 and was a sister to DE-203 Inazuma, meaning ""Lightning"", making them a fitting pair. She served with the 7th Escort Corps until 1976 when she was converted to a storage ship used for training, before finally being stricken from the register on March 30th, 1983."
decals/fr_bb_girl_pinup;"""BB Girl"" Pinup"
decals/fr_bb_girl_pinup/desc;"""BB Girl"" Pinup, 2ème Escadron d'Instruction en Vol ""Henry Jeandet"" (2nd Flight Training Squadron ""Henry Jeandet""), French Air Force. Pinup-style nose art was relatively rare in the French Air Force, as it was primarily an American custom, however, sporadic instances of it can be found, albeit fleetingly. This pinup was painted on MD.450 Ouragan number 328, code BB, flown by Sergeant Paul Barland at the time. It was painted in June 1957, while the aircraft was stationed at Base École 708 in Meknès, Morocco. The pinup itself is possibly a depiction of Brigitte Bardot, a very popular French actress and singer at the time. This fits nicely as a link to the Bravo-Bravo aircraft code as well, though the link is unconfirmed and largely speculative. While the pinup was likely popular with the pilots, it appears senior staff had a different perspective, as the artwork barely lasted a week before being removed. It was painted on the port side of the aircraft, right above the topmost gunport."
decals/jean_bart_emblem_decal;Great coat of arms of Jean Bart
decals/fr_marine_gendarmerie_emblem;Emblem of the French Marine Gendarmerie
decals/fr_text_gendarmerie_maritime;"""Naval Gendarmerie"" text"
decals/fr_sport_stripes_decal;French Sports Stripes
decals/discordia_ch_decal;"""Discordia_Ch"" decal"
decals/discordia_ch_decal/desc;Exclusive decal by the content creator Discordia_Ch
decals/cyberpunk_aircraft_snail_decal;"""Cyberpunk Airforce Snail"" decal"
