<ID|readonly|noverify>;<English>
p-400/ah621;"P-400 ""AH621"""
p-400/ah621/desc;P-400, Royal Canadian Air Force, Test and Development Establishment, Air Force Headquarters, 1941
p-51d-20-na/rcaf;"P-51D-20-NA ""CB569"""
p-51d-20-na/rcaf/desc;P-51D '9569', Royal Canadian Air Force
f-86f-35/golden_hawks;"F-86F-35 ""Golden Hawks"""
f-86f-35/golden_hawks/desc;F-86F-35, Royal Canadian Air Force (RCAF), aerobatic flying team 'Golden Hawks'
germ_leopard_2a4m_can/shipping_configuration;"Leopard 2A4M ""Modern forest camouflage"""
germ_leopard_2a4m_can/shipping_configuration/desc;Leopard 2A4M in modern forest camouflage
fa_18c_early/alouettes_60_ans;"F/A-18C Early ""60th Anniversary"""
fa_18c_early/alouettes_60_ans/desc;F/A-18C Early, 60th anniversary of the 425th Squadron, Canadian Air Force
germ_leopard_c2_mexas/canadian;"C2A1 ""Royal Canadian Battle Group"""
germ_leopard_c2_mexas/canadian/desc;C2A1, 2nd Troop A Sqn, Lord Strathcona’s Horse, Royal Canadian Battle Group, JTF, Afghanistan
fr_msc/esp_td;"MSC ""Fractal Prism"""
fr_msc/esp_td/desc;"MSC ""Fractal Prism"""
f_2a/esp_td;"F-2A ""Homura"""
f_2a/esp_td/desc;"F-2A ""Homura"""
su_27/lipetsk;"Su-27 ""Red-10"""
su_27/lipetsk/desc;"Su-27 ""Red-10"""
germ_pzkpfw_V_ausf_f_panther/rhineland;"Panther F ""212"""
germ_pzkpfw_V_ausf_f_panther/rhineland/desc;"Panther F ""212"""
f_14a_early/hercules;"F-14A Early ""Hercules"""
f_14a_early/hercules/desc;"F-14A Early ""Hercules"""
