<ID|readonly|noverify>;<English>
shop/group/uk_cromwell_sherman_group;Cromwell/Sherman
ussr_t_34_85_stp_s53_shop;"T-34-85 ""Taran"""
ussr_t_34_85_stp_s53_0;"T-34-85 STP-S-53""Taran"""
ussr_t_34_85_stp_s53_1;"T-34-85 ""Taran"""
ussr_t_34_85_stp_s53_2;Medium tank
uk_chieftain_900_shop;Chieftain Mk 900
uk_chieftain_900_0;Chieftain Mk 900
uk_chieftain_900_1;Chieftain 900
uk_chieftain_900_2;MBT
fr_jaguar_ebrc_shop;Jaguar
fr_jaguar_ebrc_0;Jaguar EBRC
fr_jaguar_ebrc_1;Jaguar
fr_jaguar_ebrc_2;Light tank
yak_1_litvyak_shop;Yak-1 Litvyak
yak_1_litvyak_0;Yak-1 Litvyak
yak_1_litvyak_1;Yak-1
yak_1_litvyak_2;Yak-1
jh_7_shop;JH-7
jh_7_0;JH-7 Flying Leopard
jh_7_1;JH-7
jh_7_2;JH-7
xf5u_1_shop;XF5U-1
xf5u_1_0;XF5U-1
xf5u_1_1;XF5U-1
xf5u_1_2;XF5U
mb_326k_shop;MB-326K
mb_326k_0;MB-326K
mb_326k_1;MB-326K
mb_326k_2;MB-326K
ussr_btr_82at_shop;BTR-82AT
ussr_btr_82at_0;BTR-82AT
ussr_btr_82at_1;BTR-82AT
ussr_btr_82at_2;Light tank
md_450b_ouragan_iaf_29_shop;M.D.450B (29)
md_450b_ouragan_iaf_29_0;M.D.450B Ouragan (29)
md_450b_ouragan_iaf_29_1;M.D.450B Ouragan
md_450b_ouragan_iaf_29_2;M.D.450B
fokker_d23_shop;◗Fokker D.XXIII
fokker_d23_0;◗Fokker D.XXIII
fokker_d23_1;◗Fokker D.XXIII
fokker_d23_2;◗Fokker
il_m113_hvms_shop;Zelda/60mm HVMS
il_m113_hvms_0;Zelda/60mm HVMS
il_m113_hvms_1;Zelda/60mm HVMS
il_m113_hvms_2;Light tank
it_c13_tua_shop;C13/TUA
it_c13_tua_0;OTO C13/TUA
it_c13_tua_1;C13/TUA
it_c13_tua_2;SPG
su_30mk2v_venezuela_shop;▄Su-30MK2 AMV
su_30mk2v_venezuela_0;▄Su-30MK2 AMV
su_30mk2v_venezuela_1;▄Su-30MK
su_30mk2v_venezuela_2;▄Su-30
f_15c_golden_eagle_shop;F-15C Golden Eagle
f_15c_golden_eagle_0;F-15C Golden Eagle
f_15c_golden_eagle_1;F-15C
f_15c_golden_eagle_2;F-15
hawk_200_shop;Hawk 200
hawk_200_0;Hawk 200
hawk_200_1;Hawk 200
hawk_200_2;Hawk
ah_56a_shop;AH-56A
ah_56a_0;AH-56A
ah_56a_1;AH-56A
ah_56a_2;AH-56A
cn_oplot_t_shop;Oplot-P
cn_oplot_t_0;Oplot-P
cn_oplot_t_1;Oplot-P
cn_oplot_t_2;MBT
shop/group/germ_westfalen_helgoland_group;SMS Westfalen/Helgoland
jp_battleship_nagato_shop;IJN Nagato
jp_battleship_nagato_0;Nagato-class, IJN Nagato, 1944
jp_battleship_nagato_1;IJN Nagato
jp_battleship_nagato_2;Battleship
germ_battleship_konig_shop;SMS König
germ_battleship_konig_0;König-class, SMS König, 1916
germ_battleship_konig_1;SMS König
germ_battleship_konig_2;Battleship
us_cruiser_oregon_class_shop;USS Oregon City
us_cruiser_oregon_class_0;Oregon City-class,USS Oregon City (CA-122), 1946
us_cruiser_oregon_class_1;USS Oregon City
us_cruiser_oregon_class_2;Heavy cruiser
fr_frigate_corse_class_brestois_shop;La Brestois
fr_frigate_corse_class_brestois_0;Corse-class, La Brestois (F762)
fr_frigate_corse_class_brestois_1;La Brestois
fr_frigate_corse_class_brestois_2;Frigate
ussr_destroyer_pr48k_erevan_shop;Erevan
ussr_destroyer_pr48k_erevan_0;Pr.48-K, Erevan, project
ussr_destroyer_pr48k_erevan_1;Erevan
ussr_destroyer_pr48k_erevan_2;Destroyer
jp_battleship_musashi_shop;IJN Musashi
jp_battleship_musashi_0;Yamato-class, IJN Musashi, 1943
jp_battleship_musashi_1;IJN Musashi
jp_battleship_musashi_2;Battleship
fr_battleship_richelieu_class_clemenceau_shop;Clemenceau
fr_battleship_richelieu_class_clemenceau_0;Richelieu-class, Clemenceau, project
fr_battleship_richelieu_class_clemenceau_1;Clemenceau
fr_battleship_richelieu_class_clemenceau_2;Battleship
it_battleship_littorio_class_littorio_shop;RN Littorio
it_battleship_littorio_class_littorio_0;Littorio-class, RN Littorio, 1943
it_battleship_littorio_class_littorio_1;RN Littorio
it_battleship_littorio_class_littorio_2;Battleship
cn_cm_34_shop;CM-34
cn_cm_34_0;CM-34
cn_cm_34_1;CM-34
cn_cm_34_2;Light tank
