<ID|readonly|noverify>;<English>
weapons/fr_sneb_type23s;SNEB type 23 rockets
weapons/fr_sneb_type23s/short;SNEB type 23 rockets
weapons/in_100gal_marut_drop_tank_l;Drop tank (100 gal.)
weapons/in_100gal_marut_drop_tank_l/short;Drop tank
weapons/in_100gal_marut_drop_tank_r;Drop tank (100 gal.)
weapons/in_100gal_marut_drop_tank_r/short;Drop tank
weapons/in_100gal_marut_drop_tank_l_2;Drop tank (100 gal.)
weapons/in_100gal_marut_drop_tank_l_2/short;Drop tank
weapons/in_100gal_marut_drop_tank_r_2;Drop tank (100 gal.)
weapons/in_100gal_marut_drop_tank_r_2/short;Drop tank
weapons/in_nasser_240;Nasser 240 rockets
weapons/in_nasser_240/short;Nasser 240
105mm_l52a1;Shot L52A1
weapons/130mm_rapier_mk1e/short;Rapier Mk.1E
weapons/130mm_rapier_mk2/short;Rapier Mk.2
105mm_ofl_g2;OFL 105 G2
