<ID|readonly|noverify>;<English>
attachables/decor_robo_dog;Robot Dogs
attachables/decor_dakimakura_anime_elsa;"Dakimakura ""Elsa"""
attachables/decor_dakimakura_anime_kate;"Dakimakura ""Kate"""
attachables/decor_dakimakura_anime_maria;"Dakimakura ""Maria"""
attachables/decor_breda_mod30;Breda 30
attachables/decor_brixia_model_35;Brixia Model 35
attachables/decor_l3_cc;L3/33 CC
attachables/decor_hk_g11;Experimental assault rifle (Germany)
attachables/decor_christmas_gnome_deer;Garden gnome deer
attachables/decor_disco_sphere;Christmas Disco Ball
attachables/decor_christmas_dodge;Christmas Pickup Truck
attachables/decor_christmas_backpack;Christmas backpack
attachables/decor_firework;Firework mortar
attachables/decor_firework/desc;Launches fireworks when destroying enemy vehicles
attachables/decor_christmas_gazebo;Christmas gazebo
attachables/decor_blunderbuss;Blunderbuss
attachables/decor_pistol;Pistol
attachables/decor_paintball_mask;Paintball helmet
attachables/decor_paintball_marker;Paintball marker
attachables/decor_fire_horse;Horse figurine
attachables/helmet_sh_36;SSh-36
attachables/decor_cheer_heybox_guai;Cheer fors
attachables/decor_tank_match_cup;Tank of the Match
attachables/decor_lunokhod;Lunokhod 1
attachables/decor_kopis_sword;Kopis
attachables/decor_corinthian_helmet;Corinthian Helmet
attachables/decor_fog_2;FOG-2
attachables/decor_general_saber_1943;General's saber (USSR)
attachables/decor_m2_mortar;M2 Mortar
attachables/decor_dakimakura_anime_emily;"Dakimakura ""Emily"""
attachables/decor_dakimakura_anime_fanpaiman_b;"Dakimakura ""PMC Commander"""
attachables/decor_dakimakura_anime_ling;"Dakimakura ""Ling"""
attachables/decor_dakimakura_anime_usagi_a;"Dakimakura ""Usagi"""
attachables/decor_dakimakura_anime_usagi_b;"Dakimakura ""Usagi on the Beach"""
