<ID|readonly|noverify>;<English>
germ_battlecruiser_mackensen_class/dazzle_patterns;Bicolor camouflage
germ_battlecruiser_mackensen_class/dazzle_patterns/desc;Deforming bicolor geometric paint scheme of the German Navy
cn_vt_4/digital;Digital camouflage
cn_vt_4/digital/desc;Modern digital camouflage of the Chinese Armed Forces
jp_oplot_t/digital;Digital camouflage
jp_oplot_t/digital/desc;Modern digital camouflage of the Armed Forces of Thailand
jp_stingray/digital;Digital camouflage
jp_stingray/digital/desc;Modern digital camouflage of the Armed Forces of Thailand
skin/th_camo_green_brown_black;Tricolor camouflage pattern
skin/th_camo_green_brown_black/desc;Quadricolor forest camouflage pattern of the Armed Forces of Thailand
skin/th_camo_four_color_blots;Quadricolor spotted camouflage
skin/th_camo_four_color_blots/desc;Quadricolor forest camouflage pattern of the Armed Forces of Thailand
skin/th_camo_four_color_lines;Quadricolor lines camouflage
skin/th_camo_four_color_lines/desc;Quadricolor forest camouflage pattern of the Armed Forces of Thailand
