<ID|readonly|noverify>;<English>
meteor_frmk9_iaf_shop;Meteor F.8
meteor_frmk9_iaf_0;Meteor FR Mk.9
meteor_frmk9_iaf_1;Meteor F
meteor_frmk9_iaf_2;Meteor
ah_1f_event_shop;AH-1F
ah_1f_event_0;AH-1F
ah_1f_event_1;AH-1F
ah_1f_event_2;AH-1F
mig-21_bis_event_shop;MiG-21bis
mig-21_bis_event_0;MiG-21bis
mig-21_bis_event_1;MiG-21bis
mig-21_bis_event_2;MiG-21
f_4e_event_shop;F-4E Phantom II
f_4e_event_0;F-4E Phantom II
f_4e_event_1;F-4E
f_4e_event_2;F-4E
ussr_ai_sam_launcher_s_75_0;SM-90 SAM S-75 launcher
ussr_ai_sam_launcher_s_75_1;SM-90 launcher
ussr_ai_sam_launcher_s_75_2;SAM
ussr_ai_sam_radar_p_12_0;P-12 SAM S-75 acquisition radar
ussr_ai_sam_radar_p_12_1;P-12 radar
ussr_ai_sam_radar_p_12_2;Radar
ussr_ai_sam_radar_snr_75_0;SNR-75 SAM S-75 target tracking radar
ussr_ai_sam_radar_snr_75_1;SNR-75 radar
ussr_ai_sam_radar_snr_75_2;Radar
