<ID|readonly|noverify>;<English>
modification/cn_kab_laser/desc;Allows the installation of laser guided GB-3 bombs.
modification/cn_kab_laser;KAB-L
modification/camouflage_net_certezza;Camouflage net
modification/camouflage_net_certezza/desc;Camouflage net
modification/certezza_protection_improvement;Net+War kit
modification/certezza_protection_improvement/desc;Camouflage net and War kit additional armor pack
modification/type_74_tire;Tires
modification/type_74_tire/desc;Mounting/dismounting tires from the stern of the hull
sensors/us_an_apg_73;AN/APG-73
sensors/us_an_apg_73_hms;AN/APG-73
