<ID|readonly|noverify>;<English>
weapons/gunTe4;7.7 mm Te-4 machine gun
weapons/de_sc250_default;250 kg SC250JA bomb
weapons/de_sc250_default/short;SC250
weapons/su_umpk_500m62;500 kg FAB-500M-62 UMPK bomb
weapons/su_umpk_500m62/short;FAB-500 UMPK
weapons/us_1000lb_gbu32_navy;GBU-32 JDAM guided bomb
weapons/us_1000lb_gbu32_navy/short;GBU-32 JDAM
weapons/us_agm_62a_2_erdl;AGM-62A Walleye II ER/DL guided bomb
weapons/us_agm_62a_2_erdl/short;AGM-62 ER/DL
weapons/an_aas_38;AN/AAS-38 optical pod
weapons/an_aas_38/short;AN/AAS-38
weapons/an_aas_38a;AN/AAS-38A targeting pod
weapons/an_aas_38a/short;AN/AAS-38A
weapons/an_asq_228_pod;ATFLIR targeting pod
weapons/an_asq_228_pod/short;ATFLIR
weapons/su_t_220_targeting_pod;T220 targeting pod
weapons/su_t_220_targeting_pod/short;T220
weapons/us_330gal_fa_18_drop_tank_wing_left;Drop tank (330 gal.)
weapons/us_330gal_fa_18_drop_tank_wing_left/short;Drop tank
weapons/us_330gal_fa_18_drop_tank_wing_right;Drop tank (330 gal.)
weapons/us_330gal_fa_18_drop_tank_wing_right/short;Drop tank
weapons/us_330gal_fa_18_drop_tank_fuse;Drop tank (330 gal.)
weapons/us_330gal_fa_18_drop_tank_fuse/short;Drop tank
weapons/us_250lb_anm57_default;250 lb AN-M57 bomb
152mm_3of45;3OF45
152mm_3of45_vt;3OF45 (PF)
explosiveType/cyclonite;Cyclonite
explosiveType/trianilite;Trianilite
explosiveType/oktogel;Oktogel
weapons/130mm_rapier_launcher_user_cannon;Rapier
weapons/130mm_rapier_launcher_user_cannon/short;Rapier
130mm_rapier_mk1e;Rapier Mk.1E
130mm_rapier_mk2;Rapier Mk.2
weapons/7_62mm_FN_MAG60_40_namer_user_machinegun;7.62 mm FN MAG 60-40 machine gun
weapons/cannonType_30_4;30 mm Type 30-4 cannon
weapons/cannonType_30_4/short;Type 30-4
weapons/us_aim7p_sparrow_fa_18;AIM-7P Sparrow air-to-air missiles
weapons/us_aim7p_sparrow_fa_18/short;AIM-7P
weapons/us_aim7p_sparrow_fa_18_default;AIM-7P Sparrow air-to-air missiles
weapons/us_aim7p_sparrow_fa_18_default/short;AIM-7P
weapons/su_r_77_1;R-77-1 air-to-air missiles
weapons/su_r_77_1/short;R-77-1
weapons/su_r_77_1_default;R-77-1 air-to-air missiles
weapons/su_r_77_1_default/short;R-77-1
weapons/cn_pl8b;PL-8B air-to-air missiles
weapons/cn_pl8b/short;PL-8B
weapons/cn_pl8b_default;PL-8B air-to-air missiles
weapons/cn_pl8b_default/short;PL-8B
weapons/120mm_IMI_MG251_LR_user_cannon;120 mm IMI MG251-LR cannon
weapons/50mm_firos_6_user_cannon;FIROS 6
weapons/105mm_CN_105_G1_user_cannon;105 mm CN105 G1 cannon
50mm_arf_8m3;ARF/8M3
weapons/50mm_arf_8m3/short;ARF/8M3
381mm_mark_17b_6crh_apc;381 mm Mk.XVIIb APC
weapons/100mm_45_m1917_naval_user_cannon;100 mm/45 model 1917 gun
weapons/100mm_45_m1917_naval_user_cannon/short;100 mm/45 model 1917
100mm_45_common;100 mm M1902 common
100mm_45_ap;100 mm M1913 AP
weapons/65mm_50_m1902_naval_user_cannon;65 mm/50 model 1902 gun
weapons/65mm_50_m1902_naval_user_cannon/short;65 mm/50 model 1902
65mm_50_fr_common;65 mm M1892 common
65mm_50_fr_ap;65 mm M1902 AP
weapons/152mm_2A64_user_cannon;152 mm 2A64 cannon
weapons/152mm_2A65_m2_user_cannon;152 mm 2A65M2 cannon
