<ID|readonly|noverify>;<English>
//GAMEPLAY TIPS
loading/tip0;You can use zoom to see the target better.
loading/tip1;Make sure to visit the Encyclopedia regularly. It contains lots of useful information.
loading/tip2;You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.
loading/tip3;You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language.
loading/aircraft/newbie/tip0;Don't know what to do in a stall or a spin? We have a special tutorial for this.
loading/aircraft/tip1;The Immelmann is an effective way to change direction in combat.
loading/aircraft/tip2;A loop can help you get onto your opponent's tail.
loading/aircraft/newbie/tip3;Watch out for enemy waist gunners.
loading/aircraft/newbie/tip4;Use the Target Camera {{ID_TARGET_CAMERA}}.
loading/aircraft/newbie/tip5;You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.
loading/aircraft/newbie/tip6;Always try to have an altitude advantage over your opponent.
loading/aircraft/newbie/tip7;You are a more difficult target to hit when flying at tree-top level.
loading/aircraft/newbie/tip8;You can decorate your aircraft in the Hangar.
loading/aircraft/newbie/tip9;When landing, lower your landing gear but don't forget to reduce airspeed first.
loading/aircraft/tip10;Don't forget to raise your landing gear after take-off.
loading/aircraft/newbie/tip11;You can repair your aircraft and restock your ammunition on friendly airfields and aircraft carriers.
loading/aircraft/newbie/tip12;Don't forget to lead your target when firing. The lead angle is displayed along the target's flight path in arcade.
loading/aircraft/newbie/tip13;Rockets have poor accuracy. It is best to fire off a few at a time.
loading/aircraft/newbie/tip14;Try to aim for a bomber's engines. It won't get far without them.
loading/aircraft/newbie/tip15;You can check out all available aircraft in the Research window.
loading/aircraft/tip16;An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.
loading/aircraft/newbie/tip17;Watch your altitude carefully, especially when performing maneuvers!
loading/aircraft/tip18;The farther from your target you drop your torpedo, the more likely the target will be able to dodge it.
loading/aircraft/newbie/tip19;The optimal distance for launching torpedoes is about one kilometer from the target.
loading/aircraft/tip22;Crashed... for good luck!
loading/aircraft/tip23;A big ship needs a big torpedo.
loading/aircraft/tip24;Want to rewrite history? Try the Dynamic Campaign!
loading/aircraft/tip25;Want more? You can try different scenarios in the Mission Editor.
loading/aircraft/tip26;Try to come back alive - your country needs you.
loading/aircraft/tip27;Too many missions? This is what you signed up for, pilot!
loading/aircraft/tip28;"You should have no problem landing; what goes up must come down... eventually."
loading/aircraft/tip29;For a good pilot, any weather is acceptable.
loading/aircraft/tip30;The aircraft is on the ground, and the pilot's alive. A successful landing!
loading/aircraft/tip31;Don't wait to love until you're too old, and don't wait to brake until you're out of landing strip!
loading/aircraft/tip32;It's better to fly badly than to fall well.
loading/aircraft/tip33;Fly timidly and you won't get very far.
loading/aircraft/tip34;The effectiveness of enemy aircraft attacks is about 50%, ground-based anti-aircraft attacks, 70%, and a cold, hard slam into the earth - 100%.
loading/aircraft/tip35;One wing is good, but two are better.
loading/aircraft/tip36;Have a pleasant flight!
loading/aircraft/tip37;A bad pilot can't even handle a steering column.
loading/help_tip01;While in battle, press F1 to view help on the controls.
loading/help_consoleTip;
loading/tank/tip1;"You can illuminate the aiming reticle light {{ID_TOGGLE_GM_CROSSHAIR_LIGHTING}} in ""sniper mode""."
loading/tank/newbie/tip2;For heavily armoured targets APCR and APDS shells are recommended.
loading/tank/tip3;HEAT shells are good for long-range operations.
loading/tank/newbie/tip4;Tanks and SPG's are usually hard to penetrate when shooting into the front of the hull or turret, side and rear armor are easier to penetrate.
loading/tank/tip5;Large-calibre HE shells may be effective against medium and large tanks.
loading/tank/newbie/tip6;"To allow repairs on the battlefield you have to research the ""Parts"" modification."
loading/tank/newbie/tip7;"To be able to extinguish a fire in a vehicle, you have to research the modification ""FPE"" (Fire Prevention Equipment)."
loading/tank/tip8;For softer targets it would be best to use HE or HEAT shells.
loading/tank/tip9;Full calibre AP shells have less penetrating power than APCR or APDS shells, but they do more damage in case of successful penetration.
