 <ID|readonly|noverify>;<English>
//ENGINE MANUFACTURERS
engine_manufacturer/maybach;"Manufacturer: Maybach
"

engine_manufacturer/gnome_et_rhone;"Manufacturer: Gnome et Rhône
"

engine_manufacturer/junkers;"Manufacturer: Junkers
"

engine_manufacturer/klimov;"Manufacturer: Klimov
"

engine_manufacturer/shvetsov;"Manufacturer: Shvetsov
"

engine_manufacturer/pzl_wola;"Manufacturer: PZL-Wola
"

engine_manufacturer/hpz;"Manufacturer: HPZ
"

engine_manufacturer/chtz;"Manufacturer: ChTZ
"

engine_manufacturer/yamz;"Manufacturer: YaMZ
"

engine_manufacturer/transmash;"Manufacturer: Transmash
"

engine_manufacturer/utmz;"Manufacturer: UTMZ
"

engine_manufacturer/kamaz;"Manufacturer: PAO «KAMAZ»
"

engine_manufacturer/lycoming_engines;"Manufacturer: Lycoming Engines
"

engine_manufacturer/gnome-rhone;"Manufacturer: Gnome et Rhône
"

engine_manufacturer/mikulin;"Manufacturer: Mikulin
"

engine_manufacturer/hispano-suiza;"Manufacturer: Hispano-Suiza
"

engine_manufacturer/charomskiy;"Manufacturer: Charomskiy
"

engine_manufacturer/nakajima;"Manufacturer: Nakajima
"

engine_manufacturer/mitsubishi;"Manufacturer: Mitsubishi Jū Kōgyō
"

engine_manufacturer/general_electric;"Manufacturer: General Electric
"

engine_manufacturer/kawasaki;"Manufacturer: Kawasaki
"

engine_manufacturer/toko;"Manufacturer: Toko
"

engine_manufacturer/p&w;"Manufacturer: Pratt & Whitney
"

engine_manufacturer/allison;"Manufacturer: Allison Engine Company
"

engine_manufacturer/packard;"Manufacturer: Packard
"

engine_manufacturer/wright;"Manufacturer: Wright
"

engine_manufacturer/westinghouse;"Manufacturer: Westinghouse
"

engine_manufacturer/rolls-royce;"Manufacturer: Rolls-Royce
"

engine_manufacturer/napier;"Manufacturer: Napier
"

engine_manufacturer/bristol;"Manufacturer: Bristol
"

engine_manufacturer/de-haviland;"Manufacturer: de Havilland
"

engine_manufacturer/armstrong_siddeley;"Manufacturer: Armstrong Siddeley
"

engine_manufacturer/avro_canada;"Manufacturer: Avro Canada
"

engine_manufacturer/bmw;"Manufacturer: BMW
"

engine_manufacturer/daimler_benz;"Manufacturer: Daimler-Benz
"

engine_manufacturer/walter;"Manufacturer: Walter Aircraft Engines
"

engine_manufacturer/fiat;"Manufacturer: Fiat
"

engine_manufacturer/alfa_romeo;"Manufacturer: Alfa Romeo
"

engine_manufacturer/gnome_rhone;"Manufacturer: Gnome et Rhône
"

engine_manufacturer/piaggio;"Manufacturer: Piaggio
"

engine_manufacturer/argus;"Manufacturer: Argus
"

engine_manufacturer/Isotta_Fraschini;"Manufacturer: Isotta Fraschini
"

engine_manufacturer/atsuta;"Manufacturer: Atsuta
"

engine_manufacturer/snecma;"Manufacturer: SNECMA
"

engine_manufacturer/snecma_turbomeca_larzac;"Manufacturer: SNECMA Turbomeca Larzac
"

engine_manufacturer/arsenal;"Manufacturer: Arsenal
"

engine_manufacturer/renault;"Manufacturer: Renault
"

engine_manufacturer/Renault;"Manufacturer: Renault
"

engine_manufacturer/tumansky;"Manufacturer: Tumansky
"

engine_manufacturer/IAR;"Manufacturer: Industria Aeronautică Română
"

engine_manufacturer/honeywell;"Manufacturer: Honeywell
"

engine_manufacturer/perkins;"Manufacturer: Perkins
"

engine_manufacturer/mtu;"Manufacturer: MTU
"

engine_manufacturer/wartsila;"Manufacturer: Wärtsilä
"

engine_manufacturer/scania;"Manufacturer: Scania
"

engine_manufacturer/turbomeca;"Manufacturer: Turbomeca
"

engine_manufacturer/turbo_union;"Manufacturer: Turbo-Union
"

engine_manufacturer/ishikawa-harima;"Manufacturer: Ishikawajima Harima Jū Kōgyō
"

engine_manufacturer/bristol_suddeley;"Manufacturer: Bristol Siddeley
"

engine_manufacturer/mtu_turbomeca_rolls-royce;"Manufacturer: MTU Turbomeca Rolls-Royce
"

