<ID|readonly|noverify>;<English>
missions/air_mysterious_valley_spaceport_BfD_norespawn;[Operation] Mysterious Valley
missions/air_mysterious_valley_wide_spawns_BfD_norespawn;[Operation] Mysterious Valley (air spawns)
missions/air_kamchatka_east_BfD_norespawn;[Operation] East Kamchatka
missions/hurtgen_2_BfD_norespawn;[Air Battle] Second Battle of Hürtgen
missions/krymsk_alt_BfD_norespawn;"[Alternate History] Krymsk — Summer, 1945"
missions/berlin_alt_BfD_norespawn;"[Alternate History] Berlin — Summer, 1945"
missions/air_ladoga_generic_BfD_norespawn;"[Operation] Ladoga — Winter, 1941"
missions/air_smolensk_1941_BfD_norespawn;[Operation] Smolensk — 1941
missions/air_smolensk_1943_BfD_norespawn;[Operation] Smolensk — 1943
missions/mozdok_winter_BfD_norespawn;"[Operation] Mozdok — Winter, 1943"
missions/moscow_42kilometer_BfD_norespawn;[Operation] Moscow — 42nd kilometer
missions/moscow_naro_fominsk_BfD_norespawn;[Operation] Naro-Fominsk
missions/moscow_serpuhov_BfD_norespawn;[Operation] Serpukhov
missions/sector_montmedy_44_BfD_norespawn;[Air Battle] France — 1944
missions/moscow_2_BfD_norespawn;[Air Battle] Moscow — 1941
