<ID|readonly|noverify>;<English>
armor_class/armored_glass;Armored glass
armor_class/wood;Wood
armor_class/spaced_armor_air;Air
armor_class/grille_air;Slat armor
armor_class/spall_liner;Spall liner
armor_class/CHA_tank;Cast homogeneous armor
armor_class/RHA_tank;Rolled homogeneous armor
armor_class/CHA_tank_modern;Cast homogeneous armor
armor_class/RHA_tank_modern;Rolled homogeneous armor
armor_class/RHA_tiger_II;Rolled homogeneous armor
armor_class/RHA_is_3;Rolled homogeneous armor
armor_class/RHAHH_tank;High hardness rolled armor
armor_class/fireproof_composite;Fireproof container
armor_class/aluminum_armor_AMS_4050A;AMS 4050A <color=#ff6f00>AL-Al</color>
armor_class/aluminum_armor_7039;AA 7039 <color=#ff6f00>AL-Al</color>
armor_class/aluminum_armor_7020;AA 7020 <color=#ff6f00>AL-Al</color>
armor_class/aluminum_armor_5083;AA 5083 <color=#ff6f00>AL-Al</color>
armor_class/aluminum_armor_AA_7017;AA 7017 <color=#ff6f00>AL-Al</color>
armor_class/RHAHH_tank_modern;High hardness rolled armor
armor_class/t_80b_composite_armor;Quartz core
armor_class/t_80u_turret_composite_armor;Cellular armor
armor_class/mexas_2;MEXAS 2 <color=#ff6f00>CMP</color>
armor_class/mexas_2c;MEXAS 2C <color=#ff6f00>CMP</color>
armor_class/t_72b_turrert_composite_armor;Combined armor with reflective plates
armor_class/ABT-101;ABT-101 <color=#ff6f00>AL-Al</color>
armor_class/abt_102;ABT-102 <color=#ff6f00>AL-Al</color>
armor_class/aluminum_alloy_armor;Aluminium alloy
armor_class/titanium_alloy_vt6;BT-6 <color=#ff6f00>AL-Ti</color>
armor_class/titanium_alloy_tank;Titanium Alloy
armor_class/tank_structural_steel;Structural steel
armor_class/grille_structural_steel;Structural steel
armor_class/aluminium;Aluminium
armor_class/tanks_fuel_tank;Structural steel
armor_class/ship_structural_steel;Structural steel
armor_class/ship_STS;Antifragmentation armor
armor_class/ship_Wsh;Hardened armor
armor_class/ship_RHA;Rolled homogeneous armor
armor_class/ship_RGA;Rolled cemented armor
armor_class/ships_oil_fuel_tank;Structural steel
armor_class/steel/short;Steel
armor_class/tank_barrel;Gun steel
armor_class/ship_wood;Wood
armor_class/concrete;Concrete
armor_class/us_era_m_60;ERA
armor_class/ERA_ARAT;M19 Abrams Reactive Armor Tile <color=#ff6f00>ERA</color>
armor_class/ERA_ARAT_2;M32 Abrams Reactive Armor Tile 2 <color=#ff6f00>ERA</color>
armor_class/ERA_AZUR;AZUR <color=#ff6f00>ERA</color>
armor_class/uk_era_romor_a;ROMOR-A <color=#ff6f00>ERA</color>
armor_class/cn_era_type_59d_turret;FY-2
armor_class/cn_era_type_59d_hull;FY-1
armor_class/composite_armor_hull;Composite armor
armor_class/composite_armor_turret;Composite armor
armor_class/spaced_armor;Spaced armor
armor_class/stillbrew;Stillbrew additional armor
armor_class/stillbrew_turret_front;Stillbrew additional armor + turret's front armor
armor_class/tank_textolite;Textolite
armor_class/tank_ultra_porcelain;Ultra porcelain
armor_class/rubber_tank;Rubber
armor_class/nbc_liner_tank;Armor radiation material
armor_class/ex_era_hull;Explosive reactive armor
armor_class/ex_era_turret;Explosive reactive armor
armor_class/t64a_hull_frontal_armor_array;100 mm steel — 106 mm textolite — 20 mm steel
armor_class/t64a_turret_frontal_armor_array;steel — high hardness steel — steel
armor_class/tank_steel_wheels;Structural steel of chassis
armor_class/glass4_5;Bulletproof glass 4.5 mm
armor_class/glass8;Bulletproof glass 8 mm
armor_class/glass12;Bulletproof glass 12 mm
armor_class/glass22;Bulletproof glass 22 mm
armor_class/glass25;Bulletproof glass 25 mm
armor_class/glass30;Bulletproof glass 30 mm
armor_class/glass32;Bulletproof glass 32 mm
armor_class/glass38;Bulletproof glass 38 mm
armor_class/glass40;Bulletproof glass 40 mm
armor_class/glass42_8;Bulletproof glass 42.8 mm
armor_class/glass44;Bulletproof glass 44 mm
armor_class/glass44_45;Bulletproof glass 44.45 mm
armor_class/glass45;Bulletproof glass 45 mm
armor_class/glass50;Bulletproof glass 50 mm
armor_class/glass55;Bulletproof glass 55 mm
armor_class/glass57;Bulletproof glass 57 mm
armor_class/glass58;Bulletproof glass 58 mm
armor_class/glass60;Bulletproof glass 60 mm
armor_class/glass62_5;Bulletproof glass 62.5 mm
armor_class/glass63_5;Bulletproof glass 63.5 mm
armor_class/glass64;Bulletproof glass 64 mm
armor_class/glass66;Bulletproof glass 66 mm
armor_class/glass65;Bulletproof glass 65 mm
armor_class/glass68;Bulletproof glass 68 mm
armor_class/glass70;Bulletproof glass 70 mm
armor_class/glass75;Bulletproof glass 75 mm
armor_class/glass90;Bulletproof glass 90 mm
armor_class/glass105;Bulletproof glass 105 mm
armor_class/glass106;Bulletproof glass 106 mm
armor_class/glass102;Bulletproof glass 102 mm
