<ID|readonly|noverify>;<English>
country_britain;UK
country_britain/short;UK
country_china;China
country_china/short;China
country_germany_weimar_republic;German Reich
country_germany_empire_navy;German Empire
country_germany_modern;Germany
country_germany;Germany
country_germany/short;Germany
country_japan;Japan
country_japan/short;Japan
country_usa;USA
country_usa_modern;United States of America
country_usa/short;USA
country_ussr;USSR
country_ussr/short;USSR
country_russia;Russia
country_russia_empire_navy;Russian Empire
country_sweden;Sweden
country_sweden/short;Sweden
shop/unitCountry/operator;Operator country<color=#ffffff>
shop/unitCountry/research;</color>Research country<color=#ffffff>
country_australia;Australia
country_austria;Austria
country_italy_kingdom;Kingdom of Italy
country_italy;Italy
country_italy/short;Italy
country_belgium;Belgium
country_bulgaria;Bulgaria
country_brazil;Brazil
country_canada;Canada
country_finland;Finland
country_france;France
country_france/short;France
country_greece;Greece
country_greece_modern;Greece
country_hungary;Kingdom of Hungary
country_hungary_modern;Hungary
country_iraq;Iraq
country_netherlands;Netherlands
country_new_zealand;New Zealand
country_norway;Norway
country_poland;Poland
country_romania;Romania
country_south_africa;South Africa
country_thailand;Thailand
country_yugoslavia;Yugoslavia
country_korea;South Korea
country_japan_modern;Japan
country_portugal;Portugal
country_syria;Syria
country_canada_modern;Canada
country_argentina;Argentina
country_south_africa_modern;South Africa
country_vietnam;Vietnam
country_turkey;Türkiye
country_cuba;Cuba
country_philippines;Philippines
country_czech;Czechia
country_gdr;GDR
country_north_korea;North Korea
country_bangladesh;Bangladesh
country_republic_china;Republic of China
country_pakistan;Pakistan
country_ireland;Ireland
country_slovakia;Slovakia
country_saudi_arabia;Saudi Arabia
country_spain;Spain
country_jordan;Jordan
country_britain_empire_navy;United Kingdom of Great Britain and Northern Ireland
country_pkg6;Ponyland
country_switzerland;Switzerland
country_india;India
country_kazakhstan;Kazakhstan
country_lithuania;Lithuania
country_oman;Oman
country_denmark;Denmark
country_kuwait;Kuwait
country_egypt;Egypt
country_israel;Israel
country_israel/short;Israel
country_iran;Iran
country_colombia;Colombia
