<ID|readonly|noverify>;<English>
//GENERAL DECALS
decals/victory_day_2025_decal;"""My pobyedili! Victory is ours!"" poster"
decals/victory_day_2025_decal/desc;"""My pobyedili! Victory is ours!"" (""We won! Victory is ours!"" / ""Мы победили! Victory is ours!"") poster decal in honor of the 80th anniversary of Victory in Europe Day."

//USSR DECALS
decals/ussr_victory_is_ours_text;"""Pobyeda za nami."" text"
decals/ussr_victory_is_ours_text/desc;"""Pobyeda za nami."" (""Victory is ours."" / ""Победа за нами."") text decal."
decals/ussr_victory_over_berlin_text;"""Pobyeda nad Byerlinom"" decal"
decals/ussr_victory_over_berlin_text/desc;"""Pobyeda nad Byerlinom"" (""Victory over Berlin"" / ""Победа над Берлином"") decal."

//ISRAEL DECALS
decals/iaf_107_sqn_orange_tiger;Emblem of Ṭayeset 107 (1971-2005)
decals/iaf_107_sqn_orange_tiger/desc;"Emblem of Ṭayeset 107 ""Ṭayeset 'Aviri Hiznev Hakhtom"" (Squadron 107 ""Orange Tail Knights Squadron"" / ""םותכה בלזנה יראבא תסייט"" 107 תסייט) of the Israeli Air Force during its operation of F-4 Ḳurnas aircraft from 1971-2005."
