<ID|readonly|noverify>;<English>
//GENERAL SENSOR TEXT
sensors/tv_tracker;Auto tracker
sensors/tv_tracker_tgp;Auto tracker
sensors/ir_tracker;Auto tracker
sensors/ir_tracker_tgp;Auto tracker
sensors/cn_helicopter_z_lws;LWS
sensors/cn_helicopter_z_rwr;RWR
sensors/cn_helicopter_z_mlws;MLWS
radar_tws_plus;TWS+
radar_tws_esa;TWS ESA
radar_nctr;NCTR, types
mlws_type;Type
mlws_type_radar;Radar
mlws_type_ir;Optic
mlws_range_max;Range
mlws_range_finder;Range-finder
avionics_auto_cm;Auto C/M
avionics_auto_cm_by_rwr;RWR
avionics_auto_cm_by_mlws;MLWS
avionics_auto_cm_sensors;Sensors
avionics_auto_cm_programs;Programs
sensors/us_lav_ad_track;ATT
radar_air_search;Air Search
radar_surface_search;Surface Search
radar_gtm;GTM
radar_sea;Sea
radar_gmti;GMTI

//RADARS
sensors/us_sa_radar;SA
sensors/su_rif;Rif
sensors/us_an_sps_4;"Surface Search Radar, AN/SPS-4 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_6;"Air Search Radar, AN/SPS-6 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_8a;"Air Search Radar, AN/SPS-8A <color=#ff6f00>RDR</color>"
sensors/us_an_sps_10;"Surface Search Radar, AN/SPS-10 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_12;"Air Search Radar, AN/SPS-12 <color=#ff6f00>RDR</color>"
sensors/us_fc_radar;FC <color=#ff6f00>RDR</color>
sensors/AN-SPG-51;AN-SPG-51
sensors/AN-SC-2;AN-SC-2
sensors/AN-SPS-12;AN-SPS-12
sensors/us_mk3_radar;"Fire Control Radar, Mk 3 Mod 2 <color=#ff6f00>RDR</color>"
sensors/us_mk8_radar;"Fire Control Radar, Mk 8 Mod 3 <color=#ff6f00>RDR</color>"
sensors/us_mk12_radar;"Fire Control Radar, Mk 12 Mod 1 <color=#ff6f00>RDR</color>"
sensors/us_mk19_radar;Mk 19 Mod 59 <color=#ff6f00>RDR</color>
sensors/us_mk25_radar;"Fire Control Radar, Mk 25 Mod 2 <color=#ff6f00>RDR</color>"
sensors/us_sc_radar;SC
sensors/us_sc2_radar;SC-2
sensors/us_sg_radar;SG
sensors/us_sg6_radar;SG-6
sensors/us_sk;SK
sensors/us_sk2_radar;SK-2
sensors/us_sp_radar;SP
sensors/us_an_apg_59;AN/APG-59 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_59_f_4j;AN/APG-59 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_59u;AN/APG-59U <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_60;AN/APG-60 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_61;AN/APG-61 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_63;AN/APG-63 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_63_baz;AN/APG-63 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_63_psp;AN/APG-63 (Programmable Signal Processor) <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_63_v_1;AN/APG-63(V)1 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_65gy;AN/APG-65(GY) <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_65q;AN/APG-65Q <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66;AN/APG-66 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66h;AN/APG-66H <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66_v_2;AN/APG-66(V)2 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66_v_2_hms;AN/APG-66(V)2 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_63_v_3;AN/APG-66(V)3 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_67;AN/APG-67 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66_v_1;AN/APG-66(V)1 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_66_v_3;AN/APG-66(V)3 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_68_v_5;AN/APG-68(V)5 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_68_v_7;AN/APG-68(V)7 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_68_v_9;AN/APG-68(V)9 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_70;AN/APG-70 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_70i;AN/APG-70I <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_73;AN/APG-73 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_73_hms;AN/APG-73 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_76_an_asx_1;AN/APG-76 <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_78;AN/APG-78 Longbow <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_78_v6;AN/APG-78(V)6 Longbow <color=#ff6f00>RDR-PD</color>
sensors/us_an_apg_79;AN/APG-79 <color=#ff6f00>RDR-AESA</color>
sensors/us_an_apq_100;AN/APQ-100 <color=#ff6f00>RDR</color>
sensors/us_an_apq_120;AN/APQ-120(V)5 <color=#ff6f00>RDR</color>
sensors/us_an_mpq_64;AN/MPQ-64 Sentinel <color=#ff6f00>RDR-PD</color>
sensors/us_comanche_fcr;Comanche Radar <color=#ff6f00>RDR-PD</color>
sensors/uk_captor_ecrs_1_pirate;ECRS Mk1 <color=#ff6f00>RDR-AESA</color>
sensors/uk_captor_ecrs_2_pirate;ECRS Mk2 <color=#ff6f00>RDR-AESA</color>
sensors/de_hensoldt_trml_4b;TRML 4D <color=#ff6f00>RDR-AESA</color>
sensors/su_sapphire_21;Sapphire-21
sensors/su_sapphire_23;Sapphire-23D/TP-23
sensors/su_sapphire_23mla_2;Sapphire-23MLA-2/TP-23M
sensors/su_sapphire_23mla;Sapphire-23MLA/TP-23M
sensors/su_sapphire_23ml;Sapphire-23ML/TP-23M

sensors/su_sapphire_25;"Sistyema upravlyeniâ vooružyeniyem S-25
• Bortovoj radiolokaczionnoj stanczii RP-25MN ""Sapfir-25"" <color=#ff6f00>RDR-PD</color>
  • Radiolokaczionnaâ stancziâ N005
• Tyeplopyelyengator TP-26Š1 <color=#ff6f00>IRST</color>"

sensors/su_n_001;RLPK-27 Myeč <color=#ff6f00>RDR-PD</color>
sensors/su_n_001k;RLPK-27K Myeč <color=#ff6f00>RDR-PD</color>

sensors/su_n_001ve;"Sistyema upravlyeniâ vooružyeniyem SUV-VÈ
• Radiolokaczionnyj priczyel'nyj komplyeks RLPK-27VÈ ""Myeč"" <color=#ff6f00>RDR-PD</color>
  • Radiolokaczionnaâ stancziâ N001VYe
• Optiko-èlyektronnaâ priczyel'naâ sistyema OÈPS-27 <color=#ff6f00>IRST</color>"

sensors/su_n_001vep;RLPK-27VEŠ Myeč-M <color=#ff6f00>RDR-PD</color>
sensors/su_n_035e;"Radiolokaczionnaâ sistyema upravlyeniâ N035 ""Irbis"" <color=#ff6f00>RDR-AESA</color>"
sensors/su_v_004;V004 <color=#ff6f00>RDR-PESA</color>
sensors/su_vn_001;VN001 <color=#ff6f00>RDR-AESA</color>
sensors/su_9s18m3;"Radiolokaczionnaâ stancziâ 9S18M3 ""Kupol-M3"" <color=#ff6f00>RDR-PESA</color>"
sensors/su_viking;Radiolokaczionnaâ stancziâ 9S35M3 <color=#ff6f00>RDR-PESA</color>
sensors/jp_awg_11;J/AWG-11
sensors/jp_awg_12;J/AWG-12
sensors/jp_j_apg_1;J/APG-1 <color=#ff6f00>RDR-AESA</color>
sensors/jp_j_apg_2;J/APG-2 <color=#ff6f00>RDR-AESA</color>
sensors/jp_type_81_search;81 Shiki Tankyorichi Taikū Yūdōdan C Gata Ta Kinō Rēdā <color=#ff6f00>RDR-PESA</color>
sensors/jp_type_03_search;03 Shiki Chūkyorichi Taikū Yūdōdan Shagekiyō Rēda Sōchi Kūchūsenbu <color=#ff6f00>RDR-AESA</color>
sensors/cn_type_280;208 Léidá | SL-5 Léidá | K/LKK208 Léidá <color=#ff6f00>RDR</color>
sensors/cn_type_208a;208A Léidá | SL-5A Léidá | K/LKK208A Léidá <color=#ff6f00>RDR</color>
sensors/uk_marconi_type_226;226 Léidá | K/LKK226 Léidá <color=#ff6f00>RDR</color>
sensors/cn_jl_7a;JL-7A Xìliè Shèjí Miáozhun Léidá <color=#ff6f00>RDR</color>
sensors/cn_jl_10a;JL-10A Xìliè Shèjí Miáozhun Léidá <color=#ff6f00>RDR-PD</color>
sensors/cn_type_1473;1473H Léidá | KLJ-3 Jīzai Màichōng Duō Pu Lè Huǒ Kòng Léidá | K/LKK73H Jīzai Màichōng Duō Pu Lè Huǒ Kòng Léidá <color=#ff6f00>RDR-PD</color>
sensors/cn_klj_7;1478 Léidá | KLJ-7 Jīzai Màichōng Duō Pu Lè Huǒ Kòng Léidá | K/LKK78 Jīzai Màichōng Duō Pu Lè Huǒ Kòng Léidá <color=#ff6f00>RDR-PD</color>
sensors/cn_klj_10a;KLJ-10A Jīzai Màichōng Duō Pu Lè Huo Kòng Léidá <color=#ff6f00>RDR-AESA</color>
