<ID|readonly|noverify>;<English>
//AI UNITS
ships/uss_cv_immortal_0;Carrier
ships/uss_cv_immortal_1;Carrier
ships/uss_cv_immortal_2;Carrier
ships/uss_lcvp_light_0;Landing craft
ships/uss_lcvp_light_1;Landing craft
ships/uss_lcvp_light_2;Landing craft
tracked_vehicles/ussr_t34_85_increased_pitch_0;Tank
tracked_vehicles/ussr_t34_85_increased_pitch_1;Tank
tracked_vehicles/ussr_t34_85_increased_pitch_2;Tank
air_defence/searchLightTop_0;Search light
air_defence/searchLightTop_1;Search light
air_defence/searchLightTop_2;Search light
ships/germ_bb_tirpitz_searchlight_top_0;Battleship
ships/germ_bb_tirpitz_searchlight_top_1;Battleship
ships/germ_bb_tirpitz_searchlight_top_2;Battleship
ships/germ_dd_z28_searchlight_top_0;Destroyer
ships/germ_dd_z28_searchlight_top_1;Destroyer
ships/germ_dd_z28_searchlight_top_2;Destroyer
wheeled_vehicles/truck_arcade_0;Cargo truck
wheeled_vehicles/truck_arcade_1;Truck
wheeled_vehicles/truck_arcade_2;Truck
ships/cargo_ship_arcade_0;Cargo ship
ships/cargo_ship_arcade_1;Cargo ship
ships/cargo_ship_arcade_2;Ship
structures/dummy_arcade_0;Base building
structures/dummy_arcade_1;Base building
structures/dummy_arcade_2;Base building
structures/dummy_airfield_0;Airfield
structures/dummy_airfield_1;Airfield
structures/dummy_airfield_2;Airfield
structures/flag_victory_0;Flag
structures/flag_victory_1;Flag
structures/flag_victory_2;Flag
structures/dummy_airfield_5k_0;Airfield
structures/dummy_airfield_5k_1;Airfield
structures/dummy_airfield_5k_2;Airfield
structures/dummy_bombtarget_0;Bombing point
structures/dummy_bombtarget_1;Bombing point
structures/dummy_bombtarget_2;Bombing point
structures/dummy_bombtarget_airfield_0;Runway
structures/dummy_bombtarget_airfield_1;Runway
structures/dummy_bombtarget_airfield_2;Runway
structures/tank_target_10a_char_0;Target №10a
structures/tank_target_10a_char_1;Target №10a
structures/tank_target_10a_char_2;Target №10a
structures/tank_target_12_char_0;Target №12
structures/tank_target_12_char_1;Target №12
structures/tank_target_12_char_2;Target №12
structures/tank_target_17_char_0;Target №17
structures/tank_target_17_char_1;Target №17
structures/tank_target_17_char_2;Target №17
structures/tank_target_25_char_0;Target №25
structures/tank_target_25_char_1;Target №25
structures/tank_target_25_char_2;Target №25
structures/tank_target_8_char_0;Target №8
structures/tank_target_8_char_1;Target №8
structures/tank_target_8_char_2;Target №8
structures/tank_target_9_char_0;Target №9
structures/tank_target_9_char_1;Target №9
structures/tank_target_9_char_2;Target №9
unic_hornet;USS Hornet CV-8
unic_hornet_0;USS Hornet CV-8
unic_hornet_1;USS Hornet
unic_hornet_2;Carrier
unic_enterprise;USS Enterprise (CV-6)
unic_enterprise_0;USS Enterprise (CV-6)
unic_enterprise_1;USS Enterprise
unic_enterprise_2;Carrier
unic_yorktown;USS Yorktown CV-5
unic_yorktown_0;USS Yorktown CV-5
unic_yorktown_1;USS Yorktown
unic_yorktown_2;Carrier
unic_soryu;IJN Sōryū
unic_soryu_0;IJN Sōryū
unic_soryu_1;IJN Sōryū
unic_soryu_2;Carrier
unic_hiryu;IJN Hiryū
unic_hiryu_0;IJN Hiryū
unic_hiryu_1;IJN Hiryū
unic_hiryu_2;Carrier
unic_kaga;IJN Kaga
unic_kaga_0;IJN Kaga
unic_kaga_1;IJN Kaga
unic_kaga_2;Carrier
unic_akagi;IJN Akagi
unic_akagi_0;IJN Akagi
unic_akagi_1;IJN Akagi
unic_akagi_2;Carrier
unic_shokaku;IJN Shōkaku
unic_shokaku_0;Shōkaku-class, IJN Shōkaku
unic_shokaku_1;IJN Shōkaku
unic_shokaku_2;Carrier
