<ID|readonly|noverify>;<English>
//USA GUNS

//GERMANY GUNS

//USSR GUNS
modification/pk3_gunpod;PK-3
modification/pk3_gunpod/desc;Loadout unlocked: 7.62 mm <color=@userlogColoredText>PK-3</color> gunpod.


//UK GUNS

//JAPAN GUNS

//CHINA GUNS

//ITALY

//FRANCE GUNS

//SWEDEN GUNS

//ISRAEL GUNS

//UNCATEGORIZED GUNS

//USA AMMUNITION
modification/406mm_us_mk8_mod6_navy_apcbc;"16""/50 Mk 7 Mod 0"
modification/406mm_us_mk8_mod6_navy_apcbc_ammo_pack;"16""/50 Mk 7 Mod 0"

//GERMANY AMMUNITION

//USSR AMMUNITION
modification/406mm_ussr_navy_sapcbc;PB obr. 1915/28 gg.
modification/406mm_ussr_navy_apcbc;BR obr. 1915/28 gg.
modification/406mm_ussr_navy_apcbc_ammo_pack;BR obr. 1915/28 gg.
modification/350mm_germ_skl_45_navy_apcbc;35cm Pz.Spr.Gr. L/3,6
modification/350mm_germ_skl_45_navy_apcbc_ammo_pack;35cm Pz.Spr.Gr. L/3,6

//UK AMMUNITION
modification/381mm_uk_bl_mk1_6crh_22b_navy_apc;A.P.C., 15-inch, 6-crh., Mk. XXIIb
modification/381mm_uk_bl_mk1_6crh_22b_navy_apc_ammo_pack;A.P.C., 15-inch, 6-crh., Mk. XXIIb

//JAPAN AMMUNITION
modification/460mm_jp_type91_navy_apc;46 Sanchi 91 Shiki Tekkō Dan
modification/460mm_jp_type91_navy_apc_ammo_pack;46 Sanchi 91 Shiki Tekkō Dan

//CHINA AMMUNITION

//ITALY AMMUNITION
modification/381mm_50_it_navy_apcbc;Palla perforante da 381/50
modification/381mm_50_it_navy_apcbc_ammo_pack;Palla perforante da 381/50

//FRANCE AMMUNITION
modification/380mm_45_fr_mle1936_navy_apcbc;380 mm OPf(K) RC Mle. 1936
modification/380mm_45_fr_mle1936_navy_apcbc_ammo_pack;380 mm OPf(K) RC Mle. 1936
modification/380mm_45_fr_mle1943_navy_apcbc;380 mm OPf(K) RC Mle. 1943
modification/380mm_45_fr_mle1943_navy_apcbc_ammo_pack;380 mm OPf(K) RC Mle. 1943

//SWEDEN AMMUNITION

//ISRAEL AMMUNITION

