<ID|readonly|noverify>;<English>
//USA GUNS - GUN/FAMILY START: RANK 6
m249_para_shop;M249
m249_para_0;"<color=#81c3fc>FN America</color>
Machine Gun, 5.56 mm, M249 ""Para"""
m249_para_1;M249
m249_para_2;Machine Gun

m4a1_shop;M4A1
m4a1_0;"<color=#81c3fc>Colt's Manufacturing Company Model 921</color>
Rifle, 5.56mm, M4A1"
m4a1_1;M4A1
m4a1_2;Assault Rifle

mossberg_590_shop;M590
mossberg_590_0;"<color=#81c3fc>O.F. Mossberg & Sons</color>
Shotgun, 12-Gague, M590"
mossberg_590_1;M590
mossberg_590_2;Shotgun

//USA GUNS - GUN/FAMILY START: RANK 7
mac_11_shop;M11/9mm
mac_11_0;<color=#81c3fc>Cobray Company M11/9mm Submachine Gun</color>
mac_11_1;M11/9mm
mac_11_2;Submachine Gun
m110a1_sdmr_shop;M110A1 SDMR

m110a1_sdmr_0;"<color=#81c3fc>Heckler & Koch</color>
<color=#ff8c80>Squad Designated Marksman Rifle</color>
Rifle, Precision Lightweight, 7.62mm, M110A1 Squad Designated
Marksman Rifle"
m110a1_sdmr_1;M110A1
m110a1_sdmr_2;Precision Lightweight Rifle

m16a4_shop;M16A4
m16a4_0;"<color=#81c3fc>Colt's Manufacturing Company Model 945</color>
Rifle, 5.56mm, M16A4"
m16a4_1;M16A4
m16a4_2;Assault Rifle

fn_scar_shop;Mk 16 Mod 0
fn_scar_0;"<color=#81c3fc>FN America SCAR-L</color>
Rifle, 5.56mm, Mk 16 Mod 0"
fn_scar_1;Mk 16 Mod 0
fn_scar_2;Assault Rifle

//USA GUNS - GUN/FAMILY START: RANK 8
sig_xm5_shop;XM5
sig_xm5_0;"<color=#81c3fc>Sig Sauer NGSW-R</color>
<color=#ff8c80>Next Generation Squad Weapon-Rifle</color>
Rifle, 6.8mm, XM5"
sig_xm5_1;XM5
sig_xm5_2;Assault Rifle

//USSR GUNS - GUN/FAMILY START: RANK 6

//USSR GUNS - GUN/FAMILY START: RANK 7
asm_val_shop;ASM
asm_val_0;"<color=#81c3fc>Tsyentral'nyj nauchno-isslyedovat'el'sk'ij inst'itut tochnogo
mashinostroyeniya</color>
<color=#5cae63>6P30M</color>
9-mm aftomat sp'etsial'nyj ASM ""Val"""
asm_val_1;ASM
asm_val_2;Special Automatic Rifle

//USSR GUNS - GUN/FAMILY START: RANK 8
ak_12_shop;AK-12
ak_12_0;"<color=#81c3fc>Kontsyern «Kalashnikof»</color>
<color=#5cae63>6P70M</color>
5,45-mm aftomat Kalashnikova AK-12
<color=#adadad>(2020)</color>"
ak_12_1;AK-12
ak_12_2;Automatic Rifle

ak_15_shop;AK-15
ak_15_0;"<color=#81c3fc>Kontsyern «Kalashnikof»</color>
<color=#5cae63>6P71</color>
7,62-mm aftomat Kalashnikova AK-15"
ak_15_1;AK-15
ak_15_2;Automatic Rifle

kord_6p67_shop;6P67
kord_6p67_0;"<color=#81c3fc>Zavot im. V. A. D'ekt'aryova</color>
<color=#919191>A-545</color>
5,45-mm aftomat 6P67 ""Kort"""
kord_6p67_1;6P67
kord_6p67_2;Automatic Rifle

kord_6p68_shop;6P68
kord_6p68_0;"<color=#81c3fc>Zavot im. V. A. D'ekt'aryova</color>
<color=#919191>A-762</color>
7,62-mm aftomat 6P68 ""Kort"""
kord_6p68_1;6P68
kord_6p68_2;Automatic Rifle
