"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"//ENGINE MANUFACTURERS";;;;;;;;;;;;;;;;;;;;;;;
"engine_manufacturer/maybach";"Manufacturer: Maybach";"Maybach";"Maybach";"Maybach";"Maybach";"Maybach";"Maybach";"Maybach";"Maybach";"迈\t巴\t赫";"マイバッハ";"Maybach";"Maybach";"Majbah";"Maybach";"마이바흐";"Maybach";"Maybach";"邁\t巴\t赫";"迈\t巴\t赫";;
"engine_manufacturer/gnome_et_rhone";"Manufacturer: Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"诺\t姆\t-\t罗\t纳";"ノーム・エ・ローヌ";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"Gnome et Rhône";"놈-에-론";"Gnome et Rhône";"Gnome et Rhône";"格\t墨\t-\t羅\t納";"诺\t姆\t-\t罗\t纳";;
"engine_manufacturer/junkers";"Manufacturer: Junkers";"Junkers";"Junkers";"Junkers";"Junkers";"Junkers";"Junkers";"Junkers";"Junkers";"容\t克\t斯";"ユンカース";"Junkers";"Junkers";"Junkers";"Junkers";"융커스";"Junkers";"Junkers";"容\t克\t斯";"容\t克\t斯";;
"engine_manufacturer/klimov";"Manufacturer: Klimov";"Klimov";"Klimov";"Klimov";"Klimov";"Климов";"Klimow";"Klimov";"Klimov";"克\t里\t莫\t夫";"クリモフ";"Klimov";"Клімов";"Klimov";"Klimov";"클리모프";"Клімаў";"Klimov";"克\t里\t莫\t夫";"克\t里\t莫\t夫";;
"engine_manufacturer/shvetsov";"Manufacturer: Shvetsov";"Shvetsov";"Shvetsov";"Shvetsov";"Shvetsov";"Швецов";"Szwecow";"Švecov";"Shvetsov";"什\t韦\t佐\t夫";"ソロヴィヨーフ";"Shvetsov";"Швецов";"Švetskov";"Svecov";"쉬베초프";"Швяцоў";"Shvetsov";"什\t韋\t佐\t夫";"什\t韦\t佐\t夫";;
"engine_manufacturer/pzl_wola";"Manufacturer: PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"国\t家\t航\t空\t工\t厂\t沃\t拉\t厂";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"PZL-Wola";"國\t家\t航\t空\t工\t廠\t沃\t拉\t廠";"PZL-Wola";;
"engine_manufacturer/hpz";"Manufacturer: HPZ";"HPZ";"HPZ";"HPZ";"HPZ";"ХПЗ";"HPZ";"HPZ";"HPZ";"哈\t尔\t科\t夫\t共\t产\t国\t际\t机\t车\t工\t厂";"HPZ";"HPZ";"ХПЗ";"HPZ";"HPZ";"HPZ";"ХПЗ";"HPZ";"哈\t爾\t科\t夫\t共\t產\t國\t際\t機\t車\t工\t廠";"机\t车\t工\t厂";;
"engine_manufacturer/chtz";"Manufacturer: ChTZ";"ChTZ";"ChTZ";"ChTZ";"ChTZ";"ЧТЗ";"CzTZ";"ChTZ";"ChTZ";"车\t里\t雅\t宾\t斯\t克\t拖\t拉\t机\t厂";"ChTZ";"ChTZ";"ЧТЗ";"ChTZ";"CsTZ";"ChTZ";"ЧТЗ";"ChTZ";"車\t里\t雅\t賓\t斯\t克\t拖\t拉\t機\t廠";"拖\t拉\t机\t厂";;
"engine_manufacturer/yamz";"Manufacturer: YaMZ";"YaMZ";"YaMZ";"YaMZ";"YaMZ";"ЯМЗ";"JaMZ";"YaMZ";"YaMZ";"雅\t罗\t斯\t拉\t夫\t尔\t汽\t车\t厂";"YaMZ";"YaMZ";"ЯМЗ";"YaMZ";"JaMZ";"YaMZ";"ЯМЗ";"YaMZ";"雅\t羅\t斯\t拉\t夫\t爾\t汽\t車\t廠";"YaMZ\t汽\t车\t厂";;
"engine_manufacturer/transmash";"Manufacturer: Transmash";"Transmash";"Transmash";"Transmash";"Transmash";"Трансмаш";"Transmash";"Transmash";"Transmash";"巴\t尔\t瑙\t尔\t运\t输\t机\t械\t股\t份\t公\t司";"Transmash";"Transmash";"Трансмаш";"Transmash";"Transzmas";"트란스마쉬";"Трансмаш";"Transmash";"巴\t爾\t瑙\t爾\t運\t輸\t機\t械\t股\t份\t公\t司";"Transmash\t运\t输\t机\t械\t股\t份\t公\t司";;
"engine_manufacturer/utmz";"Manufacturer: UTMZ";"UTMZ";"UTMZ";"UTMZ";"UTMZ";"УТМЗ";"UTMZ";"UTMZ";"UTMZ";"乌\t拉\t尔\t重\t型\t机\t械\t制\t造\t厂";"UTMZ";"UTMZ";"УТМЗ";"UTMZ";"UTMZ";"UTMZ";"УТМЗ";"UTMZ";"烏\t拉\t爾\t重\t型\t機\t器\t製\t造\t廠";"UTMZ\t重\t型\t机\t械\t制\t造\t厂";;
"engine_manufacturer/kamaz";"Manufacturer: KamAZ";"KamAZ";"KamAZ";"KamAZ";"KamAZ";"КамАЗ";"KamAZ";"KamAZ";"KamAZ";"KamAZ";"KamAZ";"KamAZ";"КамАЗ";"KamAZ";"KamAZ";"KamAZ";"КамАЗ";"KamAZ";"KamAZ";"KamAZ";;
"engine_manufacturer/lycoming_engines";"Manufacturer: Lycoming Engines";"Moteurs Lycoming";"Motori Lycoming";"Lycoming-Motoren";"Motores Lycoming";"Lycoming Engines";"Lycoming Engines";"Lycoming Engines";"Lycoming Engines";"莱\t康\t明\t发\t动\t机";"Lycoming Engines";"Lycoming Engines";"Двигуни Lycoming";"Lycoming Engines";"Lycoming Engines";"라이커밍 엔진";"Lycoming Engines";"Motoare Lycoming";"萊\t康\t明\t發\t動\t機";"莱\t康\t明\t发\t动\t机";;
"engine_manufacturer/gnome-rhone";"Manufacturer: Gnome et Rhône";"Gnome-Rhone";"Gnome-Rhone";"Gnome-Rhone";"Gnome-Rhone";"Gnome et Rhône";"Gnome-Rhône";"Gnome-Rhône";"Gnome-Rhone";"诺\t姆\t-\t罗\t纳";"ノーム・ローヌ";"Gnome-Rhone";"Gnome-Rhone";"Gnome-Rhone";"Gnome–Rhône";"놈-론";"Gnome et Rhône";"Gnome-Rhone";"格\t墨\t-\t羅\t納";"诺\t姆\t-\t罗\t纳";;
"engine_manufacturer/mikulin";"Manufacturer: Mikulin";"Mikulin";"Mikulin";"Mikulin";"Mikulin";"Микулин";"Mikulin";"Mikulin";"Mikulin";"米\t库\t林";"ミクーリン";"Mikulin";"Микулин";"Mikulin";"Mikulin";"미쿨린";"Мікулін";"Mikulin";"米\t庫\t林";"米\t库\t林";;
"engine_manufacturer/hispano-suiza";"Manufacturer: Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"伊\t斯\t帕\t诺\t-\t絮\t扎";"イスパノ・スイザ";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"Hispano-Suiza";"이스파노-수이자";"Hispano-Suiza";"Hispano-Suiza";"希\t斯\t巴\t諾\t-\t蘇\t莎";"伊\t斯\t帕\t诺\t-\t絮\t扎";;
"engine_manufacturer/charomskiy";"Manufacturer: Charomskiy";"Charomskiy";"Charomskiy";"Charomskiy";"Charomskiy";"Чаромский";"Czaromski";"Čaromskij";"Charomskiy";"恰\t罗\t姆\t斯\t基";"チャロムスキー";"Charomskiy";"Чаромскій";"Čarmoskij";"Csaromszkij";"체롬스키";"Чаромскі";"Charomskiy";"恰\t羅\t姆\t斯\t基";"恰\t罗\t姆\t斯\t基";;
"engine_manufacturer/nakajima";"Manufacturer: Nakajima";"Nakajima";"Nakajima";"Nakajima";"Nakajima";"Накадзима";"Nakajima";"Nakadžima";"Nakajima";"中\t岛";"中島";"Nakajima";"Накадзіма";"Nakadžima";"Nakajima";"나카지마";"Nakajima";"Nakajima";"中\t島";"中\t岛";;
"engine_manufacturer/mitsubishi";"Manufacturer: Mitsubishi";"Mitsubishi";"Mitsubishi";"Mitsubishi";"Mitsubishi";"Мицубиси";"Mitsubishi";"Micubiši";"Mitsubishi";"三\t菱";"三菱";"Mitsubishi";"Mitsubishi";"Micubiši";"Mitsubishi";"미쓰비시";"Mitsubishi";"Mitsubishi";"三\t菱";"三\t菱";;
"engine_manufacturer/general_electric";"Manufacturer: General Electric";"General Electric";"General Electric";"General Electric";"General Electric";"General Electric";"General Electric";"General Electric";"General Electric";"通\t用\t电\t气";"ゼネラル・エレクトリック";"General Electric";"General Electric";"Dženeral Elektrik";"General Electric";"제네럴일렉트릭";"General Electric";"General Electric";"奇\t異";"通\t用\t电\t气";;
"engine_manufacturer/kawasaki";"Manufacturer: Kawasaki";"Kawasaki";"Kawasaki";"Kawasaki";"Kawasaki";"Кавасаки";"Kawasaki";"Kawasaki";"Kawasaki";"川\t崎";"川崎";"Kawasaki";"Kawasaki";"Kawasaki";"Kawasaki";"가와사키";"Kawasaki";"Kawasaki";"川\t崎";"川\t崎";;
"engine_manufacturer/toko";"Manufacturer: Toko";"Toko";"Toko";"Toko";"Toko";"Токо";"Toko";"Toko";"Toko";"特\t吕";"特呂";"Toko";"Токо";"Toko";"Toko";"토코";"Toko";"Toko";"特\t吕";"特\t吕";;
"engine_manufacturer/p&w";"Manufacturer: Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt&Whitney";"普\t惠";"プラット・アンド・ホイットニー";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"Pratt & Whitney";"프랫 앤 휘트니";"Pratt & Whitney";"Pratt & Whitney";"普\t惠";"普\t惠";;
"engine_manufacturer/allison";"Manufacturer: Allison";"Allison";"Allison";"Allison";"Allison";"Allison";"Allison";"Allison";"Allison";"艾\t利\t逊";"アリソン";"Allison";"Allison";"Alison";"Allison";"앨리슨";"Allison";"Allison";"艾\t利\t遜";"艾\t利\t逊";;
"engine_manufacturer/packard";"Manufacturer: Packard";"Packard";"Packard";"Packard";"Packard";"Packard";"Packard";"Packard";"Packard";"帕\t卡\t德";"パッカード";"Packard";"Packard";"Pakard";"Packard";"팩커드";"Packard";"Packard";"帕\t卡\t德";"帕\t卡\t德";;
"engine_manufacturer/wright";"Manufacturer: Wright";"Wright";"Wright";"Wright";"Wright";"Wright";"Wright";"Wright";"Zanaatkâr";"莱\t特";"ライト";"Wright";"Wright";"Rajt";"Wright";"라이트";"Wright";"Wright";"萊\t特";"莱\t特";;
"engine_manufacturer/westinghouse";"Manufacturer: Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"西\t屋";"ウェスティングハウス";"Westinghouse";"Westinghouse";"Westinghouse";"Westinghouse";"웨스팅하우스";"Westinghouse";"Westinghouse";"西\t屋";"西\t屋";;
"engine_manufacturer/rolls-royce";"Manufacturer: Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"Rolls-Royce";"罗\t尔\t斯\t-\t罗\t伊\t斯";"ロールス・ロイス";"Rolls-Royce";"Rolls-Royce";"Rols-Rojs";"Rolls-Royce";"롤스로이스";"Rolls-Royce";"Rolls-Royce";"勞\t斯\t萊\t斯";"罗\t尔\t斯\t-\t罗\t伊\t斯";;
"engine_manufacturer/napier";"Manufacturer: Napier";"Napier";"Napier";"Napier";"Napier";"Napier";"Napier";"Napier";"Napier";"纳\t皮\t尔";"ネイピア";"Napier";"Napier";"Napier";"Napier";"네이피어";"Napier";"Napier";"納\t皮\t爾";"纳\t皮\t尔";;
"engine_manufacturer/bristol";"Manufacturer: Bristol";"Bristol";"Bristol";"Bristol";"Bristol";"Bristol";"Bristol";"Bristol";"Bristol";"布\t里\t斯\t托\t尔";"ブリストル";"Bristol";"Bristol";"Bristol";"Bristol";"브리스톨";"Bristol";"Bristol";"布\t里\t斯\t托";"布\t里\t斯\t托\t尔";;
"engine_manufacturer/de-haviland";"Manufacturer: de Havilland";"de Havilland";"de Havilland";"de Haviland";"de Haviland";"de Havilland";"de Haviland";"de Haviland";"de Havilland";"德·哈\t维\t兰";"デ・ハビランド";"de Haviland";"de Havilland";"de Haviland";"de Havilland";"드 하빌랜드";"de Haviland";"de Haviland";"德\t哈\t維\t蘭";"德·哈\t维\t兰";;
"engine_manufacturer/armstrong_siddeley";"Manufacturer: Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"阿\t姆\t斯\t特\t朗·西\t德\t利";"アームストロング・シドレー";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"Armstrong Siddeley";"암스트롱 시들리";"Armstrong Siddeley";"Armstrong Siddeley";"阿\t姆\t斯\t特\t朗·西\t德\t利";"阿\t姆\t斯\t特\t朗·西\t德\t利";;
"engine_manufacturer/avro_canada";"Manufacturer: Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"阿\t芙\t罗\t加\t拿\t大";"アブロ・カナダ";"Avro Canada";"Avro Canada";"Avro Canada";"Avro Canada";"아브로 캐나다";"Avro Canada";"Avro Canada";"阿\t芙\t罗\t加\t拿\t大";"阿\t芙\t罗\t加\t拿\t大";;
"engine_manufacturer/bmw";"Manufacturer: BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";"BMW";;
"engine_manufacturer/daimler_benz";"Manufacturer: Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"戴\t姆\t勒\t-\t奔\t驰";"ダイムラー・ベンツ";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"Daimler-Benz";"다임러 벤츠";"Daimler-Benz";"Daimler-Benz";"戴\t姆\t勒\t-\t奔\t驰";"戴\t姆\t勒\t-\t奔\t驰";;
"engine_manufacturer/walter";"Manufacturer: Walter";"Walter";"Walter";"Walter";"Walter";"Walter";"Walter";"Walter";"Walter";"瓦\t尔\t特";"ヴァルター";"Walter";"Walter";"Walter";"Walter";"발터";"Walter";"Walter";"瓦\t尔\t特";"瓦\t尔\t特";;
"engine_manufacturer/fiat";"Manufacturer: Fiat";"Fiat";"Fiat";"Fiat";"Fiat";"Fiat";"Fiat";"Fiat";"Fiat";"菲\t亚\t特";"フィアット";"Fiat";"Fiat";"Fiat";"Fiat";"피아트";"Fiat";"Fiat";"菲\t亚\t特";"菲\t亚\t特";;
"engine_manufacturer/alfa_romeo";"Manufacturer: Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"阿\t尔\t法·罗\t密\t欧";"アルファロメオ";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"Alfa Romeo";"알파 로메오";"Alfa Romeo";"Alfa Romeo";"阿\t尔\t法·罗\t密\t欧";"阿\t尔\t法·罗\t密\t欧";;
"engine_manufacturer/gnome_rhone";"Manufacturer: Gnome et Rhône";"Gnome Rhone";"Gnome Rhone";"Gnome Rhone";"Gnome Rhone";"Gnome et Rhône";"Gnome-Rhône";"Gnome-Rhône";"Gonme Rhone";"诺\t姆\t-\t罗\t纳";"ノーム・ローヌ";"Gnome Rhone";"Gnome Rhone";"Gnome Rhone";"Gnome–Rhône";"놈-론";"Gnome et Rhône";"Gnome Rhone";"诺\t姆\t-\t罗\t纳";"诺\t姆\t-\t罗\t纳";;
"engine_manufacturer/piaggio";"Manufacturer: Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"比\t亚\t乔";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"Piaggio";"피아기오";"Piaggio";"Piaggio";"比\t雅\t久";"比\t亚\t乔";;
"engine_manufacturer/argus";"Manufacturer: Argus";"Argus";"Argus";"Argus";"Argus";"Argus";"Argus";"Argus";"Argus";"百\t眼\t巨\t人";"アルグス";"Argus";"Argus";"Argus";"Argus";"아구스";"Argus";"Argus";"百\t眼\t巨\t人";"百\t眼\t巨\t人";;
