"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"loading_bg";"Loading screen";"Écran de chargement";"Schermata di Caricamento";"Ladebildschirm";"Pantalla de carga";"Загрузочный экран";"Ekran ładowania";"Nahrávací obrazovky";"Yükleme ekranı";"载\t入\t画\t面";"読込画面";"Tela de carregamento";"Екран завантаження";"Loading screen";"Töltőképernyő";"로딩 창";"Загрузачны экран";"Loading screen";"載\t入\t畫\t面";"载\t入\t画\t面";"Màn hình tải";;
"loading_bg/login_layer";"P-47D-25-RE Thunderbolt — Ardennes";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt „Ardeny”";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 雷\t电 “血\t战\t阿\t登”";"P-47 サンダーボルト「アルデンヌ」";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennes""";"P-47 Thunderbolt ""Ardennek""";"P-47 썬더볼트 ""아르덴""";"P-47 Thunderbolt ""Ардэны""";"P-47 Thunderbolt ""Ardennes""";"P-47 雷\t霆\t—\t—\t“阿\t登”";"P47  “雷\t电” (阿\t登)";"P-47 Thunderbolt ""Ardennes""";;
"loading_bg/login_layer_a1";"Spitfire Mk. IX vs Ju 87 D-5";"Spitfire Mk IX";"Spitfire Mk IX";"Spitfire Mk IX";"Spitfire Mk IX";"Spitfire Mk.IX";"Spitfire Mk IX";"Spitfire Mk.IX";"Spitfire Mk IX";"喷\t火 Mk IX";"スピットファイア Mk IX";"Spitfire Mk IX";"Spitfire Mk IX";"Spitfire Mk IX";"Spitfire Mk. IX";"스핏파이어 Mk IX";"Spitfire Mk.IX";"Spitfire Mk IX";"噴\t火 Mk IX";"“喷\t火”\tMk IX";"Spitfire Mk IX";;
"loading_bg/login_layer_b1";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 ""Catalina""";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 卡\t特\t琳\t娜";"PBY-5 カタリナ";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 Catalina";"PBY-5 카탈리나";"PBY-5 «Каталіна»";"PBY-5 Catalina";"PBY-5 卡\t特\t琳\t娜";"PBY-5\t“卡\t特\t琳\t娜”";"PBY-5 Catalina";;
"loading_bg/login_layer_c1";"F-86A-5-NA Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 佩\t刀";"F-86 セイバー";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 Sabre";"F-86 세이버";"F-86 Sabre";"F-86 Sabre";"F-86 軍\t刀";"F-86 “佩\t刀”";"F-86 Sabre";;
"loading_bg/login_layer_d1";"He 111 H-3";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He-111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";"He 111";;
"loading_bg/login_layer_e1";"Tiger E (früh) and Fw 190 A-5/U12";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"虎\t式\t坦\t克 H1 型 与 Fw 190";"ティーガー\tI H1型 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"티거 H1 / Fw 190";"Tiger H1 / Fw 190";"Tiger H1 / Fw 190";"虎\t式\t坦\t克 H1 型\t／\tFw 190";"虎\t式\t坦\t克 H1 型\t／\tFw 190\t“伯\t劳\t鸟”";"Tiger H1 / Fw 190";;
"loading_bg/login_layer_f1";"Pe-2-83";"Pe-2";"Pe-2";"Pe-2";"Pe-2";"Пе-2";"Pe-2";"Pe-2";"Pe-2";"佩\t-2";"Pe-2";"Pe-2";"Пе-2";"Pe-2";"Pe-2";"Pe-2";"Пе-2";"Pe-2";"佩\t-2";"佩\t-2";"Pe-2";;
"loading_bg/login_layer_g1";"Ki 84-I Hei vs P-38E-LO";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"四\t式\t战\t斗\t机";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"Ki-84";"四\t式\t戰";"四\t式\t战\t斗\t机\t“疾\t风”";"Ki-84";;
"loading_bg/login_layer_h1";"P-47D-28-RE Thunderbolt — Aztec Eagle";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt „Aztec Eagle”";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 雷\t电 “阿\t兹\t特\t克\t雄\t鹰”";"P-47 サンダーボルト「アステカイーグル」";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 Thunderbolt ""Azték Sas""";"P-47 썬더볼트 ""아즈텍 이글""";"P-47 Thunderbolt ""Ацтэкскі арол""";"P-47 Thunderbolt ""Aztec Eagle""";"P-47 雷\t霆 —\t—\t“阿\t兹\t特\t克\t雄\t鷹”";"P-47 “雷\t电” (阿\t兹\t特\t克\t鹰)";"P-47 Thunderbolt ""Aztec Eagle""";;
