"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"missions/air_mysterious_valley_spaceport_BfD_norespawn";"[Operation] Mysterious Valley";"[Opération] Vallée mystérieuse. Port spatial";"[Operazione] Valle misteriosa. Porto Spaziale";"[Operation] Mysteriöse Schlucht: Weltraumbahnhof";"[Operación] Valle Misterioso. Puerto Espacial";"[Операция] Загадочная долина. Космопорт";"[Operacja] Tajemnicza Dolina. Port Kosmiczny";"[Operace] Tajemné údoli. Kosmodrom";"[Operasyon] Gizemli Vadi: Uzay Üssü";"【军\t事\t行\t动\t】\t幽\t邃\t峡\t谷 • 航\t天\t港";"[作戦]神秘の\t谷（発射施設）";"[Operação] Vale Misterioso. Espaçoporto";"[Операція] Загадкова долина. Космопорт";"[Operation] Mysterious Valley. Spaceport";"[Operation] Mysterious Valley. Spaceport";"[작전] 미지의 골짜기 - 우주 공항";"[Операция] Загадочная долина. Космопорт";"[Operation] Mysterious Valley. Spaceport";"【軍\t事\t行\t動\t】\t幽\t邃\t峽\t谷 • 航\t太\t港";"[Operation] Mysterious Valley. Spaceport";"[Chiến dịch] Thung lũng Kỳ bí. Trạm không gian";;
"missions/air_mysterious_valley_wide_spawns_BfD_norespawn";"[Operation] Mysterious Valley (air spawns)";"[Opération] Vallée mystérieuse (réapparitions aériennes)";"[Operazione] Valle Misteriosa (rigenerazioni aeree)";"[Operation] Geheimnisvolles Tal (Lufteinstiegspunkte)";"[Operación] Valle Misterioso (reapariciones aéreas)";"[Операция] Загадочная долина (появление в воздухе)";"[Operacja] Tajemnicza Dolina (odrodzenie w powietrzu)";"[Operace] Tajemné údolí (vzdušná nasazení)";"[Operasyon] Gizemli Vadi: Uzay Üssü (havada doğma)";"【军\t事\t行\t动\t】\t幽\t邃\t峡\t谷 (空\t中\t出\t生)";"[作戦]神秘の\t谷（空中\tスポーン）";"[Operação] Vale Misterioso (aparecimento aéreo)";"[Операція] Загадкова долина (поява в повітрі)";"[Operation] Mysterious Valley (air spawns)";"[Operation] Mysterious Valley (air spawns)";"[작전] 미지의 골짜기 (공중 부활)";"[Операция] Загадочная долина (появление в воздухе)";"[Operation] Mysterious Valley (air spawns)";"【軍\t事\t行\t動\t】\t幽\t邃\t峽\t谷 (空\t中\t出\t生)";"[Operation] Mysterious Valley (air spawns)";"[Chiến dịch] Thung lũng Kỳ bí (hồi sinh trên không)";;
"missions/air_kamchatka_east_BfD_norespawn";"[Operation] East Kamchatka";"[Opération] Kamchatka. Est";"[Operazione] Kamchatka. Est";"[Operation] Kamtschatka - Ost";"[Operación] Kamchatka. Este";"[Операция] Камчатка. Восток";"[Operacja] Kamczatka. Wschód";"[Operace] Kamčatka, východ";"[Operasyon] Kamchatka. Doğu";"【军\t事\t行\t动\t】\t堪\t察\t加\t半\t岛 • 极\t东\t之\t地";"[作戦]カムチャッカ\t半島、\t東部";"[Operação] Kamchatka. Leste";"[Операція] Камчатка. Схід";"[Operation] Kamchatka. East";"[Operation] Kamchatka. East";"[작전] 캄차카 동부";"[Операция] Камчатка. Восток";"[Operation] Kamchatka. East";"【軍\t事\t行\t動\t】\t堪\t察\t加\t半\t島 • 極\t東\t之\t地";"[Operation] Kamchatka. East";"[Chiến dịch] Kamchatka. Đông";;
"missions/hurtgen_2_BfD_norespawn";"[Air Battle] Second Battle of Hürtgen";"[Bataille aérienne] Hürtgen. Seconde bataille";"[Battaglia Aerea] Hürtgen. Seconda Battaglia";"[Luftschlacht] Hürtgen. Zweite Schlacht";"[Batalla Aérea] Hürtgen. Segunda Batalla";"[Воздушный бой] Хюртген. Второе сражение";"[Bitwa powietrzna] Bitwa o las Hürtgen, faza druga";"[Letecká bitva] Druhá bitva o Hürtgen";"[Hava Savaşı] Hürtgen. İkinci Savaş";"【军\t事\t行\t动\t】\t许\t特\t根\t森\t林\t战\t役 • 第\t二\t次\t攻\t势";"[空中戦] ヒュルトゲンの\t森";"[Batalha Aérea] Hürtgen. Segunda Batalha";"[Повітряна битва] Хюртгенвальд. Друга битва";"[Air Battle] Hürtgen. Second Battle";"[Légi csata] Második hürtgeni csata";"[공중전] 휘르트겐. 두번째 전투";"[Паветраны бой] Хюртген. Другая бітва";"[Bătălie aeriană] Hürtgen. Bătălia a doua.";"【軍\t事\t行\t動\t】\t許\t特\t根\t森\t林\t戰\t役 • 第\t二\t次\t攻\t勢";"血\t战\t密\t林";"[Không chiến] Hürtgen. Trận đánh thứ hai";;
"missions/krymsk_alt_BfD_norespawn";"[Alternate History] Krymsk — Summer, 1945";"[Alternate History] Krymsk. Été 1945";"[Storia Alternativa] Krymsk. Estate 1945";"[Alternative Geschichte] Krymsk im Sommer 1945";"[Historia alternativa] Krymsk. Verano de 1945";"[Альтернативная история] Крымск. Лето 1945";"[Historia Alternatywna] Krymsk. Lato 1945";"[Alternativní historie] Krymsk, léto 1945";"[Alternatif Tarih] Krymsk. 1945 Yazı";"【架\t空\t历\t史\t】\t克\t雷\t姆\t斯\t卡\t亚\t（1945 年\t夏）";"[もう\t一つの\t歴史] クルスク (1945年夏)";"[História Alternativa] Krymsk. Verão de 1945";"[Альтернативна історія] Кримськ. Літо 1945";"[Alternativna istorija] Krimsk. Leto 1945";"[Alternatív történelem] Krimszk (1945 nyara)";"[대체 역사] 크림스크, 1945년 여름";"[Альтэрнатыўная гісторыя] Крымск. Лета 1945";"[Istorie alternativă] Krymsk (vara 1945)";"【架\t空\t歷\t史\t】\t克\t雷\t姆\t斯\t卡\t亞\t（1945 年\t夏）";"【架\t空\t历\t史\t】\t克\t雷\t姆\t斯\t卡\t亚\t（1945 年\t夏）";"[Lịch sử thay đổi] Krymsk. Mùa hè 1945";;
"missions/berlin_alt_BfD_norespawn";"[Alternate History] Berlin — Summer, 1945";"[Histoire alternative] Berlin. Été 1945";"[Storia Alternativa] Berlino. Estate 1945";"[Alternative Geschichte] Berlin im Sommer 1945";"[Historia alternativa] Berlín. Verano de 1945";"[Альтернативная история] Берлин. Лето 1945";"[Historia Alternatywna] Berlin. Lato 1945";"[Alternativní historie] Berlín, léto 1945";"[Alternatif Tarih] Berlin. 1945 Yazı";"【架\t空\t历\t史\t】\t柏\t林 • 市\t郊\t（1945 年\t春）";"[もう\t一つの\t歴史] ベルリン(1945年夏)";"[História Alternativa] Berlim. Verão de 1945";"[Альтернативна історія] Берлін. Літо 1945";"[Izmenjena istorija] Berlin. Leto 1945.";"[Alternatív történelem] Berlin (1945 nyara)";"[대체 역사] 베를린, 1945년 여름";"[Альтэрнатыўная гісторыя] Берлін. Лета 1945";"[Istorie alternativă] Berlin (vara 1945)";"【架\t空\t歷\t史\t】\t柏\t林 • 市\t郊\t（1945 年\t春）";"【架\t空\t历\t史\t】\t心\t脏\t地\t带 • 市\t郊\t（1945 年\t春）";"[Bước ngoặt lịch sử] Berlin. Mùa hè năm 1945";;
"missions/air_ladoga_generic_BfD_norespawn";"[Operation] Ladoga — Winter, 1941";"[Operation] Ladoga. Hiver 1941";"[Operation] Ladoga. Inverno 1941";"[Operation] Ladoga. Winter 1941";"[Operación] Ladoga. Invierno 1941";"[Операция] Ладога. Зима 1941";"[Operacja] Ładoga. Zima 1941";"[Operace] Ladoga, zima 1941";"[Operasyon] Ladoga. 1941 Kışı";"【军\t事\t行\t动\t】\t拉\t多\t加 • 冬\t季\t（1941 年）";"[作戦]ラドガ（1941年冬）";"[Operação] Ladoga. Inverno de 1941";"[Операція] Ладога. Зима 1941";"[Operation] Ladoga. Winter 1941";"[Operation] Lagoda (1941 tele)";"[작전] 1941년 겨울의 라도가";"[Аперацыя] Ладага. Зіма 1941";"[Operation] Ladoga. Winter 1941";"【軍\t事\t行\t動\t】\t拉\t多\t加 • 冬\t季\t（1941 年）";"[Operation] Ladoga. Winter 1941";"[Chiến dịch] Ladoga. Mùa đông 1941";;
"missions/air_smolensk_1941_BfD_norespawn";"[Operation] Smolensk — 1941";"[Operation] Smolensk. 1941";"[Operation] Smolensk. 1941";"[Operation] Smolensk 1941";"[Operación] Smolensk. 1941";"[Операция] Смоленск. 1941";"[Operacja] Smoleńsk. 1941";"[Operace] Smolensk, 1941";"[Operasyon] Smolensk. 1941";"【军\t事\t行\t动\t】\t斯\t摩\t棱\t斯\t克\t（1941 年）";"[作戦] スモレンスク（1941）";"[Operação] Smolensk. 1941";"[Операція] Смоленськ. 1941";"[Operation] Smolensk. 1941";"[Operation] Szmolenszk (1941)";"[작전] 스몰렌스크 1941년";"[Аперацыя] Смаленск. 1941";"[Operation] Smolensk. 1941";"【軍\t事\t行\t動\t】\t斯\t摩\t棱\t斯\t克\t（1941 年）";"【军\t事\t行\t动\t】\t斯\t摩\t棱\t斯\t克\t（1941 年）";"[Chiến dịch] Smolensk. 1941";;
"missions/air_smolensk_1943_BfD_norespawn";"[Operation] Smolensk — 1943";"[Operation] Smolensk. 1943";"[Operation] Smolensk. 1943";"[Operation] Smolensk 1943";"[Operación] Smolensk. 1943";"[Операция] Смоленск. 1943";"[Operacja] Smoleńsk. 1943";"[Operace] Smolensk, 1943";"[Operasyon] Smolensk. 1943";"【军\t事\t行\t动\t】\t斯\t摩\t棱\t斯\t克\t（1943 年）";"[作戦] スモレンスク（1943）";"[Operação] Smolensk. 1943";"[Операція] Смоленськ. 1943";"[Operation] Smolensk. 1943";"[Operation] Szmolenszk (1943)";"[작전] 1943년 스몰렌스크";"[Аперацыя] Смаленск. 1943";"[Operation] Smolensk. 1943";"【軍\t事\t行\t動\t】\t斯\t摩\t棱\t斯\t克\t（1943 年）";"【军\t事\t行\t动\t】\t斯\t摩\t棱\t斯\t克\t（1943 年）";"[Chiến dịch] Smolensk. 1943";;
"missions/mozdok_winter_BfD_norespawn";"[Operation] Mozdok — Winter, 1943";"[Operation] Mozdok. Hiver 1943";"[Operation] Mozdok. Inverno 1943";"[Operation] Mosdok, Winter 1943";"[Operación] Mozdok. Invierno 1943";"[Операция] Моздок. Зима 1943";"[Operacja] Mozdok. Zima 1943";"[Operace] Mozdok, zima 1943";"[Operasyon] Mozdok. 1943 Kışı";"【军\t事\t行\t动\t】\t莫\t兹\t多\t克 • 冬\t季\t（1943 年）";"[作戦] モズドク（1943年冬）";"[Operação] Mozdok. Inverno de 1943";"[Операція] Моздок. Зима 1943";"[Operation] Mozdok. Zima 1943";"[Operation] Mozdok (1943 tele)";"[작전] 1943년 겨울의 모즈도크";"[Аперацыя] Маздок. Зіма 1943";"[Operation] Mozdok. Winter 1943";"【軍\t事\t行\t動\t】\t莫\t兹\t多\t克 • 冬\t季\t（1943 年）";"【军\t事\t行\t动\t】\t莫\t兹\t多\t克、\t1943\t冬";"[Chiến dịch] Mozdok. Mùa đông 1943";;
"missions/moscow_42kilometer_BfD_norespawn";"[Operation] Moscow — 42nd kilometer";"[Operation] Moscou. 42e kilomètre";"[Operation] Mosca. 42° kilometro";"[Operation] Moskau, 42. Kilometer";"[Operación] Moscú. Kilómetro 42";"[Операция] Москва. 42 километр";"[Operacja] Moskwa. 42 kilometr";"[Operace] Moskva, 42. kilometr";"[Operasyon] Moskova. 42. kilometre";"【军\t事\t行\t动\t】\t莫\t斯\t科 • 42 公\t里\t外";"[作戦] モスクワ（42km）";"[Operação] Moscou. 42º quilômetro";"[Операція] Москва. 42 кілометр";"[Operation] Moskva. 42. kilometar";"[Operation] Moszkva, 42. kilométer";"[작전] 모스크바. 42킬로미터";"[Аперацыя] Масква. 42 кіламетр";"[Operation] Moscow. 42nd kilometer";"【軍\t事\t行\t動\t】\t莫\t斯\t科 • 42 公\t里\t外";"【军\t事\t行\t动\t】\t莫\t斯\t科";"[Chiến dịch] Moscow. Cây số thứ 42";;
"missions/moscow_naro_fominsk_BfD_norespawn";"[Operation] Naro-Fominsk";"[Operation] Moscou. Naro-Fominsk";"[Operation] Mosca. Naro-Fominsk";"[Operation]Moskau Naro-Fominsk";"[Operación] Moscú. Naro-Fominsk";"[Операция] Москва. Наро-Фоминск";"[Operacja] Moskwa. Naro-Fominsk";"[Operace] Moskva, Naro-Fominsk";"[Operasyon] Moskova. Naro-Fominsk";"【军\t事\t行\t动\t】\t莫\t斯\t科 • 纳\t罗\t福\t明\t斯\t克";"[作戦] モスクワ（ナロ＝フォミンスク）";"[Operação] Moscou. Naro-Fominsk";"[Операція] Москва. Наро-Фомінськ";"[Operation] Moskva. Naro-Fominsk";"[Operation] Moszkva, Naro-Fominszk";"[작전] 모스크바. 나로-포민스크";"[Аперацыя] Масква. Нара-Фамінск";"[Operation] Moscow. Naro-Fominsk";"【軍\t事\t行\t動\t】\t莫\t斯\t科 • 納\t羅\t福\t明\t斯\t克";"【军\t事\t行\t动\t】\t莫\t斯\t科、\t纳\t罗\t-\t福\t明\t斯\t克";"[Chiến dịch] Moscow. Naro-Fominsk";;
"missions/moscow_serpuhov_BfD_norespawn";"[Operation] Serpukhov";"[Operation] Moscou. Serpukhov";"[Operation] Mosca. Serpukhov";"[Operation] Moskau Serpuchow";"[Operación] Moscú. Serpukhov";"[Операция] Москва. Серпухов";"[Operacja] Moskwa. Sierpuchow";"[Operace] Moskva, Serpuchov";"[Operasyon] Moskova. Serpuhov";"【军\t事\t行\t动\t】\t莫\t斯\t科 • 谢\t尔\t普\t霍\t夫";"[作戦] モスクワ（セルプホフ）";"[Operação] Moscou. Serpukhov";"[Операція] Москва. Серпухов";"[Operation] Moskva. Serpuhov";"[Operation] Moszkva, Szerpuhov";"[작전] 모스크바. 세르푸코프";"[Аперацыя] Масква. Серпухаў";"[Operation] Moscow. Serpukhov";"【軍\t事\t行\t動\t】\t莫\t斯\t科 • 謝\t爾\t普\t霍\t夫";"【军\t事\t行\t动\t】\t莫\t斯\t科、\t谢\t尔\t普\t霍\t夫";"[Chiến dịch] Moscow. Serpukhov";;
