"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"armor_class/armored_glass";"Armored glass";"Verre blindé";"Vetro blindato";"Panzerglas";"Cristal blindado";"Бронестекло";"Szkło pancerne";"pancéřové sklo";"Zırhlı cam";"防\t弹\t玻\t璃";"装甲板";"Vidro blindado";"Бронескло";"Oklopno staklo";"Páncélüveg";"방탄 유리";"Браняшкло";"Sticlă securizată";"防\t彈\t玻\t璃";"升\t级\t防\t弹\t玻\t璃";"Kính chống đạn";;
"armor_class/wood";"Wood";"Bois";"Legno";"Holz";"Madera";"Дерево";"Drewno";"dřevo";"Ahşap";"木\t料";"木材";"Madeira";"Деревина";"Drvo";"Fa";"목재";"Дрэва";"Lemn";"木\t材";"木\t料";"Gỗ";;
"armor_class/spaced_armor_air";"Air";"Air";"Aria";"Luft";"Aire";"Воздух";"Powietrze";"vzduch";"Hava";"空\t气";"航空機";"Ar";"Повітря";"Vazduh";"Levegő";"공간";"Паветра";"Aer";"空\t氣";"空\t气";"Không khí";;
"armor_class/grille_air";"Slat armor";"Blindage cage";"Griglia";"Lamellenpanzerung";"Blindaje de rejas";"Решетчатый экран";"Siatka przeciwkumulacyjna";"Lamelový pancíř";"Çıta zırh";"格\t栅\t装\t甲";"スラット\t装甲";"Blindagem em gaiola";"Ґратчастий екран";"Slat armor";"Rácspáncélzat";"슬랫 아머";"Рашэцісты экран";"Slat armor";"格\t柵\t裝\t甲";"格\t栅\t装\t甲";"Giáp lồng";;
"armor_class/spall_liner";"Spall liner";"Revêtement anti-éclats";"Protezione antischegge";"Splitterschutz";"Revestimiento anti-fragmentación";"Противоосколочный подбой";"Osłona przeciwodłamkowa";"Protistřepinová obšívka";"Spall liner";"防\t崩\t落\t衬\t层";"スポールライナー";"Spall liner";"Протиуламковий підбій";"Spall liner";"Spall liner";"파편 방지대";"Противоосколочный подбой";"Spall liner";"防\t崩\t落\t襯\t層";"Spall liner";"Lớp lót chống mảnh";;
"armor_class/CHA_tank";"Cast homogeneous armor";"Blindage homogène moulé";"Corazza omogenea fusa";"Gegossener Panzerstahl (CHA)";"Blindaje homogéneo de fundición";"Литая гомогенная броня";"Pancerz jednorodny odlewany";"odlévaný homogenní pancíř";"Dökme homojen zırh";"铸\t造\t均\t质\t装\t甲";"鋳造延鋼装甲";"Armadura homogénea fundida";"Лита гомогенна броня";"Izliveni homogeni oklop";"Öntött homogén páncél";"주조균질장갑";"Літая гамагенная браня";"Blindaj turnat omogen";"鑄\t造\t均\t質\t裝\t甲";"铸\t造\t均\t质\t装\t甲";"Giáp đúc đồng nhất ";;
"armor_class/RHA_tank";"Rolled homogeneous armor";"Blindage homogène laminé";"Corazza omogenea laminata";"Gewalzter Panzerstahl (RHA)";"Blindaje homogéneo laminado";"Катаная гомогенная броня";"Pancerz jednorodny walcowany";"válcovaný homogenní pancíř";"Haddelenmiş homojen zırh";"轧\t制\t均\t质\t装\t甲";"均質圧延鋼装甲";"Blindagem homogénea laminada";"Катана гомогенна броня";"Valjani homogeni oklop";"Hengerelt homogén páncél";"균질압연장갑";"Качаная гамагенная браня";"Blindaj laminat omogen";"軋\t製\t均\t質\t裝\t甲";"轧\t制\t均\t质\t装\t甲";"Giáp cán đồng nhất";;
"armor_class/CHA_tank_modern";"Cast homogeneous armor";"Blindage homogène moulé";"Corazza omogenea fusa";"Gegossener Panzerstahl (CHA)";"Blindaje homogéneo de fundición";"Литая гомогенная броня";"Pancerz jednorodny odlewany";"odlévaný homogenní pancíř";"Dökme homojen zırh";"铸\t造\t均\t质\t装\t甲\t（战\t后）";"鋳造延鋼装甲";"Armadura homogénea fundida";"Лита однорідна броня";"Cast homogeneous armor";"Öntött homogén páncél";"주조균질장갑";"Літая гамагенная браня";"Blindaj turnat omogen";"鑄\t造\t均\t質\t裝\t甲";"铸\t造\t均\t质\t装\t甲\t（战\t后）";"Giáp đúc đồng nhất ";;
"armor_class/RHA_tank_modern";"Rolled homogeneous armor";"Blindage homogène laminé";"Corazza omogenea laminata";"Gewalzter Panzerstahl (RHA)";"Blindaje homogéneo laminado";"Катаная гомогенная броня";"Pancerz jednorodny walcowany";"válcovaný homogenní pancíř";"Haddelenmiş homojen zırh";"轧\t制\t均\t质\t装\t甲\t（战\t后）";"均質圧延鋼装甲";"Blindagem homogénea laminada";"Катана гомогенна броня";"Rolled homogeneous armor";"Hengerelt homogén páncél";"균질압연장갑";"Качаная гамагенная браня";"Blindaj laminat omogen";"軋\t製\t均\t質\t裝\t甲";"轧\t制\t均\t质\t装\t甲\t（战\t后）";"Giáp cán đồng nhất";;
"armor_class/RHA_tiger_II";"Rolled homogeneous armor";"Blindage homogène laminé";"Corazza omogenea laminata";"Gewalzter Panzerstahl (RHA)";"Blindaje homogéneo laminado";"Катаная гомогенная броня";"Pancerz jednorodny walcowany";"válcovaný homogenní pancíř";"Haddelenmiş homojen zırh";"轧\t制\t均\t质\t装\t甲";"均質圧延鋼装甲";"Blindagem homogénea laminada";"Катана гомогенна броня";"Valjani homogeni oklop";"Hengerelt homogén páncél";"균질압연장갑";"Качаная гамагенная браня";"Blindaj laminat omogen";"軋\t製\t均\t質\t裝\t甲";"轧\t制\t均\t质\t装\t甲";"Giáp cán đồng nhất";;
