<ID|readonly|noverify>;<English>
//GENERAL SENSOR TEXT;
sensors/tv_tracker;Auto tracker
sensors/tv_tracker_tgp;Auto tracker
sensors/ir_tracker;Auto tracker
sensors/ir_tracker_tgp;Auto tracker
sensors/cn_helicopter_z_lws;LWS
sensors/cn_helicopter_z_rwr;RWR
sensors/cn_helicopter_z_mlws;MLWS
//RADARS;
sensors/us_sa_radar;SA
sensors/su_rif;Rif
sensors/us_an_sps_4;"Surface Search Radar, AN/SPS-4 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_6;"Air Search Radar, AN/SPS-6 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_8a;"Air Search Radar, AN/SPS-8A <color=#ff6f00>RDR</color>"
sensors/us_an_sps_10;"Surface Search Radar, AN/SPS-10 <color=#ff6f00>RDR</color>"
sensors/us_an_sps_12;"Air Search Radar, AN/SPS-12 <color=#ff6f00>RDR</color>"
sensors/us_fc_radar;FC <color=#ff6f00>RDR</color>
sensors/AN-SPG-51;AN-SPG-51
sensors/AN-SC-2;AN-SC-2
sensors/AN-SPS-12;AN-SPS-12
sensors/us_mk3_radar;"Fire Control Radar, Mk 3 Mod 2 <color=#ff6f00>RDR</color>"
sensors/us_mk8_radar;"Fire Control Radar, Mk 8 Mod 3 <color=#ff6f00>RDR</color>"
sensors/us_mk12_radar;"Fire Control Radar, Mk 12 Mod 1 <color=#ff6f00>RDR</color>"
sensors/us_mk19_radar;Mk 19 Mod 59 <color=#ff6f00>RDR</color>
sensors/us_mk25_radar;"Fire Control Radar, Mk 25 Mod 2 <color=#ff6f00>RDR</color>"
sensors/us_sc_radar;SC
sensors/us_sc2_radar;SC-2
sensors/us_sg_radar;SG
sensors/us_sg6_radar;SG-6
sensors/us_sk;SK
sensors/us_sk2_radar;SK-2
sensors/us_sp_radar;SP
sensors/us_an_apg_59;AN/APG-59 <color=#ff6f00>RDR</color>
sensors/us_an_apg_59_f_4j;AN/APG-59 <color=#ff6f00>RDR</color>
sensors/us_an_apg_59u;AN/APG-59U <color=#ff6f00>RDR</color>
sensors/us_an_apg_63;AN/APG-63 <color=#ff6f00>RDR</color>
sensors/us_an_apg_63_psp;AN/APG-63 (Programmable Signal Processor) <color=#ff6f00>RDR</color>
sensors/us_an_apg_63_v_1;AN/APG-63(V)1 <color=#ff6f00>RDR</color>
sensors/us_an_apg_65gy;AN/APG-65(GY) <color=#ff6f00>RDR</color>
sensors/us_an_apg_65q;AN/APG-65Q <color=#ff6f00>RDR</color>
sensors/us_an_apg_67;AN/APG-67 <color=#ff6f00>RDR</color>
sensors/us_an_apg_66;AN/APG-66 <color=#ff6f00>RDR</color>
sensors/us_an_apg_66_v_1;AN/APG-66(V)1 <color=#ff6f00>RDR</color>
sensors/us_an_apg_66_v_3;AN/APG-66(V)3 <color=#ff6f00>RDR</color>
sensors/us_an_apg_68_v_5;AN/APG-68(V)5 <color=#ff6f00>RDR</color>
sensors/us_an_apg_68_v_7;AN/APG-68(V)7 <color=#ff6f00>RDR</color>
sensors/us_an_apg_68_v_9;AN/APG-68(V)9 <color=#ff6f00>RDR</color>
sensors/us_an_apg_70;AN/APG-70 <color=#ff6f00>RDR</color>
sensors/us_an_apg_70i;AN/APG-70I <color=#ff6f00>RDR</color>
sensors/us_an_apg_76_an_asx_1;AN/APG-76 <color=#ff6f00>RDR</color>
sensors/us_an_apq_100;AN/APQ-100 <color=#ff6f00>RDR</color>
sensors/su_sapphire_21;Sapphire-21
sensors/su_sapphire_23;Sapphire-23D/TP-23
sensors/su_sapphire_23mla_2;Sapphire-23MLA-2/TP-23M
sensors/su_sapphire_23mla;Sapphire-23MLA/TP-23M
sensors/su_sapphire_23ml;Sapphire-23ML/TP-23M
sensors/su_v_004;V004 <color=#ff6f00>RDR-PESA</color>
sensors/su_vn_001;VN001 <color=#ff6f00>RDR-AESA</color>
sensors/jp_awg_11;J/AWG-11
sensors/jp_awg_12;J/AWG-12
sensors/fr_thales_rbe2;RBE2-AA <color=#ff6f00>RDR-AESA</color>
//RWRs;
sensors/su_spo-2;SPO-2
sensors/su_spo-10;SPO-10
sensors/su_spo-15;SPO-15
sensors/su_spo-15l;SPO-15L
sensors/su_spo-15lm;SPO-15LM
sensors/su_spo-15s;SPO-15S
sensors/su_spo-150;SPO-32 Pastyel' | L-150 <color=#ff6f00>RWR</color>
sensors/su_spo_150_28m;L-150-28M
//UNCATEGORIZED;
sensors/su_yakor_m;Yakor-M
sensors/su_mr_102_baklan;MR-102 Baklan
sensors/su_mr_103_bars;MR-103 Baklan
sensors/su_mr_104_rys;MR-104 Rys
sensors/su_mr_352_pozitiv;MR-352 Pozitiv
sensors/su_mr_123_176;MR 123/176
sensors/su_mr_220_reyd;MR-220 Reyd
sensors/su_mr_302_rubka;MR-302 Rubka
sensors/su_foot_b;Foot-B
sensors/su_4r_90_yatagan;4R-90 Yatagan
sensors/su_redan_2;Redan-2
sensors/su_vympel_2;Vympel-2
sensors/su_guys_1m;Giuys-1M
sensors/su_guys_1b;Giuys-1B
sensors/su_guys_2;Giuys-2
sensors/su_p_10_volga_a;P-10 Volga-A
sensors/su_mr_510_kil_u;MR-510 Kil-U
sensors/de_sgr_103_02;SGR-103/02
sensors/de_sgr_108;SGR-108
sensors/de_wm_27_search;WM-27
sensors/de_wm_27_track;WM-27
sensors/us_an_spg_48;AN-SPG-48
sensors/uk_type_960;Type 960
sensors/uk_type_992q;Type 960q
sensors/uk_type_275;Type 275
sensors/uk_type_293;Type 293
sensors/uk_type_262;Type 262
sensors/jp_ops_1_radar;OPS-1
sensors/jp_ops_2_radar;OPS-2
sensors/jp_ops_14_radar;OPS-14
sensors/jp_ops_16_radar;OPS-16
sensors/jp_type_21;Type-21
sensors/jp_type_22;Type-22
sensors/fr_me140_mr126;ME-140/MR-126 radar
sensors/cn_type_280;Type 280
sensors/cn_type_208a;Type 208a
sensors/cn_jl_7a;JL-7A
sensors/cn_type_930_4;Type 930-4
sensors/su_1rl33;1RL33
sensors/su_1rl33rt;1RL33RT
sensors/su_1rl34;1RL34
sensors/su_9s86;9S86
sensors/su_1rl144_search;1RL144
sensors/su_1rl144_track;1RL144
sensors/su_1rs1;1RS1
sensors/su_1rs2;1RS2
sensors/su_tor_search;TOR-M1
sensors/su_tor_track;TOR-M1
sensors/su_cd-30;CD-30
sensors/su_foot_n;Foot-N
sensors/su_khrizantema;1L32-1
sensors/su_mr_105;MR-105
sensors/su_srd-1;SRD-1
sensors/su_srd-5;SRD-5
sensors/cn_rw_30;RW-30
sensors/su_rp-5_search;RP-5
sensors/su_rp-5_track;RP-5
sensors/su_n_019;N019/OEPS-29
sensors/su_n_010;N010
sensors/su_n_001vep;N001VEP
sensors/fr_aida_2;Aida II
sensors/su_rp-1_search;RP-1
sensors/su_rp-1_track;RP-1
sensors/sw_ps-011a_71h_ir;PS-011/A 71H(IR)
sensors/fr_serval_rwr;SERVAL
sensors/us_an_apr_25;AN/APR-25
sensors/us_an_apr_27;AN/APR-27
sensors/us_an_apr_32;AN/APR-32
sensors/us_an_apr_36;AN/APR-36
sensors/us_an_apr_39;AN/APR-39
sensors/us_an_alr_49;AN/ALR-49
sensors/us_an_alr_45v;AN/ALR-45(V)
sensors/us_an_alr_56m;AN/ALR-56M
sensors/us_an_alr_67;AN/ALR-67(V)2
sensors/us_an_avr-2;AN/AVR-2
sensors/us_an_avs-2;AN/AVS-2
sensors/uk_ari_18223;ARI 18223
sensors/uk_ari_23333;ARI 23333/1
sensors/uk_ari_18228;ARI 18228
sensors/uk_ari_23284;ARI 23284
sensors/uk_ari_23264_1;ARI 23264/1
sensors/uk_marconi_ai_mk24w;GEC-Marconi Avionics AI.Mk 24 Foxhunter Type W
sensors/uk_marconi_ai_mk24z;GEC-Marconi Avionics AI.Mk 24 Foxhunter Type Z
sensors/uk_marconi_ai_mk24_stage_2g;GEC-Marconi Avionics AI.24 Foxhunter Stage 2G
sensors/uk_marconi_ai_mk24_stage_3g;GEC-Marconi Avionics AI.24 Foxhunter Stage 3G
sensors/uk_ferranti_blue_fox;Ferranti Blue Fox
sensors/fr_thales_rdy;Thales RDY
sensors/fr_thomson-csf_rdm;Thomson-CSF RDM
sensors/il_elisra_sps_200;SPS-200
sensors/it_ralm-101;RALM-101
sensors/su_l-140;L-140 Otklik
sensors/su_l_370_2;L-370-2 Glaz
sensors/su_l-082;L-082
sensors/su_rn_01_arbalet;RN-01 Crossbow
sensors/su_kopio_25;Kopyo-25
sensors/su_kopio;Kopyo-21
sensors/su_thorium;Thorium
sensors/us_an_apq_83;AN/APQ-83
sensors/sw_ps-46a;PS-46/A
sensors/sw_ps-371a;PS-371/A
sensors/su_gneys_5s;GNEYS-5S
sensors/de_roland_sr;SAG MPDR-16
sensors/de_roland_fr;Thomson-CSF Domino 30
sensors/de_gepard_sr;SAG MPDR-12
sensors/de_gepard_fr;SAZ pulse doppler monopulse
sensors/tv_tracker;Auto tracker
sensors/tv_tracker_tgp;Auto tracker
sensors/tv_tracker_tgp_mercury;Mercury low-light TV pod
sensors/tv_tracker_tgp_platan;Platan low-light TV pod
sensors/ir_tracker;Auto tracker
sensors/ir_tracker_tgp;Auto tracker
