<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
//SERIOUS TIPS;;;;;;;;;;;;;;;;;;;;;;
loading/help_tip01;LOADING...;;;;;;;;;;;;;;;;;;;;;
loading/tip0;The Dutch Caribbean colonies of Curaçao and Aruba provided 70% of the fuel used by the Allied forces in WW2.;;;;;;;;;;;;;;;;;;;;;
loading/tip1;Several Bofors 40mm L/60s of 1950s vintage were salvaged from derelict M42A1 Dusters to produce 4 more AC-130U's in 2002.;;;;;;;;;;;;;;;;;;;;;
loading/tip2;During manufacture of the 2A7 for the ZSU-23-4, some barrels were deemed unacceptable for use, and were converted for use in KS-23 riot shotguns.;;;;;;;;;;;;;;;;;;;;;
loading/tip3;"Following the surrounding of the 101st Airborne Division in Bastogne in late 1944, Gen. McAuliffe told his troops about how the Germans wanted them to surrender, and that their response would be ""To the German Commander: NUTS!""";;;;;;;;;;;;;;;;;;;;;
loading/tip4;China and Romania had notably strong ties in terms of military trade during much of the Cold War. In the 1970s and 80s, China sent H5 jet bombers to Romania, while it in turn received examples of the T-72 Ural-1, TAB-77, and TABC-79 for evaluation.;;;;;;;;;;;;;;;;;;;;;
loading/tip5;In both Vietnamese and via ISO 3166, Vietnam is written as Viet Nam.;;;;;;;;;;;;;;;;;;;;;
loading/tip6;After the fall of South Viet Nam's capital Sài Gòn in 1975, the city was renamed Thành phố Hố Chí Minh.;;;;;;;;;;;;;;;;;;;;;
loading/tip7;D Company of 6 RAR (108 men), with help from various auxiliary forces, fought off roughly 2,000 VC and PAVN soldiers during the Battle of Long Tan in 1966. 18 deaths were recorded amongst Australian forces, with between 50 and 250 Vietnamese killed. Both sides claimed victory.;;;;;;;;;;;;;;;;;;;;;
loading/tip8;"Germany originally used the term ""Tankabwehrkanone / Ta.K."" (Tank Defence Gun), as there was no other widely used name for ""tank"" at the time. When Germany switched to ""Panzer"", anti-tank guns were renamed ""Panzerabwehrkanone / Pa.K."".";;;;;;;;;;;;;;;;;;;;;
loading/tip9;57 guinea pigs, 109 mice, 146 pigs, 176 goats, and 3,030 white rats were present during the Operation Crossroads nuclear tests. Pig #311 reportedly survived, and was found swimming in the lagoon after the blast. It was later sent to the National Zoo in Washington, DC.;;;;;;;;;;;;;;;;;;;;;
loading/tip10;The Heavy Cruiser 'USS Prinz Eugen' was the only German warship to have survived not one, but two atomic detonations. Both occurred during Operation Crossroads.;;;;;;;;;;;;;;;;;;;;;
loading/tip11;"The Latin term bis is used in many languages to dictate a ""second"" model. France, Italy, and the USSR were the primary users of this system, including models beyond bis such as ter (third) and quater (fourth).";;;;;;;;;;;;;;;;;;;;;
loading/tip12;Prior to the invasion of Poland in 1939, Germany performed a number of false flag efforts including the Gleiwitz incident. These actions were ultimately unnecessary as the Allies declared war on Germany following the invasion.;;;;;;;;;;;;;;;;;;;;;
loading/tip13;In 1943 the hydroelectric dam at Zaporozh'ye (Ukranian SSR) was the largest dam in the world at the time. German forces destroyed it on 15 Oct 1943.;;;;;;;;;;;;;;;;;;;;;
loading/tip14;"The famous ""Suomi"" submachine gun was officially known as the 7,65 mm konepistooli m/26 (abbreviated as 7,65 kp/26). The nickname was passed over to the 9,00 kp/31, and was so widespread that even Finnish documents mention its use.";;;;;;;;;;;;;;;;;;;;;
loading/tip15;Heeresgruppe Weichsel (Army Group Vistula) was originally commanded by Heinrich Himmler from 24 Jan 1945 to 20 Mar 1945, marking his second time in control of an army group.;;;;;;;;;;;;;;;;;;;;;
loading/tip16;The HK MG4 5.56mm machine gun entered service in the Bundeswehr as the MG 4, not to be confused with the South African MG4 7.62mm machine gun manufactured by Denel.;;;;;;;;;;;;;;;;;;;;;
loading/tip17;The MG 1 is a Rheinmetall-produced M.G. 42 manufactured for 7.62x51mm instead of 7.92x57mm. The weapon was physically identical in every other way, but future models such as the MG 1 A1 corrected the sights for the new ammunition.;;;;;;;;;;;;;;;;;;;;;
loading/tip18;The MG 2 is a Rheinmetall-produced conversion of war-time M.G. 42 to fire 7.62x51mm.;;;;;;;;;;;;;;;;;;;;;
loading/tip19;The MG 3 is a Rheinmetall-produced machine gun developed by modernizing the MG 1 A3 further. A number of variants have been developed, including the MG 3 A1 which is meant for internal tank mounts.;;;;;;;;;;;;;;;;;;;;;
loading/tip20;The FN FAL, SIG SG 510, HK G3, and AR-10 competed for adoption in the Bundeswehr, designated G 1 through G 4 respectively. The G 1 was originally chosen as the winner, but due to licencing issues with FN, HK's model was chosen instead.;;;;;;;;;;;;;;;;;;;;;
loading/tip21;The M.G. 34 featured a single-shot trigger function, which simulated a rifle shot. A concept was devised where a machine gun would deploy, and pretend to be a rifle. It would fire off a few rounds, and wait for enemy movement, before unleashing fully automatic fire.;;;;;;;;;;;;;;;;;;;;;
loading/tip22;In the 2010s, the Russian company Molot Oruzhiye developed the VPO-512 - a civilian conversion of the famous PPSh-41 limited to semi-automatic firing only.;;;;;;;;;;;;;;;;;;;;;
loading/tip23;In Jun 2022, Lithuanian civilians crowdfunded almost 6 million Euros to purchase a Bayraktar with the intent of gifting it to Ukraine. Baykar instead donated the Bayraktar TB2 to UA forces and redistributed the crowdfunds between humanitarian aid and drone operational expenses.;;;;;;;;;;;;;;;;;;;;;
loading/tip24;The FN SCAR series of infantry rifles was adopted by the U.S. Marines in the 2000s/2010s. The SCAR-L and -H saw trials as EX 16 MOD 0 and EX 17 MOD 0 respectively, and after adoption MK 16 MOD 0 and MK 17 MOD 0. The FN SSR was adopted as the MK 20 MOD 0.;;;;;;;;;;;;;;;;;;;;;
loading/tip25;Like with XM1 being the prototype/trial version of M1, the U.S. Navy uses EX instead of MK. For example, a prototype MK 1 MOD 0 would be EX 1 MOD 0.;;;;;;;;;;;;;;;;;;;;;
loading/tip26;In Jan 2023, the XM5 as part of the Next Generation Squad Weapon - Rifle, was renamed XM7 due to a copyright concern from Colt.;;;;;;;;;;;;;;;;;;;;;
loading/tip27;The QTS11 is a Chinese combination firearm combining a modified QBZ03 and a single-shot 20mm grenade launcher. The weapon was developed in a similar fashion to that of the American OICW, incorporating smart fuze arming and infantry Helmet-Mounted Display.;;;;;;;;;;;;;;;;;;;;;
loading/tip28;The M2 Browning has had numerous efforts to replace it, but so far none have succeeded. The XM806 was a lightweight experimental model, weighing almost half that of the original M2. It was ultimately cancelled in favour of the M2A1.;;;;;;;;;;;;;;;;;;;;;
loading/tip29;In the face of the German invasion, many Soviet factories were evacuated to the Urals to prevent capture or destruction. №183 would move from Kharkiv to Nizhny Tagil, №174 would move from Leningrad to Omsk, and №100 would be partially evacuated from Leningrad to Chelyabinsk.;;;;;;;;;;;;;;;;;;;;;
loading/tip30;The SS was considered by many to be an elite force, and while one or two units were as such, the majority were anything but. As a result, some of the units received excellent equipment whilst others received surplus captured equipment, if that.;;;;;;;;;;;;;;;;;;;;;
loading/tip31;"The German designation ""Nebelwerfer"" (Nb.W.) (Smoke launcher) was a cover name for a series of towed rocket launchers. The designation stuck even after the Allied forces discovered the true usage, but newly developed late-war rocket launchers used Raketenwerfer (R.W. / Rak.W.).";;;;;;;;;;;;;;;;;;;;;
loading/tip32;The AM-17 is a Russian assault carbine developed in the late 2010s by Kalashnikov Concern. The weapon is essentially a modernized AKS-74U, but with modern furniture. An integrally suppressed model in 9x39mm was also manufactured, the AMB-17.;;;;;;;;;;;;;;;;;;;;;
loading/tip33;"The Soviet Union developed plans for ""war-time"" production AK weapons (using V suffixes: AKMV, RPKV, etc.). These weapons would be simplified for mass production, even more so than non-wartime models. It is unknown whether any weapons were built to this standard, however.";;;;;;;;;;;;;;;;;;;;;
loading/tip34;The AK-103 is essentially an AKM brought up to AK-74M standards. The weapon utilizes all the features present in the AK-74M, including the folding stock, rail interface system, and furniture. The only difference between the AK-103 and the AK-74M is the chambering and muzzle device.;;;;;;;;;;;;;;;;;;;;;
loading/tip35;The AK-74M marked the first entry in the AK-100 generation (itself being AK-100). The AK-105 would be the compact model, the AK-101 and 102 would be the full-size and compact models in 5.56x45mm, and the AK-103 and 104 would be in 7.62x39mm.;;;;;;;;;;;;;;;;;;;;;
loading/tip36;The AK-200 (formerly AK-100M) is a further modernized AK-74M (AK-100), with integrated picatinny rails. All six AK-100 models would receive the same upgrades in this series, creating the AK-200 series.;;;;;;;;;;;;;;;;;;;;;
loading/tip37;Before the Soviet RPKS light machine gun was developed, the RPK-D was used as a stop-gap measure for airborne troops. The weapon would not be widely adopted, with very little information about the weapon surviving.;;;;;;;;;;;;;;;;;;;;;
loading/tip38;Russian RPK light machine guns utilized the RPK-200 series which featured the same improvements that the AK-100 series received. The three models developed are the RPK-200 (RPK-74M) in 5.45x39mm, RPK-201 in 5.56x45mm, and RPK-203 (RPKM) in 7.62x39mm.;;;;;;;;;;;;;;;;;;;;;
loading/tip39;The Nagant M. 1895 revolver was licence manufactured in the Russian Empire by Izhmash and TOZ as the R-95. The weapon remained in service until the 1950s, but the rare suppressed model may still be in service to this day.;;;;;;;;;;;;;;;;;;;;;
loading/tip40;"The German nickname ""Uhu"" (Eagle-Owl) was assigned to multiple pieces of military equipment, including the Fw 189 reconnaissance aircraft, He 219 night fighter, and even the mittlerer Schützenpanzerwagen (Infrarotscheinwerfer) (Sd.Kfz. 251/20) infrared searchlight vehicle.";;;;;;;;;;;;;;;;;;;;;
loading/tip41;The 15cm Fla.K. 50 is a prototype anti-aircraft gun developed in the early 1940s. It's unique in that it features an autoloading mechanism, capable of firing 10-rounds per minute. The cannon utilized AP and HE shells, and was fitted on either a cruciform or rail mount.;;;;;;;;;;;;;;;;;;;;;
loading/tip42;The famous 8,8cm Fla.K. 36 was such a successful design, that it was scaled for different calibers. The 12,8cm Fla.K. 40 was a common example, with the 15cm Fla.K. 55 being an experimental model.;;;;;;;;;;;;;;;;;;;;;
loading/tip43;The 12,8cm Pa.K. 40 was a failed German anti-tank gun developed by Rheinmetall from the 12,8cm Fla.K. 40 (an upscaled 8,8cm Fla.K. 36). The 12,8cm Pa.K. 44 from Krupp was chosen to enter service instead.;;;;;;;;;;;;;;;;;;;;;
loading/tip44;"On 6 Aug 1945, the American ""Little Boy"" atomic bomb was detonated in Hiroshima. On 9 Aug 1945, a second atomic bomb ""Fat Man"" was detonated in Nagasaki. Japanese forces surrendered on 15 Aug 1945.";;;;;;;;;;;;;;;;;;;;;
loading/tip45;The HK416 was originally meant to be called HK M4, but due to legal concerns from Colt, the name was changed to HK416.;;;;;;;;;;;;;;;;;;;;;
loading/tip46;The last Japanese soldier to formally surrender after the country's defeat in World War Two was Hiroo Onoda. Lieutenant Onoda finally handed over his sword on 9 Mar 1974.;;;;;;;;;;;;;;;;;;;;;
loading/tip47;"The British 1st Special Service Brigade was abbreviated as the 1st SS, and in Dec 1944 it was renamed to the 1st Commando Brigade in an attempt to distance itself from the German 1. SS-Div. ""LSSAH"".";;;;;;;;;;;;;;;;;;;;;
loading/tip48;"In Russia the Soviet Theatre of the Second World War is referred to as the ""Great Patriotic War"". This term is based off the Russian name for Napoleon's invasion of Russia in 1812, known in Russia as the Patriotic War.";;;;;;;;;;;;;;;;;;;;;
loading/tip49;An experimental predecessor of the St.G. 44, the M.Kb. 42 (H) saw extensive combat trials in Stalingrad in 1942/43, and lead the way to the M.P. 43/I, which would become the M.P. 43, then M.P. 44, then finally St.G. 44.;;;;;;;;;;;;;;;;;;;;;
loading/tip50;The M.P. 40/I was an experimental weapon that featured a quick-reloading system allowing the mounting of two magazines with a quick-switch feature. The weapon saw combat trials in Stalingrad in 1942/43.;;;;;;;;;;;;;;;;;;;;;
