<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//AIRCRAFT - VEHICLE/FAMILY START: RANK 9

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
cn_type_69_2g_shop;টি-৬৯ II জি
cn_type_69_2g_0;Nèiménggu Dì Yī Jīxiè Zhìzào Chang / ৯০২ সেন্ট্রাল ওয়ার্কশপ ইএমই | সাঁেজায়া ট্যাংক টি-৬৯ II জি
cn_type_69_2g_1;টি-৬৯ II
cn_type_69_2g_2;Armored Tank

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
cn_vt_5_shop;╷ ভিটি-৫
cn_vt_5_0;"╷ Zhōngguó Bīngqì Gōngyè Jítuán Youxiàn Gōngsī | সাঁেজায়া ভিটি-৫ লাইট ওয়েট মেইন ব্যাটেল ট্যাংক"
cn_vt_5_1;╷ ভিটি-৫
cn_vt_5_2;Light MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
