<ID|readonly|noverify>;<English>
//USA MISSILES
us_aim_9x;Air-Launched, Intercept-Aerial, Guided Missile, AIM-9X-1 Sidewinder

//UK AMMUNITION
57mm_qf_ap;"Cartridge, Q.F., 6-pr., Cordite M.D., Steel Shell, Mk. XIV (Shell, Q.F.,
A.P., 6-pr. 6-cwt., Mk. V)"
57mm_qf_he;"Cartridge, Q.F., 6-pr., Cordite M.D., Common Shell, Mk. III (Shell,
Q.F., H.E.T., 6-pr. 6-cwt., Mk. I)"
381mm_mark_22b_6crh_apc;Shell, B.L., A.P.C., 15-inch, 6-crh., Mk. XXIIb

//GERMANY AMMUNITION
15mm_sprgr_notracer;1,5cm Sprenggranate Patrone Übungs ohne Zerleger
20mm_mgr;2cm Minengeschoß Patrone ohne Zerleger
20mm_pzsprgr;2cm Panzersprenggranate Patrone Leuchtspur ohne Zerleger
37mm_sprgr_18_belt;3,7cm Sprenggranate Patrone 18
37mm_pzgr_belt;3,7cm Panzergranate Patrone 18
40mm_bofors_flak28_navy_he_t/name;4cm Panzergranate Patrone Leuchtspur
57mm_gr_p;5,7cm Granate mit Panzerkopf
57mm_gr;5,7cm Granate
88mm_sprgr_dist_fuse;8,8cm Sprenggranate Patrone Lange/4,5 (Kopfzünder)
350_psgr_l_4_2_apc;35cm Sprenggranate Lange/4,2 (Bodenzünder)
350_psgr_l_3_6_apc;35cm Panzersprenggranate Lange/3,6

//CHINA AMMUNITION
30mm_china_HE;CS/BAH06 Xíng 30 Háomi Ahāshāng Bàopò Ránshāo Dàn
30mm_china_PTFP;CS/BAE5 Xíng 30 Háomi Dìng Jù Yùzhì Pòpiàn Dàn
30mm_dtc10_30;L/DTC10 Shì 30 Háomi Chuānjiǎdàn
105mm_type_75_heat;DTP/PW75 Shì 105 Háomi Pò Jia Dàn
105mm_type_75_hesh;DTJ/PW75 Shì 105 Háomi Suì Jia Dàn

//CHINA MISSILES
fb10_rocket;L/FB10 Dì Duì Kōng Dǎodàn
fb10a_rocket;L/FB10A Dì Duì Kōng Dǎodàn

//ITALY AMMUNITION
20mm_perforante_m35_belt;Cartoccio granata perforante da 20 modello 1935
381mm_50_sapcbc;Cartoccio granata perforante da 381/50
381mm_50_apcbc;Cartoccio palla perforante da 381/50

//FRANCE AMMUNITION
37mm_oea1935_he;37 mm Obus Explosif en Acier modèle 1935
100mm_oea1928_he_df;100 mm Obus Explosif en Acier modèle 1928
152mm_m1936_he_df;152 mm Obus Explosif en Acier modèle 1936
203mm_opf_mle1936_apcbc;"203 mm Obus de Perforation dispositif K de Rupture Coiffé 
modèle 1936"
380mm_oea_mle1949_he;380 mm Obus Explosif en Acier modèle 1949
380mm_opf_mle1936_apcbc;"380 mm Obus de Perforation dispositif K de Rupture Coiffé
modèle 1936"
380mm_opf_mle1943_apcbc;"380 mm Obus de Perforation dispositif K de Rupture Coiffé
modèle 1943"

//SWEDEN AMMUNITION
20mm_slpprj_m42;20 mm skarp patron m/42 spårljuspansarprojektil m/42

//SWEDEN MISSILES
us_iris_t;luftvärnsrobot 98
