<ID|readonly|noverify>;<English>
//MISSILES
modification/mig_19_pl2;K/AKK2
modification/mig_19_pl2/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK2空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl5b;K/AKK5B
modification/j_7_pl5b/desc;"Loadout unlocked:
• 歼7D, 歼7E, 歼8 (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• 歼轰7, 歼轰7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• 歼轰7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5c;K/AKK5C
modification/cn_pl5c/desc;"Loadout unlocked:
• 歼轰7, 歼轰7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>
• 歼轰7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5e2;K/AKK5EII
modification/cn_pl5e2/desc;"Loadout unlocked:
• 歼10A:
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• 歼轰7, 歼轰7A (all):
  • <color=@userlogColoredText>霹发9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• 歼轰7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• JF-17 Block I:
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher on <color=@userlogColoredText>GDJ-II18A</color> pylon:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>霹发9WA空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/su_arm;ARM
modification/su_arm/desc;"Loadout unlocked:
• <color=@userlogColoredText>GDJ-6</color>, <color=@userlogColoredText>GDJ-68通用组合挂架</color>:
  • <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58АЭ</color>, <color=@userlogColoredText>Авиационное пусковое устройство АПУ-68УМ</color>, <color=@userlogColoredText>DF-4</color>, <color=@userlogColoredText>霹发12空空导弹发射装置</color>, <color=@userlogColoredText>霹发10X空空导弹发射装置</color>, <color=@userlogColoredText>GDJ-49B</color>:
    • {unlockWeapons}"

modification/tv_atgm;K/AKD88 / Х-29Т
modification/tv_atgm/desc;"Loadout unlocked:
• <color=@userlogColoredText>GDJ-49B</color>, <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58АЭ</color>:
  • {unlockWeapons}"
