<ID|readonly|noverify>;<English>
//ROCKETS
modification/j_7_hf5;С-5К
modification/j_7_hf5/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-5发射器</color> launcher:
  • <color=@userlogColoredText>Неуправляемая авиационная ракета С-5К</color> <color=#ff6f00>RKT</color> x32"

modification/cn_hf27;С-5К
modification/cn_hf27/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-27发射器</color> launcher:
  • <color=@userlogColoredText>Неуправляемая авиационная ракета С-5К</color> <color=#ff6f00>RKT</color> x7"

//MISSILES
modification/mig_19_pl2;K/AKK2
modification/mig_19_pl2/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK2空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl5b;K/AKK5B
modification/j_7_pl5b/desc;"Loadout unlocked:
• K/JJ7D, K/JJ7E, K/JJ8 (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5c;K/AKK5C
modification/cn_pl5c;"Loadout unlocked:
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5e2;K/AKK5EII
modification/cn_pl5e2/desc;"Loadout unlocked:
• K/JJ10A:
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• JF-17 Block I:
  • <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher on <color=@userlogColoredText>GDJ-II18A</color> pylon:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>PF9WA空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl8;K/AKK8
modification/cn_pl8/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK8空空导弹</color> <color=#ff6f00>AAM-IR</color>"
