<ID|readonly|noverify>;<English>
//BOMBS
modification/cn_glide_bomb;LS-6/250 / 500
modification/cn_glide_bomb/desc;"Loadout unlocked:
• <color=@userlogColoredText>GDJ-6</color> pylon:
  • 290 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • 630 kg <color=@userlogColoredText>LS-6型500公斤制导滑翔炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>"

modification/cn_ls_6_250_ir;LS-6/250 (红外)
modification/cn_ls_6_250_ir/desc;"Loadout unlocked:
• K/JJ10 (all):
  • <color=@userlogColoredText>GDJ-6</color> pylon:
    • 300 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹 (红外导引头)</color> <color=#ff6f00>BMB-LG/GNSS</color>
• K/JJ10C:
  • Triple ejector rack:
    • 300 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹 (红外导引头)</color> <color=#ff6f00>BMB-LG/GNSS</color> x2
  • Pylon:
    • 300 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹 (红外导引头)</color> <color=#ff6f00>BMB-LG/GNSS</color>
• K/JJ11B:
  • Pylon:
    • 300 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹 (红外导引头)</color> <color=#ff6f00>BMB-LG/GNSS</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>GDJ-49B</color> pylon:
    • 300 kg <color=@userlogColoredText>LS-6型250公斤制导滑翔炸弹 (红外导引头)</color> <color=#ff6f00>BMB-LG/GNSS</color>"

modification/cn_gb_laser_bomb;GB3 / 1000 / K/YJG500
modification/cn_gb_laser_bomb/desc;"Loadout unlocked:
• <color=@userlogColoredText>GDJ-6</color> pylon:
  • 260 kg <color=@userlogColoredText>GB3型250公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • 570 kg <color=@userlogColoredText>K/YJG500型500公斤激光制导炸弹</color> <color=#ff6f00>BMB-LG</color>
  • 1090 kg <color=@userlogColoredText>GB1000型1000公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>
• Pylon:
  • 260 kg <color=@userlogColoredText>GB3型250公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>"

modification/cn_sns_bomb;GB250
modification/cn_sns_bomb/desc;"Loadout unlocked:
• Triple ejector rack:
  • 260.816 kg <color=@userlogColoredText>GB250型250公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color> x3
• <color=@userlogColoredText>GDJ-6</color> pylon:
  • 260.816 kg <color=@userlogColoredText>GB250型250公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>
• Pylon:
  • 260.816 kg <color=@userlogColoredText>GB250型250公斤激光卫星制导炸弹</color> <color=#ff6f00>BMB-LG/GNSS</color>"

//ROCKETS
modification/j_7_hf5;S-5K
modification/j_7_hf5/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-5发射器</color> launcher:
  • <color=@userlogColoredText>Nyeupravlâyemaâ aviaczionnaâ rakyeta S-5K</color> <color=#ff6f00>RKT</color> x32"

modification/cn_q5_hf6;90-1型 (破甲)
modification/cn_q5_hf6/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-7发射器</color> launcher:
  • <color=@userlogColoredText>90毫米1型航空火箭破甲弹</color> <color=#ff6f00>RKT</color> x7"

modification/cn_hf7a;90-1型 (破甲)
modification/cn_hf7a/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-7发射器</color> launcher:
  • <color=@userlogColoredText>90毫米1型航空火箭破甲弹</color> <color=#ff6f00>RKT</color> x7"

modification/q_5b_type130;130-1型
modification/q_5b_type130/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-14发射器</color> launcher:
  • <color=@userlogColoredText>130毫米1型航空火箭杀伤爆破弹</color> <color=#ff6f00>RKT</color> x4"

modification/cn_hf27;S-5K
modification/cn_hf27/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-27发射器</color> launcher:
  • <color=@userlogColoredText>Nyeupravlâyemaâ aviaczionnaâ rakyeta S-5K</color> <color=#ff6f00>RKT</color> x7"

modification/cn_hf7d;火蛇70
modification/cn_hf7d/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-7D发射器</color> launcher:
  • <color=@userlogColoredText>FS70航空火箭弹</color> <color=#ff6f00>RKT</color> x7"

modification/cn_fire_snake_70a;GR5
modification/cn_fire_snake_70a/desc;"Loadout unlocked:
• <color=@userlogColoredText>FS70航空火箭弹集束发射器</color> launcher:
  • <color=@userlogColoredText>GR5航空制导火箭弹</color> <color=#ff6f00>AGM-LG</color> x7"

modification/cn_fire_snake_90a;BRM1
modification/cn_fire_snake_90a/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-20发射器</color> launcher:
  • <color=@userlogColoredText>BRM1型90毫米航空制导火箭弹</color> <color=#ff6f00>AGM-LG</color> x16"

//MISSILES
modification/mig_19_pl2;K/AKK2
modification/mig_19_pl2/desc;"Loadout unlocked:
• <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK2空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl5b;K/AKK5B
modification/j_7_pl5b/desc;"Loadout unlocked:
• K/JJ7D, K/JJ7E, K/JJ8 (all):
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5c;K/AKK5C
modification/cn_pl5c/desc;"Loadout unlocked:
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5e2;K/AKK5EII
modification/cn_pl5e2/desc;"Loadout unlocked:
• K/JJ10A:
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• H/JJH7, K/JJH7A (all):
  • <color=@userlogColoredText>PF9W空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJH7A (all):
  • <color=@userlogColoredText>APU-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
• JF-17 Block I:
  • <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher on <color=@userlogColoredText>GDJ-II18A</color> pylon:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>PF9WA空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl7;K/AKK7
modification/j_7_pl7/desc;"Loadout unlocked:
• <color=@userlogColoredText>PF7空空导弹发射装置</color> missile launcher:
  • <color=@userlogColoredText>K/AKK7空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl8;K/AKK8
modification/cn_pl8/desc;"Loadout unlocked:
• <color=@userlogColoredText>Aviaczionnoye puskovoye ustrojstvo APU-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK8空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl8b;K/AKK8B
modification/cn_pl8b/desc;"Loadout unlocked:
• K/JJ10 (all):
  • <color=@userlogColoredText>PF95W空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>GDJ-1</color> pylon:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>PF95W空空导弹发射装置</color> missile launcher on <color=@userlogColoredText>GDJ-6</color> pylon:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
• K/JJ11B, ␗ 苏30MKK:
  • <color=@userlogColoredText>PF8KZ空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>PF10X空空导弹发射装置</color> missile launcher:
    • <color=@userlogColoredText>K/AKK8B空空导弹</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl12;SD10A
