<ID|readonly|noverify>;<English>
//AMMUNITION
25mm_type_87_api;DKC/PG87式25毫米穿甲弹
25mm_type_87_he;WBO41P/PG87式25毫米杀伤爆破燃烧弹
30mm_china_HE;CS/BAH06型30毫米杀伤爆破燃烧弹
30mm_china_PTFP;CS/BAE5型30毫米定距预制破片弹
30mm_zpz02_hei;DTY02式30毫米杀伤爆破燃烧弹
30mm_zpz02_apds;DTC04式30毫米穿甲弹
30mm_dtc10_30;DTC10式30毫米穿甲弹
35mm_dkp_01a;DKG01A/PGZ09式35毫米穿甲爆破燃烧弹
35mm_dkg_01a;DKP01A/PGZ09式35毫米杀伤爆破燃烧弹
type_59_he;1959年式57毫米高射炮用曳光杀伤榴弹
type_59_apcbc;1959年式57毫米高射炮曳光被帽穿甲弹
type_59_ap;1959年式57毫米高射炮用穿甲曳光弹
57mm_dky_1;DKY/PG59式57毫米杀伤爆破燃烧弹
73mm_type_85_he;DYS73式73毫米钢珠杀伤榴弹
73mm_type_85_heat;DYP73式73毫米破甲弹
type_56_he;1956年式85毫米加农炮杀伤爆破榴弹
85mm_type1956;1956年式85毫米加农炮气缸微旋破甲弹
type_56_hvap;1956年式85毫米加农炮曳光超速穿甲弹
type_56_apbc;1956年式85毫米加农炮曳光尖头穿甲弹
type_56_apc;1956年式85毫米加农炮曳光穿甲弹
85mm_djw_85;DJW1式85毫米钨合金脱壳穿甲弹
type_44_he;1959年式100毫米坦克炮杀伤爆破榴弹
type_44_ap;1959年式100毫米坦克炮穿甲弹
100mm_type1959;1959年式100毫米坦克炮钨头穿甲弹
100mm_type1973;1973年式100毫米滑膛炮破甲弹
100mm_1_71_74;1971年式100毫米滑膛坦克炮杀伤爆破榴弹
100mm_1_72_85;1971年式100毫米滑膛坦克炮脱壳超速穿甲弹
100mm_dyw_pt_86_100;DYW/PTL02式100毫米穿甲弹
105mm_TYPE83_APDS;1983年式105毫米坦克炮脱壳超速穿甲弹
105mm_TYPE83_HEAT;1983年式105毫米坦克炮破甲弹
105mm_TYPE83_HESH;1983年式105毫米坦克炮碎甲弹
105mm_type_75_heat;DTP/PW75式105毫米破甲弹
105mm_type_75_hesh;DTJ/PW75式105毫米碎甲弹
105mm_btm_1;BTM1式105毫米混凝土破坏弹
105mm_dtb_1_he;DTB1式105毫米杀伤爆破榴弹
105mm_dtw2_105;DTW2式105毫米穿甲弹
120mm_122tm_steel;1971年式120毫米滑膛坦克炮脱壳超速穿甲弹
120mm_122tm_tungsten;1971年式120毫米滑膛坦克炮钨头脱壳超速穿甲弹
120mm_122tm_he;1971年式120毫米滑膛坦克炮杀伤爆破榴弹
120mm_122tm_heat;1971年式120毫米滑膛坦克炮破甲弹
120mm_dyw_1;DYW/PTZ89式120毫米穿甲弹
120mm_dys_120;DYS/PTZ89式120毫米杀伤榴弹
125mm_dtb_125;DTB式125毫米杀伤爆破榴弹
125mm_dtb_12_he;DTB12式125毫米杀伤爆破榴弹
125mm_dtp_125;DTP式125毫米破甲弹
125mm_125_1;1985年1式125毫米滑膛坦克炮脱壳超速穿甲弹
125mm_dtw_125;DTW式125毫米穿甲弹
125mm_dtc10_125;DTC10式125毫米穿甲弹
125mm_bta4;BTA4型125毫米穿甲弹
130mm_djb_1;DJB2/PL59A式130毫米杀伤爆破榴弹
130mm_djb_1_vt;DJB3/PL59A式130毫米杀伤爆破榴弹
130mm_djb_1_smoke;DJF1/PL59A式130毫米发烟弹
152mm_bee_7;CS/BEE7型152毫米底排火箭复合增程弹
152mm_bee_7_vt;CS/BEE7型152毫米底排火箭复合增程弹 (Variable Time Fuze)
152mm_ddb_1;DDB1/PLZ83式152毫米杀伤爆破榴弹
152mm_ddb_1_vt;DDB1/PLZ83式152毫米杀伤爆破榴弹 (Variable Time Fuze)
155mm_plz_05_he;DLXA/PLZ05式155毫米杀伤爆破榴弹
155mm_plz_05_he_vt;DLXA/PLZ05式155毫米杀伤爆破榴弹 (Variable Time Fuze)
155mm_bea_1;CS/BEA1型155毫米底排穿甲弹

//MISSILES
fb10_rocket;FB-10地對空导弹
fb10a_rocket;FB-10A地對空导弹
atgm_302;302反坦克导弹
weapons/atgm_302/short;302
152mm_hj9;AFT09重型反坦克导弹
70mm_QN201DD;QN201经济型多用途导弹
weapons/70mm_QN201DD/short;QN201
151mm_QN502CDD;QN502C中程车载自寻的智能反坦克导弹
weapons/151mm_qn502cdd/short;QN502C
239mm_hq17;ADK17地對空导弹
127mm_tc_1l;劍一飛彈
72mm_hn_6;HN-6地對空导弹
105mm_gp_105;GP105型105毫米炮射导弹
125mm_GP125;GP125型125毫米炮射导弹  
