<ID|readonly|noverify>;<English>
//BOMBS
modification/su_fab_250_us_mk82;ФАБ-250М / Mk 82 Mod 0
modification/su_fab_250_us_mk82/desc;"Loadout unlocked: 227 kg <color=@userlogColoredText>ФАБ-250М</color> bomb.
Loadout unlocked: 240.9 kg <color=@userlogColoredText>Bomb, 500lb, GP, Mk 82 Mod 0</color> bomb."

modification/su_fab_500_us_mk83;ФАБ-500М-62 / Mk 83 Mod 0
modification/su_fab_500_us_mk83/desc;"Loadout unlocked: 508.3 kg <color=@userlogColoredText>ФАБ-500М-62</color> bomb.
Loadout unlocked: 446.8 kg <color=@userlogColoredText>Bomb, 1000lb, GP, Mk 83 Mod 0</color> bomb."

modification/upab_500b_e;УПАБ-500Б-Э
modification/upab_500b_e/desc;"Loadout unlocked:
• <color=@userlogColoredText>Балочный держатель БД3-УСК-Б</color> pylon:
  • 505 kg <color=@userlogColoredText>Управляемая планирующая авиационная бомба УПАБ-500Б-Э</color> <color=#ff6f00>BMB-GNSS</color>"

modification/upab_1500_e;УПАБ-1500Б-Э
modification/upab_1500_e/desc;"Loadout unlocked:
• <color=@userlogColoredText>Балочный держатель БД4-УСКМ</color> pylon:
  • 1525 kg <color=@userlogColoredText>Управляемая планирующая авиационная бомба УПАБ-1500Б-Э</color> <color=#ff6f00>BMB-GNSS</color>"

modification/su_grom;Х-36 «Гром-Э2»
modification/su_grom/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58А</color> pylon:
  • 598 kg <color=@userlogColoredText>Планирующий управляемый боеприпас Х-36 «Гром-Э2»</color> <color=#ff6f00>BMB-GNSS</color>"

modification/su_grom_e;Х-36 «Гром-Э2»
modification/su_grom_e/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58А</color> pylon:
  • 598 kg <color=@userlogColoredText>Планирующий управляемый боеприпас Х-36 «Гром-Э2»</color> <color=#ff6f00>BMB-GNSS</color>"

//MISSILES
modification/mig_25_r_40rd;Р-40РД
modification/mig_25_r_40rd/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-84-46</color> pylon:
  • <color=@userlogColoredText>Авиационная управляемая ракета Р-40РД</color> <color=#ff6f00>AAM-SARH</color>"

modification/mig_25_r_40td;Р-40ТД
modification/mig_25_r_40td/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-84-46</color> pylon:
  • <color=@userlogColoredText>Авиационная управляемая ракета Р-40ТД</color> <color=#ff6f00>AAM-IR</color>"

modification/su_rvv_sd;РВВ-СД
modification/su_rvv_sd/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-170Е</color> pylon:
  • <color=@userlogColoredText>Авиационная управляемая ракета РВВ-СД</color> <color=#ff6f00>AAM-ARH</color>"

modification/su_x29te_x59m;Х-29ТЭ / 59М
modification/su_x29te_x59m/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58-1</color> pylon:
  • <color=@userlogColoredText>Управляемая ракета Х-29ТЭ</color> <color=#ff6f00>AGM-EO</color>
  • <color=@userlogColoredText>Управляемая ракета Х-59М</color> <color=#ff6f00>AGM-TV</color>"

modification/su_x38ml_e;Х-38МЛЭ
modification/su_x38ml_e/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58-1</color> pylon:
  • <color=@userlogColoredText>Управляемая ракета Х-38МЛЭ</color> <color=#ff6f00>AGM-LG/GNSS</color>"

modification/su_x38mt_e;Х-38МТЭ
modification/su_x38mt_e/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58-1</color> pylon:
  • <color=@userlogColoredText>Управляемая ракета Х-38МТЭ</color> <color=#ff6f00>AGM-IR/GNSS</color>"

modification/su_lmur;Х-39
modification/su_lmur/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное пусковое устройство АПУ-Л</color> pylon:
  • <color=@userlogColoredText>Легкая многоцелевая управляемая ракета Х-39</color> <color=#ff6f00>AGM-IR/GNSS</color> x2"

modification/su_kh_59;Х-59МЭ
modification/su_kh_59/desc;"Loadout unlocked:
• <color=@userlogColoredText>Авиационное катапультное устройство АКУ-58-1</color> pylon:
  • <color=@userlogColoredText>Управляемая ракета Х-59МЭ</color> <color=#ff6f00>AGM-TV</color>"

//CHINA MISSILES
modification/mig_19_pl2;K/AKK2
