<ID|readonly|noverify>;<English>
//GROUPS
shop/group/mig-19_china_group;歼6A / 7II

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mig-19j_6a_shop;歼6A
mig-19j_6a_0;Центральное конструкторское бюро № 155 СМ-7/3 / 国营松陵机械厂 | 歼6A型飞机
mig-19j_6a_1;歼6A
mig-19j_6a_2;歼6
j_7_mk2_shop;歼7II
j_7_mk2_0;Центральное конструкторское бюро № 155 / 国营132厂 | 歼7II型飞机
j_7_mk2_1;歼7II
j_7_mk2_2;歼7
j_7d_shop;歼7D
j_7d_0;Опытно-конструкторское бюро № 155 / 成都飛機制造厂 | 歼7D型飞机
j_7d_1;歼7D
j_7d_2;歼7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 8
j_11_shop;歼11
j_11_0;"Компания «Сухой» / 沈阳飞机工业 (集团) | 歼11型飞机 ""应龙"""
j_11_1;歼11
j_11_2;歼11
j_11a_shop;歼11A (MLU)
j_11a_0;"Компания «Сухой» / 沈阳飞机工业 (集团) | 歼11A型飞机 ""应龙"" (Mid-Life Update)"
j_11a_1;歼11A
j_11a_2;歼11
j_11b_shop;歼11B
j_11b_0;"Компания «Сухой» / 沈阳飞机工业 (集团) | 歼11B型飞机 ""应龙"""
j_11b_1;歼11B
j_11b_2;歼11

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 9

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 7
