<ID|readonly|noverify>;<English>
engine_model/wj-6;"
Engine model: 涡桨6发动机"

engine_model/wp-5;"
Engine model: 涡喷5发动机"

engine_model/wp-6;"
Engine model: 涡喷6发动机"

engine_model/wp-6a;"
Engine model: 涡喷6A发动机"

engine_model/wp-6a-iii;"
Engine model: 涡喷6AIII发动机"

engine_model/wp-7b;"
Engine model: 涡喷7B发动机"

engine_model/wp-7f;"
Engine model: 涡喷7F发动机"

engine_model/wp-13a-ii;"
Engine model: 涡喷13AII发动机"

engine_model/wp-13b-ii;"
Engine model: 涡喷13BII发动机"

engine_model/wp-13f;"
Engine model: 涡喷13F发动机"

engine_model/wp-13f1;"
Engine model: 涡喷13FI发动机"

engine_model/wz-8a;"
Engine model: 涡轴8A发动机"

engine_model/wz-8c;"
Engine model: 涡轴8C发动机"

engine_model/wz-8d;"
Engine model: 涡轴8D发动机"
