<ID|readonly|noverify>;<English>
//BOMBS
modification/cn_q5_type_250;250-1型 (燃烧) / 2型 / 3型 / 4型
modification/cn_q5_type_250/desc;"Loadout unlocked:
• 歼6A, 强5, 强5B:
  • Pylon:
    • 236.92 kg <color=@userlogColoredText>250-2型</color> <color=#ff6f00>BMB</color>
• 歼7II, 强5 (all), A5C (2003):
  • Pylon:
    • 135 kg <color=@userlogColoredText>250-1型 (燃烧)</color> <color=#ff6f00>BMB-NPM</color>
• 歼7D, 歼7E, 歼8 (all), 强5B, 强5L:
  • Pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color>
• 歼7D, 歼7E, 歼8 (all), 强5B, 强5L, A5C (2003):
  • Pylon:
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color>
• 歼8 (all), 歼轰7:
  • <color=@userlogColoredText>GDJ-4</color> multiple eJector rack:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color> x6
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB-HD</color> x6
• 歼轰7:
  • <color=@userlogColoredText>GDJ-4</color> multiple ejector rack on <color=@userlogColoredText>GDJ-49B</color> pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color> x4
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB-HD</color> x4"

modification/cn_q5_type_500;500-2型 / 3型 / 4型
modification/cn_q5_type_500/desc;"Loadout unlocked:
• 歼7II:
  • Pylon:
    • 473 kg <color=@userlogColoredText>500-2型</color> <color=#ff6f00>BMB</color>
• 歼7D, 歼7E, 歼8 (all), 强5L:
  • Pylon:
    • 469 kg <color=@userlogColoredText>500-3型</color> <color=#ff6f00>BMB</color>
    • 508.3 kg <color=@userlogColoredText>500-4型</color> <color=#ff6f00>BMB-HD</color>
• 歼轰7:
  • Dual ejector rack:
    • 469 kg <color=@userlogColoredText>500-3型</color> <color=#ff6f00>BMB</color> x2
    • 508.3 kg <color=@userlogColoredText>500-4型</color> <color=#ff6f00>BMB-HD</color> x2"

modification/cn_type_250_ls_6;250-3型 / 4型 / LS-6/250
modification/cn_type_250_ls_6/desc;"Loadout unlocked:
• 歼10A:
  • <color=@userlogColoredText>GDJ-6</color> pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color>
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color>
    • 290 kg <color=@userlogColoredText>LS-6/250</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • Dual ejector rack:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color> x2
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color> x2
  • Pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color>
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color>
• 歼11B:
  • Pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color>
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color>
    • 290 kg <color=@userlogColoredText>LS-6/250</color> <color=#ff6f00>BMB-LG/GNSS</color>
• 歼轰7A (all):
  • <color=@userlogColoredText>GDJ-49B</color> pylon:
    • 290 kg <color=@userlogColoredText>LS-6/250</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • <color=@userlogColoredText>GDJ-4</color> multiple ejector rack on <color=@userlogColoredText>GDJ-49B</color> pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color> x6
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color> x6
  • <color=@userlogColoredText>GDJ-4</color> multiple ejector rack:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color> x6
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color> x6
  • Pylon:
    • 216.5 kg <color=@userlogColoredText>250-3型</color> <color=#ff6f00>BMB</color>
    • 240 kg <color=@userlogColoredText>250-4型</color> <color=#ff6f00>BMB</color>
    • 290 kg <color=@userlogColoredText>LS-6/250</color> <color=#ff6f00>BMB-LG/GNSS</color>"

