<ID|readonly|noverify>;<English>
shop/unitCountry/operator;Operator country<color=#ffffff>
shop/unitCountry/research;</color>Research country<color=#ffffff>
country_britain;UK
country_britain/short;UK
country_china;中国
country_china/short;中国
country_germany_weimar_republic;Deutsches Reich
country_germany_empire_navy;Deutsches Reich
country_germany_modern;Deutschland
country_germany;Deutschland
country_germany/short;Deutschland
country_japan;日本
country_japan/short;日本
country_usa;USA
country_usa_modern;United States of America
country_usa/short;USA
country_ussr;СССР
country_ussr/short;СССР
country_russia;Россия
country_russia_empire_navy;Российская Империя
country_sweden;Sverige
country_sweden/short;Sverige
country_australia;Australia
country_austria;Österreich
country_italy_kingdom;Regno d'Italia
country_italy;Italia
country_italy/short;Italia
country_belgium;België
country_bulgaria;България
country_brazil;Brasil
country_canada;Canada
country_finland;Suomi
country_france;France
country_france/short;France
country_greece;Ελλάδα
country_greece_modern;Ελλάδα
country_hungary;Magyar Királyság
country_hungary_modern;Magyarország
country_iraq;قارعلا
country_netherlands;Nederland
country_new_zealand;Aotearoa
country_norway;Norge
country_poland;Polska
country_romania;România
country_south_africa;Suid-Afrika
country_thailand;ประเทศไทย
country_yugoslavia;Jugoslavija
country_korea;대한민국
country_japan_modern;日本国
country_portugal;Portugal
country_syria;ايروس
country_canada_modern;Canada
country_argentina;Argentina
country_south_africa_modern;Iningizimu Afrika
country_vietnam;Việt Nam
country_turkey;Türkiye
country_cuba;Cuba
country_philippines;Pilipinas
country_czech;Česko
country_gdr;DDR
country_north_korea;조선
country_bangladesh;Bānlādēśa
country_republic_china;中華民國
country_pakistan;ناتسکاپ
country_ireland;Éire
country_slovakia;Slovensko
country_saudi_arabia;ةيدوعسلا ةيبرعلا ةكلمملا
country_spain;España
country_jordan;ندرألا
country_britain_empire_navy;United Kingdom of Great Britain and Northern Ireland
country_pkg6;Ponyland
country_switzerland;Schweiz
country_india;Bhārat
country_kazakhstan;Қазақстан
country_lithuania;Lietuva
country_oman;نامع
country_denmark;Danmark
country_kuwait;تيوكلا
country_egypt;رصم
country_israel;לארשי
country_israel/short;לארשי
country_iran;ناریا
country_colombia;Colombia
