<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
il_9a33bm3_shop;◐ OSA-AKM
il_9a33bm3_0;"<color=#81c3fc>Московский машиностроительный завод «Знамя»</color>
◐ Αντιαεροπορικό σύστημα κατευθυνόμενων βλημάτων OSA-AKM"
il_9a33bm3_1;◐ OSA-AKM
il_9a33bm3_2;SPAAM

il_tor_m1_shop;◐ TOR-M1
il_tor_m1_0;"<color=#81c3fc>Научно-производственное объединение Антей</color>
◐ Αντιαεροπορικό σύστημα κατευθυνόμενων βλημάτων TOR-M1"
il_tor_m1_1;◐ TOR-M1
il_tor_m1_2;SPAAM

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
