<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4
sb2c_5_greece_shop;◐ SB2C-5
sb2c_5_greece_0;"<color=#81c3fc>Curtiss-Wright Corporation Model 84G</color>
◐ Βομβαρδιστικό SB2C-5 Helldiver"
sb2c_5_greece_1;◐ SB2C-5
sb2c_5_greece_2;◐ SB2C

spitfire_lf_mk9c_cw_greece_shop;◐ Spitfire L.F. Mk. IX (CW) του Σμυρνιωτόπουλος
spitfire_lf_mk9c_cw_greece_0;"<color=#81c3fc>Vickers Supermarine Type 361</color>
◐ Μαχητικό Spitfire L.F. Mk. IX
<color=#adadad>(clipped wing)</color>
<color=@currencyGoldColor>του Γεωργίου Σμυρνιωτόπουλου</color>"
spitfire_lf_mk9c_cw_greece_1;◐ Spitfire L.F. Mk. IX
spitfire_lf_mk9c_cw_greece_2;◐ Spitfire

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5
f-84g_greece_shop;◐ F-84G-16-RE
f-84g_greece_0;"<color=#81c3fc>Republic Aviation Corporation AP-23</color>
◐ Μαχητικό F-84G-16-RE Thunderjet"
f-84g_greece_1;◐ F-84G
f-84g_greece_2;◐ F-84

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
f_102a_greece_shop;◐ F-102A-65-CO
f_102a_greece_0;"<color=#81c3fc>Convair Model 8-10</color>
◐ Μαχητικό F-102A-65-CO Delta Dagger"
f_102a_greece_1;◐ F-102A
f_102a_greece_2;◐ F-102

f_86em_greece_shop;◐ F-86E(M)
f_86em_greece_0;"<color=#81c3fc>Canadair CL-13</color>
◐ Μαχητικό F-86E(M) Sabre"
f_86em_greece_1;◐ F-86E
f_86em_greece_2;◐ F-86

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7
a_7h_greece_shop;◐ A-7H
a_7h_greece_0;"<color=#81c3fc>Vought Corporation</color>
◐ Βομβαρδιστικό A-7H Corsair"
a_7h_greece_1;◐ A-7H
a_7h_greece_2;◐ A-7

a_7e_greece_shop;◐ A-7E
a_7e_greece_0;"<color=#81c3fc>Vought Corporation</color>
◐ Βομβαρδιστικό A-7E Corsair"
a_7e_greece_1;◐ A-7E
a_7e_greece_2;◐ A-7

mirage_f1cg_greece_shop;◐ Mirage F1CG
mirage_f1cg_greece_0;"<color=#81c3fc>Avions Marcel Dassault-Breguet Aviation</color>
◐ Μαχητικό Mirage F1CG"
mirage_f1cg_greece_1;◐ Mirage F1CG
mirage_f1cg_greece_2;◐ Mirage F1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8
f_4e_aup_greece_shop;◐ F-4E PI2000
f_4e_aup_greece_0;"<color=#81c3fc>McDonnell Douglas Corporation Model 98NS <color=@commonTextColor>/</color> Ελληνική Αεροπορική
Βιομηχανία</color>
◐ Μαχητικό F-4E Phantom II Peace Icarus 2000"
f_4e_aup_greece_1;◐ F-4E
f_4e_aup_greece_2;◐ F-4

mirage_2000_5eg_mk2_greece_shop;◐ M2000-5 EGM
mirage_2000_5eg_mk2_greece_0;"<color=#81c3fc>Dassault Aviation</color>
◐ Μαχητικό Mirage 2000-5 EGM"
mirage_2000_5eg_mk2_greece_1;◐ M2000-5 EGM
mirage_2000_5eg_mk2_greece_2;◐ M2000

//AIRCRAFT - VEHICLE/FAMILY START: RANK 9
rafale_eg_greece_shop;◐ Rafale EG
rafale_eg_greece_0;"<color=#81c3fc>Dassault Aviation</color>
◐ Μαχητικό Rafale EG"
rafale_eg_greece_1;◐ Rafale EG
rafale_eg_greece_2;◐ Rafale

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6
ah_64a_greece_usa_shop;◐ AH-64A
ah_64a_greece_usa_0;"<color=#81c3fc>McDonnell Douglas Helicopter Systems</color>
◐ Επιθετικό ελικόπτερο AH-64A Apache"
ah_64a_greece_usa_1;◐ AH-64A
ah_64a_greece_usa_2;◐ AH-64

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
il_9a33bm3_shop;◐ OSA-AKM
il_9a33bm3_0;"<color=#81c3fc>Moskofsk'ij mashinostroit'el'nyj zavot «Znamya»</color>
◐ Αντιαεροπορικό σύστημα κατευθυνόμενων βλημάτων OSA-AKM"
il_9a33bm3_1;◐ OSA-AKM
il_9a33bm3_2;SPAAM

il_tor_m1_shop;◐ TOR-M1
il_tor_m1_0;"<color=#81c3fc>Nauchno-proizvodzdv'ennoye ob""yed'inyeniye Ant'ej</color>
◐ Αντιαεροπορικό σύστημα κατευθυνόμενων βλημάτων TOR-M1"
il_tor_m1_1;◐ TOR-M1
il_tor_m1_2;SPAAM

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
il_leopard_2a6_hel_shop;◐ Leopard 2 HEL
il_leopard_2a6_hel_0;"<color=#81c3fc>Ελληνική Βιομηχανία Οχημάτων</color>
◐ Άρµα Leopard 2 HEL"
il_leopard_2a6_hel_1;◐ Leopard 2 HEL
il_leopard_2a6_hel_2;MBT

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
