<ID|readonly|noverify>;<English>
//GROUPS

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4
il_zsu_57_2_shop;2-57-.וי.סא.יז 
il_zsu_57_2_0; Омский завод № 174 им. Ворошилова | 2-57-.וי.סא.יז מ״נ ת״מות
il_zsu_57_2_1;2-57-.וי.סא.יז 
il_zsu_57_2_2;SPAAG

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5
il_tiran_4_shop;4 ןריט
il_tiran_4_0;Уральский вагоностроительный завод имени И. В. Сталина / שומיחה | 4 ןריט קנט
il_tiran_4_1;4 ןריט
il_tiran_4_2;MBT
il_tiran_4_sh_shop;ש 4 ןריט
il_tiran_4_sh_0;Уральский вагоностроительный завод имени И. В. Сталина / שומיחה | רירש 4 ןריט קנט
il_tiran_4_sh_1;ש 4 ןריט
il_tiran_4_sh_2;MBT
il_zsu_23_4_shop;שידנאג
il_zsu_23_4_0;Мытищинский ордена Отечественной войны 1 степени машиностроительный завод | 4-23-.וי.סא.יז מ״נ ת״מות | שידנאג מ״נ ת״מות
il_zsu_23_4_1;שידנאג
il_zsu_23_4_2;SPAAG

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
il_tiran_6_shop;6 ןריט
il_tiran_6_0;Уральским вагоностроительным заводом имени Ф. Э. Дзержинского / שומיחה | 6 ןריט קנט
il_tiran_6_1;6 ןריט
il_tiran_6_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
