<ID|readonly|noverify>;<English>
//GROUPS
shop/group/il_magach_1_2_group;2 / 1 חגמ
shop/group/il_magach_3_6_group;6 / 3 חגמ
shop/group/il_magach_6a_5_group;5 / א 6 חגמ
shop/group/il_magach_6_group;(M261) / ב / ר 6 חגמ
shop/group/il_magach_6m_c_group;ג / מ 6 חגמ
shop/group/il_magach_batash_7_group;ג 7 / ש״טב לג ב 6 חגמ
shop/group/il_tiran_4_group;ש 4 / 4 ןריט
shop/group/il_gimel_tiran_group;6 ןריט / ג לק טוש
shop/group/il_merkava_1_2_group;ב 2 / רפושמ 1 ןמיס הבכרמ
shop/group/il_merkava_3_group;ז״ב ב / ח״מר 3 ןמיס הבכרמ
shop/group/il_merkava_4_group;"""LIC"" ב / ב 4 ןמיס הבכרמ"

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5
md_450b_ouragan_iaf_shop;ןגרוא 
md_450b_ouragan_iaf_0; Avions Marcel Dassault | ןגרוא M.D.450B
md_450b_ouragan_iaf_1;ןגרוא 
md_450b_ouragan_iaf_2;ןגרוא 
md_450b_ouragan_iaf_29_shop;(29 ׳סמ) ןגרוא 
md_450b_ouragan_iaf_29_0;" Avions Marcel Dassault | (""הערצה תסייט"" 29 ׳סמ ,113 תסייט) ןגרוא M.D.450B"
md_450b_ouragan_iaf_29_1;ןגרוא 
md_450b_ouragan_iaf_29_2;ןגרוא 

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7
nesher_shop;A רשנ
nesher_0;Avions Marcel Dassault-Breguet Aviation / לארשיל תיריוואה היישעתה | A רשנ
nesher_1;A רשנ
nesher_2;רשנ

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8
f_16i_sufa_shop; F-16I
f_16i_sufa_0; Lockheed Martin Corporation | הפוס F-16I 
f_16i_sufa_1; F-16I
f_16i_sufa_2; F-16

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4
il_m_51_shop;(1975) 51-מ
il_m_51_0;7000 הקזחאו םוקיש זכרמ / Lima Locomotive Works | (1975) 51-מ ןמרש קנט
il_m_51_1;51-מ
il_m_51_2;Medium Tank
il_m_51_w_shop;(M4A3) 51-מ
il_m_51_w_0;7000 הקזחאו םוקיש זכרמ / Highland Park Ford Plant | (M4A3 hull) 51-מ ןמרש קנט
il_m_51_w_1;51-מ
il_m_51_w_2;Medium Tank
il_amx_13_75_shop;13 סכמא 
il_amx_13_75_0; Atelier de construction de Roanne | 13 סכמא לק קנט
il_amx_13_75_1;13 סכמא 
il_amx_13_75_2;Light Tank
il_m48a1_patton_III_shop;1 חגמ
il_m48a1_patton_III_0;Chrysler Defense | M48 A1 קנט | 1 חגמ קנט
il_m48a1_patton_III_1;1 חגמ
il_m48a1_patton_III_2;MBT
il_magach_2_shop;2 חגמ
il_magach_2_0;Chrysler Defense | M48 A2 C קנט | 2 חגמ קנט
il_magach_2_1;2 חגמ
il_magach_2_2;MBT
il_magach_3_idf_shop;3 חגמ
il_magach_3_idf_0;7000 הקזחאו םוקיש זכרמ / Chrysler Defense | M48 A3 קנט | 3 חגמ קנט
il_magach_3_idf_1;3 חגמ
il_magach_3_idf_2;MBT
il_magach_3_shop;(ןטלב) 3 חגמ
