<ID|readonly|noverify>;<English>
//MISSILES
modification/fr_aam_shafrir;1 רירפש
modification/fr_aam_shafrir/desc;"Loadout unlocked:
• <color=@userlogColoredText>1 רירפש</color> <color=#ff6f00>AAM-IR</color>"

modification/fr_aam_shafrir_2;2 רירפש
modification/fr_aam_shafrir_2/desc;"Loadout unlocked:
• <color=@userlogColoredText>2 רירפש</color> <color=#ff6f00>AAM-IR</color>"

modification/il_python_3;3 ןותיפ
modification/il_python_3/desc;"Loadout unlocked:
• <color=@userlogColoredText>3 ןותיפ</color> <color=#ff6f00>AAM-IR</color>"

modification/il_derby;יברד
modification/il_derby/desc;"Loadout unlocked:
• <color=@userlogColoredText>יברד</color> <color=#ff6f00>AAM-ARH</color>"
