<ID|readonly|noverify>;<English>
//GUNS
weapons/105mm_M_51_user_cannon;<color=@userlogColoredText>105 mm</color> 51-מ מ״מ 105 חתות <color=#ff6f00>CNN</color>
weapons/105mm_L7_Shot_user_cannon;<color=@userlogColoredText>105 mm</color> רירש מ״מ 105 חתות <color=#ff6f00>CNN</color>
weapons/105mm_M68_Magach_user_cannon;<color=@userlogColoredText>105 mm</color> רירש מ״מ 105 חתות <color=#ff6f00>CNN</color>
weapons/120mm_IMI_MG251_user_cannon;<color=@userlogColoredText>120 mm</color> MG251 מ״מ 120 חתות <color=#ff6f00>CNN</color>
weapons/120mm_IMI_MG251_LR_user_cannon;<color=@userlogColoredText>120 mm</color> MG251-LR הכורא העיתר מ״מ 120 חתות <color=#ff6f00>CNN</color>
weapons/120mm_IMI_MG253_user_cannon;<color=@userlogColoredText>120 mm</color> MG253 הכורא העיתר מ״מ 120 חתות <color=#ff6f00>CNN</color>

//MISSILES
weapons/il_shafrir_1;1 רירפש <color=#ff6f00>AAM-IR</color>
weapons/il_shafrir_1/short;1 רירפש
weapons/il_shafrir_2;2 רירפש <color=#ff6f00>AAM-IR</color>
weapons/il_shafrir_2/short;2 רירפש
weapons/il_shafrir_2_default;2 רירפש <color=#ff6f00>AAM-IR</color>
weapons/il_shafrir_2_default/short;2 רירפש
weapons/il_pyton_3;3 ןותיפ <color=#ff6f00>AAM-IR</color>
weapons/il_pyton_3/short;3 ןותיפ
weapons/il_pyton_3_default;3 ןותיפ <color=#ff6f00>AAM-IR</color>
weapons/il_pyton_3_default/short;3 ןותיפ
weapons/il_pyton_4;4 ןותיפ <color=#ff6f00>AAM-IR</color>
weapons/il_pyton_4/short;4 ןותיפ
weapons/il_derby;יברד <color=#ff6f00>AAM-ARH</color>
weapons/il_derby/short;יברד
weapons/il_derby_default;יברד <color=#ff6f00>AAM-ARH</color>
weapons/il_derby_default/short;יברד
