<ID|readonly|noverify>;<English>
//GROUPS
shop/group/uk_stormer_9a33_group;Stormer / ☸ ओसा-एके
shop/group/uk_stormer_9a35_group;F.V.4333 (HVM) / ☸ स्ट्रेला-10 एम

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
marut_mk1_shop;मारुत एमके I
marut_mk1_0;हिंदुस्तान एयरोनॉटिक्स लिमिटेड HF-24 | मारुत एमके I
marut_mk1_1;मारुत एमके I
marut_mk1_2;मारुत

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
uk_9a33bm2_shop;☸ ओसा-एके
uk_9a33bm2_0;☸ Moskovskij mašinostroityel'nyj zavod «Znamâ» | ओसा-एके प्रक्षेपास्त्र प्रणाली
uk_9a33bm2_1;☸ ओसा-एके
uk_9a33bm2_2;SPAAM
uk_9a35_m_shop;☸ स्ट्रेला-10 एम
uk_9a35_m_0;☸ Saratovskij zavod tâžyelogo mašinostroyeniâ | स्ट्रेला-10 एम प्रक्षेपास्त्र प्रणाली
uk_9a35_m_1;☸ स्ट्रेला-10 एम
uk_9a35_m_2;SPAAM
uk_t_90s_bheeshma_shop;☸ टी-90 एस भीष्म
uk_t_90s_bheeshma_0;☸ Uralvagonzavod / भारी वाहन निर्माणी | टैंक टी-90 एस भीष्म
uk_t_90s_bheeshma_1;☸ टी-90 एस भीष्म
uk_t_90s_bheeshma_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
mig-21_bison_shop;☸ मिग-21 बाइसन
mig-21_bison_0;☸ हिंदुस्तान एरोनॉटिक्स लिमिटेड | मिग-21 बाइसन
mig-21_bison_1;☸ मिग-21 बाइसन
mig-21_bison_2;☸ मिग-21

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
