<ID|readonly|noverify>;<English>
//MANUFACTURERS
engine_manufacturer/nakajima;Manufacturer: 中島飛行機
engine_manufacturer/ishikawa-harima;Manufacturer: 石川島播磨重工業株式会社
engine_manufacturer/mitsubishi;Manufacturer: 三菱重工業
//ENGINES
engine_model/ha_25_type_99;九九式九五〇馬力発動機 | ハ25
engine_model/sakae_22;九九式九五〇馬力発動機 | ハ35-22 | 栄二二型 | NK1G
engine_model/homare_12;中島飛行機BA | 四式一八五〇馬力発動機 | ハ45-12 | 誉一二型 | NK9C
engine_model/homare_21;中島飛行機BA | 四式一八五〇馬力発動機 | ハ45-21 | 誉二一型 | NK9H
engine_model/homare_23;中島飛行機BA | 四式一八五〇馬力発動機 | ハ45-23 | 誉二三型 | NK9H-S
engine_model/homare_42;中島飛行機BA | 四式一八五〇馬力発動機 | ハ45-42 | 誉四二型 | NK9A-O
engine_model/ne_20;ネ20改
engine_model/mitsubishi_10zf_22wt;10ZF 22WT
engine_model/8va_34twk;8VA 34TWK
