<ID|readonly|noverify>;<English>
//FOLDERS
shop/group/ki-10_group;キ10-I / II / I (第1戦隊) / II (第77戦隊)
shop/group/ki-43_group;キ43-I丙 / II甲
shop/group/ki-45_eraly_group;キ45改丙 (丁) / 乙
shop/group/ki-45_group;キ45改甲 / 丙
shop/group/b6n_group;B6N2 / 2甲
shop/group/a6m2_n1k1_group;A6M2-N / N1K1
shop/group/a6m2_group;A6M2 (11型) / (21型)
shop/group/a6m3_mod22_group;A6M3 (32型) / (22型) / 甲
shop/group/a6m5_group;A6M5乙 / 丙
shop/group/ki_44_group;キ44-I / 61-I甲
shop/group/ki_61_group;キ44-II / 61-I
shop/group/ki_61_late_group;キ61-I丁 / II改甲
shop/group/n1k2_group;N1K1-J / 2-J / 2-J甲
//AIRCRAFT - VEHICLE/FAMILY START: RANK 1
f1m2_shop;F1M2
f1m2_0;三菱重工業 | 0式観測機 | F1M2
f1m2_1;F1M2
f1m2_2;F1M
a5m4_shop;A5M4
a5m4_0;三菱重工業 | 96式4号艦上戦闘機4型 | A5M4
a5m4_1;A5M4
a5m4_2;A5M4
a5m4_hagiri_shop;羽切のA5M4
a5m4_hagiri_0;三菱重工業 | 羽切松雄の96式4号艦上戦闘機4型 | A5M4
a5m4_hagiri_1;A5M4
a5m4_hagiri_2;A5M
ki_10_1_shop;キ10-I
ki_10_1_0;川崎航空機工業 | 95式戦闘機1型 | キ10-I
ki_10_1_1;キ10-I
ki_10_1_2;キ10
ki_10_1_commander_shop;キ10-I (第1戦隊)
ki_10_1_commander_0;川崎航空機工業 | 95式戦闘機1型 | キ10-I (飛行第1戦隊)
ki_10_1_commander_1;キ10-I
ki_10_1_commander_2;キ10
ki_10_2_shop;キ10-II
ki_10_2_0;川崎航空機工業 | 95式戦闘機2型 | キ10-II
ki_10_2_1;キ10-II
ki_10_2_2;キ10
ki_10_2_commander_shop;キ10-II (第77戦隊)
ki_10_2_commander_0;川崎航空機工業 | 95式戦闘機2型 | キ10-II (飛行第77戦隊)
ki_10_2_commander_1;キ10-II
ki_10_2_commander_2;キ10
ki-27_otsu_shop;キ27乙
ki-27_otsu_0;中島飛行機 | 97式戦闘機乙 | キ27乙
ki-27_otsu_1;キ27乙
ki-27_otsu_2;キ27
ki-27_otsu_ep_shop;キ27乙 (第4戦隊)
ki-27_otsu_ep_0;中島飛行機 | 97式戦闘機乙 | キ27乙 (飛行第4戦隊)
ki-27_otsu_ep_1;キ27乙
ki-27_otsu_ep_2;キ27
