<ID|readonly|noverify>;<English>
//ROCKETS
modification/j_7_hf5;С-5К
modification/j_7_hf5/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-5</color> airborne rocket launcher:
  • <color=@userlogColoredText>С-5К</color> <color=#ff6f00>RKT</color> x32"

modification/cn_hf27;С-5К
modification/cn_hf27/desc;"Loadout unlocked:
• <color=@userlogColoredText>HF-27</color> airborne rocket launcher:
  • <color=@userlogColoredText>С-5К</color> <color=#ff6f00>RKT</color> x7"

//MISSILES
modification/mig_19_pl2;K/AKK2
modification/mig_19_pl2/desc;"Loadout unlocked:
• <color=@userlogColoredText>АПУ-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK2</color> <color=#ff6f00>AAM-IR</color>"

modification/j_7_pl5b;K/AKK5B
modification/j_7_pl5b/desc;"Loadout unlocked:
• J7D, J7E, J8 (all):
  • <color=@userlogColoredText>АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B</color> <color=#ff6f00>AAM-IR</color>
• JH7, JH7A (all):
  • <color=@userlogColoredText>PF9W</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B</color> <color=#ff6f00>AAM-IR</color>
• JH7A (all):
  • <color=@userlogColoredText>АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5B</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5c;K/AKK5C
modification/cn_pl5c/desc;"Loadout unlocked:
• JH7, JH7A (all):
  • <color=@userlogColoredText>PF9W</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C</color> <color=#ff6f00>AAM-IR</color>
• JH7A (all):
  • <color=@userlogColoredText>АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5C</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl5e2;K/AKK5EII
modification/cn_pl5e2/desc;"Loadout unlocked:
• J10A:
  • <color=@userlogColoredText>АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII</color> <color=#ff6f00>AAM-IR</color>
• JH7, JH7A (all):
  • <color=@userlogColoredText>PF9W</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII</color> <color=#ff6f00>AAM-IR</color>
• JH7A (all):
  • <color=@userlogColoredText>АПУ-13</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII</color> <color=#ff6f00>AAM-IR</color>
• JF-17 Block I:
  • <color=@userlogColoredText>АПУ-13</color> missile launcher on <color=@userlogColoredText>GDJ-II18A</color> pylon:
    • <color=@userlogColoredText>K/AKK5EII</color> <color=#ff6f00>AAM-IR</color>
  • <color=@userlogColoredText>PF9WA</color> missile launcher:
    • <color=@userlogColoredText>K/AKK5EII</color> <color=#ff6f00>AAM-IR</color>"

modification/cn_pl8;K/AKK8
modification/cn_pl8/desc;"Loadout unlocked:
• <color=@userlogColoredText>АПУ-13</color> missile launcher:
  • <color=@userlogColoredText>K/AKK8</color> <color=#ff6f00>AAM-IR</color>"
