<ID|readonly|noverify>;<English>
//GUNS

//AMMUNITION

//BOMBS

//ROCKETS

//MISSILES
weapons/cn_yj91_l_111;YJ91 | K/AKD91空地导弹 (Пассивная радиолокационная головка самонаведения ПРГС-4ВП) <color=#ff6f00>AGM-PRH</color>
weapons/cn_yj91_l_111/short;K/AKD91 (ПРГС-4ВП)
weapons/cn_yj91_l_112;YJ91 | K/AKD91空地导弹 (Пассивная радиолокационная головка самонаведения ПРГС-5ВП) <color=#ff6f00>AGM-PRH</color>
weapons/cn_yj91_l_112/short;K/AKD91 (ПРГС-5ВП)
weapons/cn_yj91_l_113;YJ91 | K/AKD91空地导弹 (Пассивная радиолокационная головка самонаведения ПРГС-6ВП) <color=#ff6f00>AGM-PRH</color>
weapons/cn_yj91_l_113/short;K/AKD91 (ПРГС-6ВП)

//FUEL TANKS
