<ID|readonly|noverify>;<English>
//MANUFACTURERS
engine_manufacturer/weijiang;"Manufacturer: 中国南方航空动力机械公司"
engine_manufacturer/shenyang_liming;"Manufacturer: 中国航发沈阳黎明航空发动机有限责任公司"
engine_manufacturer/xaec;"Manufacturer: 西安航空发动机 (集团) 有限公司"
engine_manufacturer/zhuzhou_aero-engine_factory;"Manufacturer: 中国南方航空工业 (集团) 有限公司"

//ENGINES
engine_model/wj-6;"WJ6发动机"

engine_model/wp-5;"WP5发动机"

engine_model/wp-6;"WP6发动机"

engine_model/wp-6a;"WP6A发动机"

engine_model/wp-6a-iii;"WP6AIII发动机"

engine_model/wp-7b;"WP7B发动机"

engine_model/wp-7f;"WP7F发动机"

engine_model/wp-13a-ii;"WP13AII发动机"

engine_model/wp-13b-ii;"WP13BII发动机"

engine_model/wp-13f;"WP13F发动机"

engine_model/wp-13f1;"WP13FI发动机"

engine_model/ws_9;"FWS9发动机 ""秦岭"""

engine_model/ws_10a;"FWS10A发动机 ""太行"""

engine_model/ws_10b;"FWS10B发动机 ""太行"""

engine_model/wz-8a;"WZ8A发动机"

engine_model/wz-8c;"WZ8C发动机"

engine_model/wz-8d;"WZ8D发动机"

engine_model/wz-9;"FWZ9发动机"

engine_model/wz-9c;"FWZ9C发动机"
