<ID|readonly|noverify>;<English>
//GROUPS
shop/group/ki_27_group;☀ 九七式戰 / 一式戰鬥機三型
shop/group/i-16_china_group;忠28 / ☀ E-16-1
shop/group/db_3_china_group;☀ D.B.3 / C.B. (M-103U)
shop/group/p_40_china_group;☀ P-40E / 43
shop/group/mig-9_china_group;␗ 米格9 / ␗ I-307
shop/group/mig-15_china_group;␗ 米格15比斯 / 17
shop/group/mig-19_china_group;J6A / 7II
shop/group/j_11_group;K/JJ11 / 11A
shop/group/cn_m3_m5_stuart_group;☀ M3A3 / 5A1
shop/group/cn_t_34_m4_group;␗ 特34 / ☀ M4A1
shop/group/cn_type_63_62_group;L/ZTS63 / L/ZTQ62
shop/group/cn_t_34_85_group;␗ 特34 (1944) / (1960)
shop/group/cn_is_2_group;␗ 斯2 (1943) / (1944)
shop/group/cn_zts_type_group;L/ZTS63 (1979) / L/ZBD86
shop/group/cn_type_59_69_group;L/ZTZ59 / 69
shop/group/cn_ztz_88_group;L/ZTZ88B / A
shop/group/cn_cm_ptz_group;CM25 / L/PTZ89
shop/group/cn_ptl_aft_group;L/PTL02 / L/AFT09
shop/group/cn_ztz_99_group;L/ZTZ99 (一期) / (二期)
shop/group/cn_tor_hq_group;␗ 9А331 / L/ADK17

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1
gladiator_mk1_china_shop;鬥士Mk. I
gladiator_mk1_china_0;Gloster Aircraft Company | 鬥士Mk. I型驅逐機「格機」
gladiator_mk1_china_1;鬥士Mk. I
gladiator_mk1_china_2;鬥士
ki-27_otsu_china_shop;☀ 九七式戰乙
ki-27_otsu_china_0;☀ 中島飛行機 | 九七式戰鬥機乙
ki-27_otsu_china_1;☀ 九七式戰乙
ki-27_otsu_china_2;☀ 九七式戰
ki_43_3_ko_shop;☀ 一式戰三型甲
ki_43_3_ko_0;☀ 中島飛行機 / 立川飛行機 | 一式戰鬥機三型甲「隼」
ki_43_3_ko_1;☀ 一式戰三型
ki_43_3_ko_2;☀ 一式戰
cw_21_shop;☀ C.W.21
cw_21_0;☀ Curtiss-Wright Corporation Model 21 | C.W.21驅逐機
cw_21_1;☀ C.W.21
cw_21_2;☀ C.W.21
i-15bis_china_shop;☀ E-15比斯
i-15bis_china_0;"☀ Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo | E-15比斯型驅逐機"
i-15bis_china_1;☀ E-15比斯
i-15bis_china_2;☀ E-15
i-16_type5_1935_china_shop;☀ E-16-5
i-16_type5_1935_china_0;"☀ Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo | E-16-5型驅逐機"
i-16_type5_1935_china_1;☀ E-16-5
i-16_type5_1935_china_2;☀ E-16
i-16_type10_china_shop;☀ E-16-10
i-16_type10_china_0;"☀ Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo | E-16-10型驅逐機"
i-16_type10_china_1;☀ E-16-10
i-16_type10_china_2;☀ E-16
i-16_type17_china_shop;☀ E-16-17
i-16_type17_china_0;"☀ Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo | E-16-17型驅逐機"
i-16_type17_china_1;☀ E-16-17
i-16_type17_china_2;☀ E-16
i-16_chung_28_shop;忠28甲
i-16_chung_28_0;"Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo / 中央飛機製造廠 | 忠28甲型驅逐機"
i-16_chung_28_1;忠28甲
i-16_chung_28_2;忠28
i-153_m62_china_shop;☀ E-153
i-153_m62_china_0;"☀ Czyentral'naâ kliničyeskaâ bol'nicza № 39 Ob""yedinënnoye gosudarstvyennoye političyeskoye upravlyeniye im. Myenžinskogo | E-153驅逐機"
i-153_m62_china_1;☀ E-153
i-153_m62_china_2;☀ E-153
hs-123a-1_china_shop;☀ Hs 123 A-1
hs-123a-1_china_0;☀ Henschel Flugzeug-Werke | Hs 123 A-1型轟炸機「恆機」
hs-123a-1_china_1;☀ Hs 123 A
hs-123a-1_china_2;☀ Hs 123
v_11g_shop;☀ V-11-G
v_11g_0;☀ Vultee Aircraft V-11-G | V-11-G型轟炸機
v_11g_1;☀ V-11-G
v_11g_2;☀ V-11
v_12d_shop;☀ V-12-D
v_12d_0;☀ Vultee Aircraft V-12-D | V-12-D型轟炸機
v_12d_1;☀ V-12-D
v_12d_2;☀ V-12
martin_139wc_shop;☀ 馬丁139
martin_139wc_0;☀ Glenn L. Martin Company Model 139WC | 馬丁139轟炸機
martin_139wc_1;☀ 馬丁139
martin_139wc_2;☀ 馬丁139
hawk_iii_shop;☀ 霍克III
hawk_iii_0;☀ Curtiss-Wright Corporation Hawk Model 68C / 中央飛機製造廠 | 霍克III驅逐機
hawk_iii_1;☀ 霍克III
hawk_iii_2;☀ 霍克III
d_510c_shop;☀ D.510C
d_510c_0;☀ Constructions Aéronautiques Émile Dewoitine | D.510C型驅逐機「地機」
d_510c_1;☀ D.510C
d_510c_2;☀ D.510

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2
p-66_shop;P-48-C
p-66_0;Vultee Aircraft V-48-C | P-48-C型驅逐機「前鋒」
p-66_1;P-48-C
p-66_2;P-48
p-43a-1_china_shop;☀ P-43
p-43a-1_china_0;☀ Republic Aviation Corporation AP-4A | P-43驅逐機
p-43a-1_china_1;☀ P-43
p-43a-1_china_2;☀ P-43
p-40e_china_shop;☀ P-40E-CU
p-40e_china_0;☀ Curtiss-Wright Corporation Hawk Model 87B-2 | P-40E-CU型驅逐機
p-40e_china_1;☀ P-40E
p-40e_china_2;☀ P-40
a_29_hudson_shop;☀ A-29-LO
a_29_hudson_0;☀ Lockheed Corporation Model 414 | A-29-LO轟炸機
a_29_hudson_1;☀ A-29
a_29_hudson_2;☀ A-29
db_3a_china_shop;☀ D.B.3
db_3a_china_0;☀ Opytno-konstruktorskoye bûro № 39 | D.B.3轟炸機
db_3a_china_1;☀ D.B.3
db_3a_china_2;☀ D.B.3
sb_2m_103u_china_shop;☀ C.B. (M-103U)
sb_2m_103u_china_0;☀ Opytno-konstruktorskoye bûro № 156 | C.B.轟炸機 (M-103U)
sb_2m_103u_china_1;☀ C.B.
sb_2m_103u_china_2;☀ C.B.
p1y1_mod11_china_shop;☀ 銀河一一型
p1y1_mod11_china_0;☀ 中島飛行機 | 銀河一一型轟炸機
p1y1_mod11_china_1;☀ 銀河一一型
p1y1_mod11_china_2;☀ 銀河
p-40c_china_shop;☀ 霍克81A-3
p-40c_china_0;☀ Curtiss-Wright Corporation Hawk Model 81A-3 / 中央飛機製造廠 | 霍克81A-3型驅逐機
p-40c_china_1;☀ 霍克81A
p-40c_china_2;☀ 霍克81
ki-45_hei_tei_china_shop;☀ 二式雙座戰丙 (丁)
ki-45_hei_tei_china_0;☀ 川崎航空機工業 | 二式雙座戰鬥機丙「屠龍」(丁装備)
ki-45_hei_tei_china_1;☀ 二式雙座戰丙
ki-45_hei_tei_china_2;☀ 二式雙座戰

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3
p-47d_23_ra_china_rocaf_shop;☀ P-47D-23-RA
p-47d_23_ra_china_rocaf_0;☀ Republic Aviation Corporation AP-10 | P-47D-23-RA型驅逐機
p-47d_23_ra_china_rocaf_1;☀ P-47D
p-47d_23_ra_china_rocaf_2;☀ P-47
p-47d_30_china_shop;☀ F-47D-30-RE
p-47d_30_china_0;☀ Republic Aviation Corporation AP-10 | F-47D-30-RE型驅逐機
p-47d_30_china_1;☀ F-47D
p-47d_30_china_2;☀ F-47
f_47n_25_re_china_shop;☀ F-47N-25-RE
f_47n_25_re_china_0;☀ Republic Aviation Corporation AP-10 | F-47N-25-RE型驅逐機
f_47n_25_re_china_1;☀ F-47N
f_47n_25_re_china_2;☀ F-47
p-51d-20_china_shop;☀ F-51D-20-NA
p-51d-20_china_0;☀ North American Aviation NA-111 | F-51D-20-NA型驅逐機「野馬機」
p-51d-20_china_1;☀ F-51D
p-51d-20_china_2;☀ F-51
p-51k_shop;☀ F-51K-15-NT
p-51k_0;☀ North American Aviation NA-111 | F-51K-15-NT型驅逐機「野馬機」
p-51k_1;☀ F-51K
p-51k_2;☀ F-51
p-51c-11-nt_china_shop;☀ P-51C-11-NT
p-51c-11-nt_china_0;☀ North American Aviation NA-103 | P-51C-11-NT型驅逐機「野馬機」«Evalina»
p-51c-11-nt_china_1;☀ P-51C
p-51c-11-nt_china_2;☀ P-51
ki_44_2_hei_china_shop;☀ 二式戰二型丙
ki_44_2_hei_china_0;☀ 中島飛行機 | 二式戰鬥機二型丙「鍾馗」
ki_44_2_hei_china_1;☀ 二式戰二型
ki_44_2_hei_china_2;☀ 二式戰
ki_61_1a_otsu_china_shop;☀ 三式戰一型乙
ki_61_1a_otsu_china_0;☀ 川崎航空機工業 | 三式戰鬥機一型乙「飛燕」
ki_61_1a_otsu_china_1;☀ 三式戰一型
ki_61_1a_otsu_china_2;☀ 三式戰
mosquito_fb_mk26_china_shop;FB-26
mosquito_fb_mk26_china_0;de Havilland Aircraft Company DH.98 | FB-26轟炸機
mosquito_fb_mk26_china_1;FB-26
