<ID|readonly|noverify>;<English>
//BOMBS
modification/cn_glide_bomb;LS-6/250 / 250 (红外) / 500
modification/cn_glide_bomb/desc;"Loadout unlocked:
• Triple ejector rack:
  • 300 kg <color=@userlogColoredText>LS-6/250 (红外)</color> <color=#ff6f00>BMB-LG/GNSS</color> x2
• <color=@userlogColoredText>GDJ-6</color> pylon:
  • 290 kg <color=@userlogColoredText>LS-6/250</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • 300 kg <color=@userlogColoredText>LS-6/250 (红外)</color> <color=#ff6f00>BMB-LG/GNSS</color>
  • 630 kg <color=@userlogColoredText>LS-6/500</color> <color=#ff6f00>BMB-LG/GNSS</color>
• Pylon:
  • 300 kg <color=@userlogColoredText>LS-6/250 (红外)</color> <color=#ff6f00>BMB-LG/GNSS</color>"

//MISSILES
modification/mig_19_pl2/desc;Allows installation of K/AKK2 air-to-air missiles.
modification/mig_19_pl2;K/AKK2
modification/j_7_pl5b/desc;Allows installation of K/AKK5B air-to-air missiles.
modification/j_7_pl5b;K/AKK5B
modification/cn_pl5c/desc;Allows the installation of K/AKK5C air-to-air missiles.
modification/cn_pl5c;K/AKK5C
modification/cn_pl5e2/desc;Allows the installation of K/AKK5EII air-to-air missiles.
modification/cn_pl5e2;K/AKK5EII
modification/j_7_pl7/desc;Allows installation of K/AKK7 air-to-air missiles.
modification/j_7_pl7;K/AKK7
modification/cn_pl8/desc;Allows installation of K/AKK8 air-to-air missiles.
modification/cn_pl8;K/AKK8
modification/cn_pl8b/desc;Allows installation of K/AKK8B air-to-air missiles.
modification/cn_pl8b;K/AKK8B
modification/cn_pl11/desc;Allows installation of K/AKK11 air-to-air missiles.
modification/cn_pl11;K/AKK11
modification/cn_pl12/desc;Allows the installation of K/AKK12 air-to-air missiles.
modification/cn_pl12;K/AKK12

modification/cn_ty_90;K/AKK90
modification/cn_ty_90/desc;"Loadout unlocked:
• <color=@userlogColoredText>PF90</color> pylon:
  • <color=@userlogColoredText>K/AKK90</color> <color=#ff6f00>AAM-IR</color> x2"

//SENSORS
modification/cn_yings_3a;YINGS-IIIA (标配型)
modification/cn_yings_3a/desc;"Loadout unlocked:
• Pylon:
  • <color=@userlogColoredText>YINGS-IIIA (标配型)</color> <color=#ff6f00>TGP-LG/EO</color>"

//VARIANT UPGRADES
modification/type_86_turret_improvement;ZBD86 (2020)
modification/type_86_turret_improvement/desc;Upgrading ZBD86 by installing the new AFT07E ATGM.
