<ID|readonly|noverify>;<English>
shop/unitCountry/operator;Operator country<color=#ffffff>
shop/unitCountry/research;</color>Research country<color=#ffffff>
country_britain;UK
country_britain/short;UK
country_china;Zhōngguó
country_china/short;Zhōngguó
country_germany_weimar_republic;Deutsches Reich
country_germany_empire_navy;Deutsches Reich
country_germany_modern;Deutschland
country_germany;Deutschland
country_germany/short;Deutschland
country_japan;Nippon
country_japan/short;Nippon
country_usa;USA
country_usa_modern;United States of America
country_usa/short;USA
country_ussr;SSSR
country_ussr/short;SSSR
country_russia;Rossiâ
country_russia_empire_navy;Rossijskaâ Impyeriâ
country_sweden;Sverige
country_sweden/short;Sverige
country_australia;Australia
country_austria;Österreich
country_italy_kingdom;Regno d'Italia
country_italy;Italia
country_italy/short;Italia
country_belgium;België
country_bulgaria;Bŭlgariâ
country_brazil;Brasil
country_canada;Canada
country_finland;Suomi
country_france;France
country_france/short;France
country_greece;Elláda
country_greece_modern;Elláda
country_hungary;Magyar Királyság
country_hungary_modern;Magyarország
country_iraq;al-ʿIrāq
country_netherlands;Nederland
country_new_zealand;Aotearoa
country_norway;Norge
country_poland;Polska
country_romania;România
country_south_africa;Suid-Afrika
country_thailand;Prathet̄hịy
country_yugoslavia;Jugoslavija
country_korea;Taehanmin'guk
country_japan_modern;Nippon Koku
country_portugal;Portugal
country_syria;Sūrīyā
country_canada_modern;Canada
country_argentina;Argentina
country_south_africa_modern;Iningizimu Afrika
country_vietnam;Việt Nam
country_turkey;Türkiye
country_cuba;Cuba
country_philippines;Pilipinas
country_czech;Česko
country_gdr;DDR
country_north_korea;Chosŏn
country_bangladesh;Bānlādēśa
country_republic_china;Zhōnghuá Mínguó
country_pakistan;Pākistān
country_ireland;Éire
country_slovakia;Slovensko
country_saudi_arabia;al-Mamlakah al-ʿArabīyah as-Suʿūdīyah
country_spain;España
country_jordan;al-Urdun
country_britain_empire_navy;United Kingdom of Great Britain and Northern Ireland
country_pkg6;Ponyland
country_switzerland;Schweiz
country_india;Bhārat
country_kazakhstan;Qazaqstan
country_lithuania;Lietuva
country_oman;ʿUmān
country_denmark;Danmark
country_kuwait;al-Kuwayt
country_egypt;Miṣr
country_israel;Yiśrāʾēl
country_israel/short;Yiśrāʾēl
country_iran;Īrān
country_colombia;Colombia
