<ID|readonly|noverify>;<English>
//MANUFACTURERS
engine_manufacturer/kamaz;Manufacturer: ПАО «КАМАЗ»
engine_manufacturer/ivchenko;Запорожское машиностроительное конструкторское бюро „Прогресс“ имени академика А. Г. Ивченко

//ENGINES
engine_model/vk-1f;"
Engine model: ВК-1Ф"
engine_model/v_84_2s1;"
Engine model: В-84МС"
engine_model/utd_29;"
Engine model: УТД-29"
engine_model/utd_29t_01;"
Engine model: УТД-29Т-01"
engine_model/740_13_300;"
Engine model: КАМАЗ 740.13-300"
engine_model/al_31fn_series_3;"
Engine model: АЛ-31ФН серия 3"
engine_model/al_41f1s;"
Engine model: изд. 117С | АЛ-41Ф1С"
