<ID|readonly|noverify>;<English>
//GUNS - GUN/FAMILY START: RANK 6
mp_443_shop;ПЯ
mp_443_0;"<color=#81c3fc>Ижмаш</color>
<color=#ff8c80>Опытно-конструкторская работа «Грач»</color>
<color=#5cae63>6П35</color>
9-мм автоматический пистолет Ярыгина ПЯ"
mp_443_1;ПЯ
mp_443_2;Automatic Pistol

svd_shop;СВД
svd_0;"<color=#81c3fc>Ижевский машиностроительный завод</color>
<color=#5cae63>6В1</color>
7,62-мм снайперская винтовка Драгунова СВД"
svd_1;СВД
svd_2;Sniper Rifle

svd_m_shop;СВДМ
svd_m_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#5cae63>6В11</color>
7,62-мм снайперская винтовка Драгунова СВДМ"
svd_m_1;СВДМ
svd_m_2;Sniper Rifle

pp_19_bizon_shop;ПП-19
pp_19_bizon_0;"<color=#81c3fc>Ижмаш</color>
9-мм пистолет-пулемёт ПП-19 «Бизон»"
pp_19_bizon_1;ПП-19
pp_19_bizon_2;Submachine Gun

pp_19_vityaz_shop;ПП-19-01
pp_19_vityaz_0;"<color=#81c3fc>Ижмаш</color>
9-мм пистолет-пулемёт ПП-19-01 «Витязь»"
pp_19_vityaz_1;ПП-19-01
pp_19_vityaz_2;Submachine Gun

pp_2000_shop;ПП-2000
pp_2000_0;"<color=#81c3fc>Ижмаш</color>
9-мм пистолет-пулемёт ПП-2000 «Витязь»"
pp_2000_1;ПП-2000
pp_2000_2;Submachine Gun

ks_p_18_5_shop;КС-П
ks_p_18_5_0;"<color=#81c3fc>Ижмаш</color>
18,5-мм карабин специальный с подствольным магазином КС-П"
ks_p_18_5_1;КС-П
ks_p_18_5_2;Special Carbine

//GUNS - GUN/FAMILY START: RANK 7
asm_val_shop;АСМ
asm_val_0;"<color=#81c3fc>Центральный научно-исследовательский институт точного
машиностроения</color>
<color=#5cae63>6П30М</color>
9-мм автомат специальный АСМ «Вал»"
asm_val_1;АСМ
asm_val_2;Special Automatic Rifle

vssm_vintorez_shop;ВССМ
vssm_vintorez_0;"<color=#81c3fc>Центральный научно-исследовательский институт точного
машиностроения</color>
<color=#5cae63>6П29М</color>
9-мм винтовка снайперская специальная ВССМ «Винторез»"
vssm_vintorez_1;ВССМ
vssm_vintorez_2;Special Sniper Rifle

akm_47_shop;АКМ
akm_47_0;"<color=#81c3fc>Ижевский машиностроительный завод</color>
<color=#5cae63>6П1</color>
7,62-мм автомат Калашникова АКМ"
akm_47_1;АКМ
akm_47_2;Automatic Rifle

ak_74m_shop;АК-74М
ak_74m_0;"<color=#81c3fc>Ижмаш</color>
<color=#5cae63>6П34</color>
5,45-мм автомат Калашникова АК-74М"
ak_74m_1;АК-74М
ak_74m_2;Automatic Rifle

aksu_74_shop;АКС-74У
aksu_74_0;"<color=#81c3fc>Тульский оружейный завод</color>
<color=#5cae63>6П26</color>
5,45-мм автомат Калашникова АКС-74У"
aksu_74_1;АКС-74У
aksu_74_2;Automatic Rifle

rpk_74m_shop;РПК-74М
rpk_74m_0;"<color=#81c3fc>Ижмаш</color>
<color=#5cae63>6П39</color>
5,45-мм Ручной пулемёт Калашникова РПК-74М"
rpk_74m_1;РПК-74М
rpk_74m_2;Light Machine Gun

//GUNS - GUN/FAMILY START: RANK 8
ak_12_shop;AK-12
ak_12_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#5cae63>6П70М</color>
5,45-мм автомат Калашникова АК-12
<color=#9e9e9e>(2020)</color>"
ak_12_1;AK-12
ak_12_2;Automatic Rifle

ak_15_shop;АК-15
ak_15_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#5cae63>6П71</color>
7,62-мм автомат Калашникова АК-15"
ak_15_1;АК-15
ak_15_2;Automatic Rifle

rpk_16_shop;РПК-16
rpk_16_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#ff8c80>Опытно-конструкторская работа «Кипчак»</color>
5,45-мм Ручной пулемёт Калашникова РПК-16"
rpk_16_1;РПК-16
rpk_16_2;Light Machine Gun

kord_6p67_shop;6П67
kord_6p67_0;"<color=#81c3fc>Завод им. В. А. Дегтярёва</color>
<color=#919191>А-545</color>
<color=#5cae63>5,45-мм автомат 6П67 «Корд»</color>"
kord_6p67_1;6П67
kord_6p67_2;Automatic Rifle

kord_6p68_shop;6П68
kord_6p68_0;"<color=#81c3fc>Завод им. В. А. Дегтярёва</color>
<color=#919191>А-762</color>
<color=#5cae63>7,62-мм автомат 6П68 «Корд»</color>"
kord_6p68_1;6П68
kord_6p68_2;Automatic Rifle

ksvk_12_7_shop;АСВК
ksvk_12_7_0;"<color=#81c3fc>Завод им. В. А. Дегтярёва</color>
<color=#5cae63>6В7</color>
12,7-мм снайперская винтовка АСВК «Корд»"
ksvk_12_7_1;АСВК
ksvk_12_7_2;Sniper Rifle

//DRONES
uav_inf_strike_drone_shop;ZALA 421-16EM (Z-16VHD60)
uav_inf_strike_drone_0;"<color=#81c3fc>ZALA Aero Group 421-16EM</color>
<color=#adadad>(Z-16VHD60) (Противотанковой гранатой ПГ-7ВЛ «Луч»)</color>"
uav_inf_strike_drone_1;ZALA 421-16EM
uav_inf_strike_drone_2;ZALA 421
