<ID|readonly|noverify>;<English>
//GUNS - GUN/FAMILY START: RANK 6

//GUNS - GUN/FAMILY START: RANK 7
asm_val_shop;АСМ
asm_val_0;Центральный научно-исследовательский институт точного машиностроения | 6П30М | 9-мм автомат специальный АСМ «Вал»
asm_val_1;АСМ
asm_val_2;Automatic Rifle

//GUNS - GUN/FAMILY START: RANK 8
ak_12_shop;AK-12
ak_12_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#5cae63>6П70М</color>
5,45-мм автомат Калашникова АК-12
<color=#9e9e9e>(2020)</color>"
ak_12_1;AK-12
ak_12_2;Automatic Rifle

ak_15_shop;АК-15
ak_15_0;"<color=#81c3fc>Концерн «Калашников»</color>
<color=#5cae63>6П71</color>
7,62-мм автомат Калашникова АК-15"
ak_15_1;АК-15
ak_15_2;Automatic Rifle

kord_6p67_shop;6П67
kord_6p67_0;"<color=#81c3fc>Завод им. В. А. Дегтярёва</color>
<color=#919191>А-545</color>
5,45-мм автомат 6П67 «Корд»"
kord_6p67_1;6П67
kord_6p67_2;Automatic Rifle

kord_6p68_shop;6П68
kord_6p68_0;"<color=#81c3fc>Завод им. В. А. Дегтярёва</color>
<color=#919191>А-762</color>
7,62-мм автомат 6П68 «Корд»"
kord_6p68_1;6П68
kord_6p68_2;Automatic Rifle
