<ID|readonly|noverify>;<English>
//GUNS
weapons/gun_pk3l;<color=@userlogColoredText>7.62 mm</color> 6P6 | ПК <color=#ff6f00>MG</color>
weapons/gun_pk3/shortl;ПК
weapons/152mm_ML20S_user_cannon;<color=@userlogColoredText>152 mm</color> 52-ПС-544С | МЛ-20С обр. 1937/43 гг. <color=#ff6f00>CNN-HWZ</color>
weapons/305mm_52_obr1907_mariya_naval_user_cannon;<color=@userlogColoredText>305 mm</color> 305-мм/52 обр. 1907 г. <color=#ff6f00>CNN</color>
weapons/406mm_50_b37_naval_user_cannon;<color=@userlogColoredText>406 mm</color> 406-мм/50 Б-37 обр. 1937 г. <color=#ff6f00>CNN</color>

//GUN AMMUNITION
30mm_china_API;3УБР6 (3БР6)
76mm_obr1915_hetf;ОФ обр. 1915 г.
406mm_obr1915_28_sapcbc;ПБ обр. 1915/28 гг.
406mm_obr1915_28_apcbc;БР обр. 1915/28 гг.

//BOMBS
weapons/su_ofab_100_120;ОФАБ-100-120
weapons/su_ofab_100_120/short;ОФАБ-100-120
weapons/su_ofab100m;ОФАБ-100М
weapons/su_ofab100m/short;ОФАБ-100М
weapons/su_ofab_250_270;ОФАБ-250-270
weapons/su_ofab_250_270/short;ОФАБ-250-270
