<ID|readonly|noverify>;<English>
//GUNS

//AMMUNITION

//BOMBS
modification/rs_fab_pgb;ФАБ-250 ПГБ
modification/rs_fab_pgb/desc;"Loadout unlocked:
• {unlockWeapons}"

modification/rs_plab_350m_73;ПЛАБ-350 М73
modification/rs_plab_350m_73/desc;"Loadout unlocked:
• {unlockWeapons}"

//ROCKETS
modification/br_vz_128_m15;БР-ВЗ-128 М80
modification/br_vz_128_m15/desc;"Loadout unlocked:
• <color=@userlogColoredText>Л128-04МД</color>:
  • {unlockWeapons}"

//MISSILES
modification/rs_e_24_a1;Е-24-А1
modification/rs_e_24_a1/desc;"Loadout unlocked:
• <color=@userlogColoredText>АПУ-68УМ2</color>:
  • {unlockWeapons}"

modification/rs_grom;ГРОМ
modification/rs_grom/desc;"Loadout unlocked:
• <color=@userlogColoredText>LAU-117/A</color>:
  • {unlockWeapons}"

modification/rs_grom_b;ГРОМ-Б
modification/rs_grom_b/desc;"Loadout unlocked:
• <color=@userlogColoredText>LAU-117/A</color>:
  • {unlockWeapons}"

modification/kosava_3_tm;КОШАВА 3 ТМ
modification/kosava_3_tm/desc;"Loadout unlocked:
• Pylon:
  • {unlockWeapons}"

modification/rs_m16d;М-16Д
modification/rs_m16d/desc;"Loadout unlocked:
• <color=@userlogColoredText>Л128-04Л</color>:
  • {unlockWeapons}"

modification/rs_vrvz_240;ВРВЗ-240
modification/rs_vrvz_240/desc;"Loadout unlocked:
• <color=@userlogColoredText>АПУ-68УМ2</color>:
  • {unlockWeapons}"

//SENSORS
