<ID|readonly|noverify>;<English>
//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8
f_16d_block_40_barak_2_shop; Baraḳ Obama
f_16d_block_40_barak_2_0; Baraḳ Obama
f_16d_block_40_barak_2_1; Baraḳ Obama
f_16d_block_40_barak_2_2; Baraḳ Obama
f_16c_block_40_barak_2_shop; Baraḳ Obama (4 More Years)
f_16c_block_40_barak_2_0; Baraḳ Obama (4 More Years)
f_16c_block_40_barak_2_1; Baraḳ Obama (4 More Years)
f_16c_block_40_barak_2_2; Baraḳ Obama

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3
jp_type_3_chi_nu_shop;Temu Pz. IV
jp_type_3_chi_nu_0;Temu Panzer IV
jp_type_3_chi_nu_1;Temu Pz. IV
jp_type_3_chi_nu_2;Medium Tank
jp_type_3_chi_nu_75cm_type_5_shop;Temu Pz. V
jp_type_3_chi_nu_75cm_type_5_0;Temu Panzer V
jp_type_3_chi_nu_75cm_type_5_1;Temu Pz. V
jp_type_3_chi_nu_75cm_type_5_2;Medium Tank

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
us_m60a1_rise_passive_era_shop;M60A1 R*PE
us_m60a1_rise_passive_era_0;Tank, Combat, Full Tracked: 105mm Gun, M60A1 Reliability Improvement of Selected Equipment * Passive
us_m60a1_rise_passive_era_1;M60A1
us_m60a1_rise_passive_era_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
