<ID|readonly|noverify>;<English>
//GUNS
weapons/7_62mm_KT_user_machinegun;<color=@userlogColoredText>7.62 mm</color> КТ-7,62 <color=#ff6f00>MG</color>
weapons/12_7mm_KT_user_cannon;<color=@userlogColoredText>12.7 mm</color> КТ-12,7 <color=#ff6f00>MG</color>
weapons/30mm_ztm1_BTR_user_cannon;<color=@userlogColoredText>30 mm</color> 30-мм автоматична гармата ЗТМ-1 <color=#ff6f00>ACNN</color>
weapons/125mm_KBA_3_user_cannon;<color=@userlogColoredText>125 mm</color> КБА-3 <color=#ff6f00>CNN-LCH</color>

//MISSILES
weapons/130mm_barrier_launcher_user_cannon;Протитанковий ракетний комплекс «Бар'єр» <color=#ff6f00>LCH</color>
130mm_r2;Р-2С
weapons/130mm_r2/short;Р-2С
