<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1
gladiator_mk1_belgium_shop;▄ Gladiator Mk. I
gladiator_mk1_belgium_0;"<color=#81c3fc>Gloster Aircraft Company SS.37</color>
▄ Avion Gladiator Mk. I"
gladiator_mk1_belgium_1;▄ Gladiator Mk. I
gladiator_mk1_belgium_2;▄ Gladiator

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4
spitfire_fr_mk14e_belgium_shop;▄ Spitfire L.F. Mk. XIV (e)
spitfire_fr_mk14e_belgium_0;"<color=#81c3fc>Supermarine Aviation Works (Vickers) Type 379</color>
▄ Avion Spitfire L.F. Mk. XIV (e)"
spitfire_fr_mk14e_belgium_1;▄ Spitfire L.F. Mk. XIV
spitfire_fr_mk14e_belgium_2;▄ Spitfire

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5
meteor_fmk8_belgium_shop;▄ Meteor F. Mk. 8
meteor_fmk8_belgium_0;"<color=#81c3fc>Gloster Aircraft Company G.41K <color=@commonTextColor>/</color> Avions Fairey</color>
▄ Avion Meteor F. Mk. 8"
meteor_fmk8_belgium_1;▄ Meteor F. Mk. 8
meteor_fmk8_belgium_2;▄ Meteor

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mirage_5ba_shop;▄ Mirage M5 BA
mirage_5ba_0;"<color=#81c3fc>Sociétés anonyme belge de constructions aéronautiques</color>
▄ Avion Mirage M5 BA"
mirage_5ba_1;▄ Mirage M5 BA
mirage_5ba_2;▄ Mirage

f-104g_belgium_shop;▄ F-104G
f-104g_belgium_0;"<color=#81c3fc>Lockheed Corporation Model 683-10-19 <color=@commonTextColor>/</color> Sociétés anonyme belge de
constructions aéronautiques</color>
▄ Avion F-104G Starfighter"
f-104g_belgium_1;▄ F-104G
f-104g_belgium_2;▄ F-104

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8
f_16a_block_15_belgium_shop;▄ F-16A-15-CF
f_16a_block_15_belgium_0;"<color=#81c3fc>Sociétés anonyme belge de constructions aéronautiques</color>
▄ Avion F-16A-15-CF Fighting Falcon"
f_16a_block_15_belgium_1;▄ F-16A
f_16a_block_15_belgium_2;▄ F-16

f_16am_block_15_mlu_belgium_shop;▄ F-16AM-20-CF
f_16am_block_15_mlu_belgium_0;"<color=#81c3fc>Sociétés anonyme belge de constructions aéronautiques</color>
▄ Avion F-16AM-20-CF Fighting Falcon"
f_16am_block_15_mlu_belgium_1;▄ F-16AM
f_16am_block_15_mlu_belgium_2;▄ F-16

f_16a_block_15_ocu_belgium_shop;▄ F-16A-15OCU-CF
f_16a_block_15_ocu_belgium_0;"<color=#81c3fc>Sociétés anonyme belge de constructions aéronautiques</color>
▄ Avion F-16A-15OCU-CF Fighting Falcon"
f_16a_block_15_ocu_belgium_1;▄ F-16A
f_16a_block_15_ocu_belgium_2;▄ F-16

f_16am_block_15_mlu_fs_belgium_shop;▄ F-16AM-20-CF (1re Esc.)
f_16am_block_15_mlu_fs_belgium_0;"<color=#81c3fc>Sociétés anonyme belge de constructions aéronautiques</color>
▄ Avion F-16AM-20-CF Fighting Falcon
<color=@currencyGoldColor>1re Escadrille ""Stingers""</color>"
f_16am_block_15_mlu_fs_belgium_1;▄ F-16A
f_16am_block_15_mlu_fs_belgium_2;▄ F-16

//AIRCRAFT - VEHICLE/FAMILY START: RANK 9

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
fr_leopard_1a5be_shop;▄ Leopard 1 A5 BE
fr_leopard_1a5be_0;"<color=#81c3fc>Krauss-Maffei Wegmann</color>
▄ Char Leopard 1 A5 BE"
fr_leopard_1a5be_1;▄ Leopard 1 A5
fr_leopard_1a5be_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
