<ID|readonly|noverify>;<English>
fr_renault_r39_0;"<color=#81c3fc>Manufacturer & manufacturer name</color>
<color=#ff8c80>Military project</color>
<color=#5cae63>Index (G-, Sd.Kfz., Ps., etc.)</color>
<color=#fffa62>Ship class</color>
<color=#919191>Previous name</color>
<color=#7ce68f>Alternate applicable name</color>
Vehicle name
<color=#adadad>Modifications</color>
<color=#ba77ba>Service years package</color>
<color=@currencyGoldColor>Unit/Ace</color>"

//NON-NATIONAL VEHICLES
germ_garford_putilov_event_shop;◄ Pzw. Garford (Beute)
germ_garford_putilov_event_0;"<color=#81c3fc>Garford Motor Truck Company <color=@commonTextColor>/</color> Putilovskij zavod</color>
◄ Panzerwagen Garford (Beute)"
germ_garford_putilov_event_1;◄ Pzw. Garford (Beute)
germ_garford_putilov_event_2;Armored Car

germ_beutepanzer_mk_iv_event_shop;s.Kpfw. (Beute)
germ_beutepanzer_mk_iv_event_0;"<color=#81c3fc>William Foster & Co.</color>
schwerer Kampfwagen (Beute)"
germ_beutepanzer_mk_iv_event_1;s.Kpfw. (Beute)
germ_beutepanzer_mk_iv_event_2;Medium Tank

germ_a7v_event_shop;s.Kpfw. A7V
germ_a7v_event_0;"<color=#81c3fc>Daimler Motoren Gesellschaft</color>
schwerer Kampfwagen A7V"
germ_a7v_event_1;s.Kpfw. A7V
germ_a7v_event_2;Medium Tank

uk_garford_putilov_shop;Garford
uk_garford_putilov_0;"<color=#81c3fc>Garford Motor Truck Company <color=@commonTextColor>/</color> Putilovskij zavod</color>
Bronirovannyj avtomobil' ""Garford"""
uk_garford_putilov_1;Garford
uk_garford_putilov_2;Armored Car

uk_garford_putilov_event_shop;Garford
uk_garford_putilov_event_0;"<color=#81c3fc>Garford Motor Truck Company <color=@commonTextColor>/</color> Putilovskij zavod</color>
Bronirovannyj 4-tonnyj avtomobil' ""Garford"""
uk_garford_putilov_event_1;Garford
uk_garford_putilov_event_2;Armored Car

uk_mark_v_event_shop;Mk. V (Male)
uk_mark_v_event_0;"<color=#81c3fc>Metropolitan Amalgamated Railway Carriage and Wagon Company</color>
Tank, Mk. V
<color=#adadad>(Male)</color>"
uk_mark_v_event_1;Mk. V (Male)
uk_mark_v_event_2;Medium Tank

uk_saint_chamond_shop;St-Chamond mle. 1918
uk_saint_chamond_0;"<color=#81c3fc>Compagnie des forges et aciéries de la marine et d'Homécourt</color>
Char d'assaut Saint-Chamond modèle 1918"
uk_saint_chamond_1;St-Chamond
uk_saint_chamond_2;Medium Tank

uk_saint_chamond_event_shop;St-Chamond mle. 1918
uk_saint_chamond_event_0;"<color=#81c3fc>Compagnie des forges et aciéries de la marine et d'Homécourt</color>
Char d'assaut Saint-Chamond modèle 1918"
uk_saint_chamond_event_1;St-Chamond
uk_saint_chamond_event_2;Medium Tank

zeppelin_shop;L 30
zeppelin_0;"<color=#81c3fc>Luftschiffbau Zeppelin LZ 62</color>
<color=#fffa62>Militärluftschiff Typ R</color>
L 30"
zeppelin_1;L 30
zeppelin_2;L 30

fokker_d7_shop;D.VII
fokker_d7_0;"<color=#81c3fc>Fokker-Flugzeugwerke</color>
D.VII"
fokker_d7_1;D.VII
fokker_d7_2;D.VII

spad_13_shop;S.XIII-C1
spad_13_0;"<color=#81c3fc>Société pour l'aviation et ses dérivés</color>
S.XIII-C1"
spad_13_1;S.XIII-C1
spad_13_2;S.XIII

//KILLSTREAK VEHICLES
jaguar_a_killstreak_shop;☢☨ Jaguar A
jaguar_a_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢☨ Jaguar Type A"
jaguar_a_killstreak_1;☢☨ Jaguar A
jaguar_a_killstreak_2;☢☨ Jaguar

jaguar_a_germany_killstreak_shop;☢◄ Jaguar A
jaguar_a_germany_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢◄ Jaguar Type A"
jaguar_a_germany_killstreak_1;☢◄ Jaguar A
jaguar_a_germany_killstreak_2;☢◄ Jaguar

jaguar_a_italy_killstreak_shop;☢▄ Jaguar A
jaguar_a_italy_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢▄ Jaguar Type A"
jaguar_a_italy_killstreak_1;☢▄ Jaguar A
jaguar_a_italy_killstreak_2;☢▄ Jaguar

jaguar_a_japan_killstreak_shop;☢▅ Jaguar A
jaguar_a_japan_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢▅ Jaguar Type A"
jaguar_a_japan_killstreak_1;☢▅ Jaguar A
jaguar_a_japan_killstreak_2;☢▅ Jaguar

jaguar_a_sweden_killstreak_shop;☢♛ Jaguar A
jaguar_a_sweden_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢♛ Jaguar Type A"
jaguar_a_sweden_killstreak_1;☢♛ Jaguar A
jaguar_a_sweden_killstreak_2;☢♛ Jaguar

jaguar_a_uk_killstreak_shop;☢▄ Jaguar A
jaguar_a_uk_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢▄ Jaguar Type A"
jaguar_a_uk_killstreak_1;☢▄ Jaguar A
jaguar_a_uk_killstreak_2;☢▄ Jaguar

jaguar_a_usa_killstreak_shop;☢▃ Jaguar A
jaguar_a_usa_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢▃ Jaguar Type A"
jaguar_a_usa_killstreak_1;☢▃ Jaguar A
jaguar_a_usa_killstreak_2;☢▃ Jaguar

jaguar_a_iaf_killstreak_shop;☢ Jaguar A
jaguar_a_iaf_killstreak_0;"<color=#81c3fc>SEPECAT Jaguar A</color>
☢ Jaguar Type A"
jaguar_a_iaf_killstreak_1;☢ Jaguar A
jaguar_a_iaf_killstreak_2;☢ Jaguar

su_24m_killstreak_shop;☢ Su-24M2
su_24m_killstreak_0;☢ "<color=#81c3fc>Kompaniâ «Sukhoj»</color>
<color=#5cae63>izd. T-6M2</color>
☢ Samolyot Su-24M2"
su_24m_killstreak_1;☢ Su-24M
su_24m_killstreak_2;☢ Su-24

su_24m_china_killstreak_shop;☢␗ Su-24M2
su_24m_china_killstreak_0;☢␗ "<color=#81c3fc>Kompaniâ «Sukhoj»</color>
<color=#5cae63>izd. T-6M2</color>
☢␗ Samolyot Su-24M2"
su_24m_china_killstreak_1;☢␗ Su-24M
su_24m_china_killstreak_2;☢␗ Su-24

ucav_wing_loong_i_shop;GJ1
ucav_wing_loong_i_0;"<color=#81c3fc>Chéngdū Fēijī Gōngyè (Jítuán)</color>
GJ1 Xíng Wúrénjī"
ucav_wing_loong_i_1;GJ1
ucav_wing_loong_i_2;GJ1

ucav_wing_loong_i_killstreak_shop;GJ1
