<ID|readonly|noverify>;<English>
//AI UNITS

//GROUPS

//KILLSTREAK VEHICLES

//NON-NATIONAL VEHICLES

//AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//AIRCRAFT - VEHICLE/FAMILY START: RANK 6
su-7bmk_shop;هيك ما يب ٧-وس ☥
su-7bmk_0;"<color=#81c3fc>Дальневосточный машиностроительный завод</color>
هيك ما يب ٧-وس يوخوس ةرئاط ☥"
su-7bmk_1;هيك ما يب ٧-وس ☥
su-7bmk_2;٧-وس ☥

//AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//AIRCRAFT - VEHICLE/FAMILY START: RANK 9

//HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//HELICOPTERS - VEHICLE/FAMILY START: RANK 8

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
uk_khalid_shop;دلاخ
uk_khalid_0;"<color=#81c3fc>Royal Ordnance Factory, Leeds</color>
دلاخ ةبابد"
uk_khalid_1;دلاخ
uk_khalid_2;MBT

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7
ussr_t_72av_turms_shop;سإ يف هيإ 72-يت ▂
ussr_t_72av_turms_0;"<color=#81c3fc>Уральский вагоностроительный завод им. Ф. Э. Дзержинского</color>
خوراص يف هيإ 72-يت ةبابد ▂"
ussr_t_72av_turms_1;سإ يف هيإ 72-يت ▂
ussr_t_72av_turms_2;MBT

uk_desert_warrior_shop;سراف
uk_desert_warrior_0;"<color=#81c3fc>GKN</color>
سراف"
uk_desert_warrior_1;سراف
uk_desert_warrior_2;IFV

//GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6

//BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 7
