<ID|readonly|noverify>;<English>

//KILLSTREAK VEHICLES

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mig-19j_6a_shop;歼6A
mig-19j_6a_0;"<color=#81c3fc>Центральное конструкторское бюро № 155 СМ-7/3 <color=@commonTextColor>/</color> 国营松陵机械厂</color>
<color=#919191>东风103 <color=@commonTextColor>|</color> 59式甲歼击机 <color=@commonTextColor>|</color> 歼6甲型歼击机</color>
歼6A型飞机"
mig-19j_6a_1;歼6A
mig-19j_6a_2;歼6

j_7_mk2_shop;歼7II
j_7_mk2_0;"<color=#81c3fc>Центральное конструкторское бюро № 155 <color=@commonTextColor>/</color> 国营132厂</color>
歼7II型飞机"
j_7_mk2_1;歼7II
j_7_mk2_2;歼7

j_7d_shop;歼7D
j_7d_0;"<color=#81c3fc>Опытно-конструкторское бюро № 155 <color=@commonTextColor>/</color> 成都飛機制造厂</color>
歼7D型飞机"
j_7d_1;歼7D
j_7d_2;歼7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 8
j_11_shop;歼11
j_11_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
歼11型飞机 ""应龙"""
j_11_1;歼11
j_11_2;歼11

j_11a_shop;歼11A (MLU)
j_11a_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
歼11A型飞机 ""应龙""
<color=#adadad>(Mid-Life Update)</color>"
j_11a_1;歼11A
j_11a_2;歼11

j_11b_shop;歼11B
j_11b_0;"<color=#81c3fc>Компания «Сухой» <color=@commonTextColor>/</color> 沈阳飞机工业 (集团)</color>
歼11B型飞机 ""应龙"""
j_11b_1;歼11B
j_11b_2;歼11

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
