<ID|readonly|noverify>;<English>

//KILLSTREAK VEHICLES
ucav_wing_loong_i_shop;攻击1
ucav_wing_loong_i_0;"<color=#81c3fc>成都飞机工业 (集团)</color>
攻击1型无人机"
ucav_wing_loong_i_1;攻击1
ucav_wing_loong_i_2;攻击1
ucav_wing_loong_i_killstreak_shop;攻击1
ucav_wing_loong_i_killstreak_0;"<color=#81c3fc>成都飞机工业 (集团)</color>
攻击1型无人机"
ucav_wing_loong_i_killstreak_1;攻击1
ucav_wing_loong_i_killstreak_2;攻击1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mig-19j_6a_shop;歼6A
mig-19j_6a_0;"<color=#81c3fc>Czyentral'noye konstruktorskoye bûro № 155 SM-7/3 <color=@commonTextColor>/</color> 国营松陵机械厂</color>
歼6A型飞机"
mig-19j_6a_1;歼6A
mig-19j_6a_2;歼6

j_7_mk2_shop;歼7II
j_7_mk2_0;"<color=#81c3fc>Czyentral'noye konstruktorskoye bûro № 155 <color=@commonTextColor>/</color> 国营132厂</color>
歼7II型飞机"
j_7_mk2_1;歼7II
j_7_mk2_2;歼7

q_5_early_shop;强5
q_5_early_0;"南昌飞机制造公司
强5型飞机"
q_5_early_1;强5
q_5_early_2;强5

q_5a_shop;强5B
q_5a_0;"昌飞机制造公司
强5B型飞机"
q_5a_1;强5B
q_5a_2;强5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 5

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 6

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA COASTAL FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 1

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 2

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 3

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 4

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 5

//CHINA BLUEWATER FLEET - VEHICLE/FAMILY START: RANK 6
